"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.131740958846917,0.0173556802379052,0.482702555374353,0.359952911736896,0.233001756964931,-0.0373673479105794,0.250251351934293
"2","K23106",-0.389841673843387,0.151976530665014,0.829042869803379,0.446900982615268,0.687312079971823,-0.0155328719046754,0.00356878064547576
"3","K23107",-0.3110768970679,0.0967688358893927,0.530754045487626,0.341366507023279,0.281699856801481,-0.0766470827580312,0.0174626305774414
"4","K23109",-0.274352665039306,0.0752693848141695,0.497228927206376,0.188302212692457,0.247236606050804,-0.0063955286064068,0.00849638585529241
"5","K23114",-0.213363986449055,0.0455241907134325,1.1449217406372,0.930384693542588,1.31084579218372,0.0138591288159137,0.174873549512994
"6","K23115",-0.152484844638026,0.023251627844283,0.641778212242976,0.547984062846958,0.41187927370979,-0.0336720478687245,0.217996800316464
"7","K23117",-0.172485816426621,0.029751356868358,1.15578936929072,0.962953262324661,1.33584906616543,0.0032327645332445,0.100144521288419
"8","K23120",-0.301511344577763,0.0909090909090906,0.191998505009612,0.0729166666666667,0.0368634259259259,-0.00855780022446528,0.0065694379541404
"9","K23121",-0.157072145750807,0.0246716589707627,0.273161679567471,0.1454588268498,0.0746173031841216,-0.0677736085647807,0.256672977312288
"10","K23125",-0.509415905500781,0.25950456477718,0.537758867431046,0.360120701216592,0.289184599500722,-0.0453605605060481,4.17012471119807e-06
"11","K23126",0.041622026587759,0.00173239309727211,1.05472115636914,0.855419108636418,1.11243671769265,-0.0135576233725245,0.724760851923025
"12","K23128",-0.243086208344742,0.0590909046874233,0.774728366016042,0.621859664542591,0.600204041109886,0.00972371486900125,0.125658222413054
"13","K23129",-0.315438083938766,0.0995011847989604,0.341662648153731,0.12775945618522,0.11673336514342,-0.00968161049695637,0.00551013852357182
"14","K23131",-0.213671923161419,0.0456556907474993,0.405719416156907,0.281564179230548,0.164608244646702,-0.0297649552229278,0.0469017538838741
"15","K23133",-0.279709268029413,0.0782372746215497,0.407600271274347,0.221773048338692,0.166137981142922,-0.0187030353394564,0.0157969095622275
"16","K23134",-0.452203080483436,0.204487625998709,0.345425685099163,0.138826796721534,0.119318903926226,-0.0222246396067713,0.00264240749977932
"17","K23143",-0.250819381328735,0.0629103620501295,0.195447426385961,0.0453619567994002,0.0381996964808958,-0.00702915026262318,0.00385751368753883
"18","K23144",-0.104686341641473,0.0109592301262751,0.353028687754781,0.154880558509124,0.124629254377862,-0.0297369362643782,0.228670917664748
"19","K23145",0.0408802978799032,0.00167119875474962,0.57499135314072,0.402668472829071,0.330615056186596,-0.0133136787017754,0.756465226841826
