,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.471984957,0.430136871,0.000529225,-0.023004893,1,0.841543236,0.162393162,0.162393162,78
2,K23104,0.528486856,0.520454868,0.001034296,0.032160478,1,0.760873776,0.014492754,0.014492754,92
3,K23106,0.59367583,0.540148908,0.026571828,-0.163008675,1,0.238903166,0.216049383,0.216049383,54
4,K23107,0.457244291,0.425908458,0.08086776,0.284372572,1,0.030506182,0.126436782,0.126436782,58
5,K23109,0.441638007,0.363926611,0.0079591,0.089213789,1,0.40037079,0.32967033,0.32967033,91
6,K23114,1.479787307,1.159931932,0.130190724,-0.360819518,1,0.018899797,1.571428571,1.571428571,42
7,K23115,0.62414534,0.483003424,0.009557037,0.097760098,1,0.431264446,0.766169154,0.766169154,67
8,K23117,0.94302706,0.73393112,0.00028912,-0.017003522,1,0.872192832,1.003623188,1.003623188,92
9,K23120,0.440196792,0.393419962,4.27E-05,-0.006537939,1,0.954101213,0.2,0.2,80
10,K23121,0.491249961,0.432705786,0.012741142,-0.112876667,1,0.416410718,0.308641975,0.308641975,54
11,K23122,0.471493092,0.443473876,0.030672958,0.17513697,1,0.32963246,0.141414141,0.141414141,33
12,K23125,0.444911055,0.375807448,0.003940182,0.062770867,1,0.597791863,0.420091324,0.420091324,73
13,K23126,0.75180378,0.584447135,0.029393336,-0.171444849,1,0.144137825,0.743243243,0.743243243,74
14,K23128,0.554376976,0.438759323,0.064801686,0.254561753,1,0.108236962,0.650406504,0.650406504,41
15,K23129,0.552026824,0.53543763,0.001824209,0.042710764,1,0.714111304,0.100877193,0.100877193,76
16,K23130,0.511394828,0.434334411,0.02905816,0.170464541,1,0.320227287,0.25,0.25,36
17,K23131,0.402783621,0.326983404,0.00290553,0.053902965,1,0.619991665,0.563218391,0.563218391,87
18,K23133,0.454655019,0.404379934,0.011788641,-0.10857551,1,0.357140834,0.243243243,0.243243243,74
19,K23134,0.540212545,0.513098653,0.029811783,0.172660892,1,0.274201098,0.142857143,0.142857143,42
20,K23136,0.553337356,0.518954722,0.008638648,0.092944327,1,0.553313174,0.271317829,0.271317829,43
21,K23139,0.499642634,0.490832181,0.004624982,0.068007219,1,0.449260933,0.026455026,0.026455026,126
22,K23141,0.542715061,0.535776043,NA,NA,0,NA,0,0,77
23,K23142,0.494349344,0.483220181,7.10E-05,0.008424678,1,0.931041472,0.049382716,0.049382716,108
24,K23143,0.564725662,0.552310677,0.000191563,-0.013840616,1,0.875321806,0.043256997,0.043256997,131
25,K23144,0.44446829,0.39708404,0.002553848,0.05053561,1,0.561994119,0.23880597,0.23880597,134
26,K23145,0.567098587,0.491986926,0.000450141,0.021216529,1,0.872169426,0.233333333,0.233333333,60
27,K23147,0.51334371,0.490346782,0.035157053,-0.187502142,1,0.288292459,0.098039216,0.098039216,34
