"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.160092293711768,0.0256295425058951,0.263811343097256,0.219751891649543,0.0695964247467782,-0.0156493367338941,0.161477976070157
"2","K23104",-0.248873478741677,0.0619380084209838,0.0685283108903983,0.02793811655029,0.00469612939349108,-0.00523851574081324,0.0167457960756567
"3","K23106",-0.128718059191016,0.016568338761902,0.48836014056355,0.32291399665925,0.238495626891251,-0.0502941284774918,0.353607392989506
"4","K23107",-0.16993542435568,0.0288780484509451,0.208203129019384,0.17847054668817,0.0433485429334621,-0.0269048936641989,0.20219743966987
"5","K23109",-0.250081765057067,0.0625408892140581,0.38756378576959,0.245858612615234,0.150205688040056,-0.0225028874614488,0.0168130537273222
"6","K23114",-0.228372085623664,0.0521538094921023,0.992822249859913,0.757221326833427,0.9856960198169,-0.0200532128153248,0.145764063443867
"7","K23115",0.158776223130427,0.025209889031563,0.575101695591453,0.456985108725113,0.330741960272164,0.0178429685933758,0.199372963157366
"8","K23117",-0.134827695958074,0.0181785075973627,0.829268898125486,0.686881267431996,0.687686905398258,0.00665542725786528,0.200053230131983
"9","K23120",-0.0487227650699273,0.00237390783605933,0.275239560463754,0.229720488071618,0.0757568156442803,-0.0124642090805138,0.667787851364917
"10","K23121",0.437018194655982,0.190984902460374,0.369516160326365,0.28950226693417,0.13654219274234,0.202843653522849,0.000952767385870762
"11","K23122",0.0477348785870813,0.00227861863372339,0.278536456394792,0.211964811698278,0.0775825575409677,-0.0128360259194455,0.791939455240648
"12","K23125",-0.185002749688269,0.0342260173922203,0.422137607498486,0.322714400325702,0.178200159664546,0.00500704051325729,0.117128332779651
"13","K23126",-0.17758104165688,0.0315350263559426,0.714167136750432,0.578864481849556,0.51003469921431,0.0059383841891637,0.130111759487494
"14","K23128",-0.145990347096079,0.0213131814452336,0.561779763056513,0.455534481850271,0.315596502179832,0.0197381371687027,0.36241212929075
"15","K23129",-0.241584380626117,0.0583630129625043,0.298595747895924,0.179144536592617,0.0891594206615261,-0.00238401927159759,0.0355157077085653
"16","K23130",0.0931379905891257,0.00867468529098007,0.43028453832548,0.297675041428655,0.185144783921971,0.00730881812049355,0.589002091451972
"17","K23131",-0.161294608903571,0.026015950861356,0.403404145866103,0.328964914517075,0.16273490490196,0.00524300778066378,0.135571500663518
"18","K23133",-0.20350220473622,0.0414131473325023,0.321224391603265,0.262307638922442,0.103185109760888,-0.0179897861921363,0.0820283075571807
"19","K23134",-0.0237343102427628,0.000563317482699714,0.34317293550201,0.222234603779891,0.117767663661066,-0.0276820109342424,0.88139987676645
"20","K23136",-0.51086181758085,0.26097979666201,0.49975044929796,0.397754842624764,0.249750511573513,-0.0665908605138932,0.000464472333514712
"21","K23139",-0.289846391518362,0.0840109306762147,0.131394548970093,0.0509065190015353,0.0172645274990543,-0.0112589971036956,0.000994574527726256
"22","K23142",-0.349756882591174,0.122329876919897,0.17093566756153,0.0909114358333078,0.0292190024447059,-0.0183958211324398,0.000206942241960249
"23","K23143",-0.0888188731304806,0.00788879222416833,0.167483319100796,0.0798712013312341,0.028050662177019,-0.000773973899373726,0.31305574847438
"24","K23144",-0.236302001590746,0.055838635955793,0.35338420206977,0.281376176299143,0.124880394272488,-0.0436934910649469,0.00598124488691753
"25","K23145",-0.31903428455249,0.101782874719919,0.462385627494257,0.323521181159348,0.213800468513258,-0.00824199627477684,0.0129717265339505
"26","K23147",-0.0373856891369155,0.00139768975224208,0.213154450120756,0.15964245949318,0.0454348196062821,-0.0333351540185498,0.833735231564565
"27","K23148",-0.351255907342697,0.123380712443142,0.227909532061801,0.182683261183261,0.0519427548046292,-0.0105020639939868,0.00855059386845487
"28","K23150",0.0418661030271286,0.00175277058267814,0.475251874415694,0.366932810257985,0.225864344135631,0.00676283290698276,0.738553397911202
"29","K23151",-0.127696312667761,0.0163063482689425,0.610387905721524,0.485146618668683,0.372573395451108,-0.0672516083146355,0.314627155068835
"30","K23153",-0.168635334712576,0.0284378761136226,0.747236969994926,0.647857671743263,0.558363089327197,-0.104647144621496,0.325524723718455
"31","K23155",-0.362935220645392,0.131721974384919,0.184099010462574,0.123240036665286,0.033892445653299,-0.0508151211802588,0.00217723257214881
"32","K23156",0.368378609832782,0.135702800182333,0.745958144873937,0.613593667885115,0.556453553903766,0.136687939181168,0.0127789695336882
"33","K23502",-0.0726918421473925,0.00528410391478144,0.525288298897211,0.452522534148636,0.275927796958325,-0.000314235283666253,0.529828972627595
"34","K23503",-0.118778799575081,0.0141084032284972,0.649352704292926,0.556644949268581,0.421658934572536,-0.0232995198552859,0.316885222240588
"35","K23507",-0.175864186839675,0.0309282122127801,0.296327472019283,0.246846314010493,0.0878099706733388,0.00555668432415768,0.133927216499341
"36","K23508",0.149770509370328,0.0224312054770474,0.58962638650352,0.449603329843433,0.347659275661198,0.0276344343327206,0.270579235679977
"37","K23509",0.0456464942917632,0.00208360244112797,0.55503637054178,0.463646710161643,0.308065372624192,0.000238487410639809,0.672806229132186
"38","K23510",0.139875416307297,0.0195651320871398,0.602149194329085,0.493368835502417,0.362583652231166,0.029166250792157,0.160865856368099
"39","K23517",-0.254972558411346,0.0650110055428275,0.70384076224753,0.585754038392686,0.495391818601184,-0.00727922083892829,0.0272675221419255
"40","K23521",-0.173123477510469,0.0299717384653179,1.02955678592621,0.841185185185186,1.05998717544672,0.0125177566183594,0.229243809354059
"41","K23526",0.214682420452605,0.046088541651389,0.849688417361957,0.715030450455484,0.721970406599067,0.0567472982335253,0.0471490204712778
"42","K23529",-0.0237542853302577,0.000564266071551295,0.644832790841608,0.485977093264676,0.415809328144577,-0.0297100376445287,0.872677131107363
"43","K23531",-0.460436144152421,0.212001442841949,0.565744793455935,0.454451153839362,0.320067171322499,-0.0193920182531628,0.00914755973824623
"44","K23532",-0.225008468563686,0.0506288109253754,0.541076639369655,0.367212194604675,0.29276392967156,-0.152509587394827,0.231907712796215
"45","K23533",-0.199633607209114,0.0398535771273229,0.508335334378497,0.428532180239397,0.258404812177699,0.00475645373279254,0.0903941861919
