"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.304753060742279,0.0928744280317872,0.351909344491713,0.244206660696829,0.123840186740587,-0.00920510388598017,0.00666954775706666
"2","K23104",-0.248873478741678,0.0619380084209841,0.205584932671195,0.0838143496508702,0.0422651645414198,-0.00523851574081857,0.0167457960756563
"3","K23106",-0.354128704461164,0.125407139323342,0.266092116878935,0.140332012445696,0.0708050146651126,-0.0132197598577617,0.00861037936970641
"4","K23107",-0.324326778764433,0.105187859423713,0.366565849606301,0.265151894299585,0.134370522097589,-0.00732187313974997,0.0129999478655359
"5","K23109",0.109492199651731,0.0119885417845744,0.527310630141448,0.359200857734596,0.27805650066017,0.0226254333018042,0.301528895831682
"6","K23114",-0.247780480188621,0.0613951663625037,1.1055728378531,0.880986249407302,1.22229129979855,0.00904631908987419,0.113621268590634
"7","K23115",-0.123355320728931,0.0152165351521375,0.902808436737498,0.689115593411372,0.815063073444404,-0.0514028327803839,0.31997469562862
"8","K23117",-0.135458141768436,0.0183489081713578,1.13724854493794,0.916144206321486,1.29333425296345,-0.0149788494385108,0.197938386440229
"9","K23120",-0.174806449643295,0.0305572948368939,0.415197021807536,0.33893477341455,0.172388566917848,-0.0172696012332376,0.120931301136189
"10","K23121",-0.0769126404881283,0.00591555426685606,0.665802139423079,0.553271085122058,0.443292488860349,-0.0399205763264905,0.580410447666063
"11","K23122",-0.345629890653691,0.119460021313282,0.473425098439797,0.300185998011228,0.224131323832732,-0.148945038676528,0.0488237333642235
"12","K23125",-0.263522763595149,0.0694442469328246,0.87026948904534,0.74090731233935,0.757368983563237,-0.0296770247305664,0.0242808318216405
"13","K23126",-0.180821737219825,0.0326965006511953,1.18072616393114,0.932492373931926,1.39411427419156,-0.00252999323519454,0.123135627177144
"14","K23128",-0.104846294420753,0.0109927454537632,1.3401288877911,1.15492514730642,1.79594543589222,0.0089668523340356,0.514153409974353
"15","K23129",-0.24076001727802,0.0579653859197126,0.731732266805234,0.365900924831429,0.535432110283927,-0.00294545797515022,0.0361678169856735
"16","K23130",-0.479618371978293,0.230033782739108,0.600848354991168,0.269570707070707,0.361018745695592,-0.0268253263576685,0.00307738989029932
"17","K23131",-0.214763890143368,0.0461235285095127,0.739666357816202,0.554511820754198,0.547106320885086,-0.00428103357757825,0.0457616727890928
"18","K23133",-0.16790155672774,0.0281909327515987,0.843287650974068,0.692104587626976,0.711134062285361,0.00709583756383514,0.152737812411759
"19","K23134",-0.121157644255902,0.0146791747616396,0.538904032754256,0.370610586072436,0.290417556518801,-0.0754817899470424,0.444678115088149
"20","K23136",-0.465262555460712,0.216469245513832,1.13436665399612,0.861798951762232,1.28678770569835,-0.0301146261042671,0.00166812695099503
"21","K23142",-0.292337378571146,0.0854611429098494,0.304838771927663,0.0735500385721299,0.0929266768703655,-0.00926755443039973,0.00214010356818394
"22","K23143",-0.198443882739837,0.0393799745968619,0.274079910674347,0.0892424876775672,0.0751197974352583,-0.00415239428763226,0.0230761126242083
"23","K23144",-0.170429320973593,0.0290461534475198,0.846955695908065,0.694699205401666,0.717333950831114,-0.00182788744707318,0.0489751878133071
"24","K23145",-0.169246088907557,0.0286442386105047,0.530523781494081,0.303439024614855,0.281455482730779,-0.0166861314968969,0.196099005591146
"25","K23147",-0.221405931166914,0.0490205863558882,0.592186770482036,0.425448089607074,0.350685171133944,-0.143804540733387,0.208245092899486
"26","K23148",0.0386092109215636,0.00149067116798579,0.489549420565771,0.34283365714813,0.239658635176282,-0.0110598671499422,0.779584027486431
"27","K23150",-0.1717913056974,0.0295122527132175,0.931106548736726,0.79190430058174,0.866959405100416,-0.0887751311126415,0.167817280426439
"28","K23151",0.00986542626574084,9.73266354047697e-05,1.06497948583844,0.843924810773863,1.13418130525671,-0.0440682700445343,0.938329407957705
"29","K23153",-0.303318586925384,0.0920021651744119,0.864127706678618,0.646254208754209,0.746716693449648,0.00648042898990897,0.0721268388703694
"30","K23155",-0.346188844388388,0.119846715978968,0.269417044546109,0.0854872103118947,0.07258554389196,-0.013605273634155,0.00357053650715765
"31","K23156",0.373634068835532,0.139602417394595,0.768737735842806,0.647288254009222,0.590957706508724,0.155774704987537,0.0114654339694794
"32","K23502",-0.192466893128789,0.0370435049506486,0.765267124430589,0.604702819905529,0.585633771734262,-0.0127449267697712,0.0935454834453583
"33","K23503",-0.0883084353082814,0.00779837974659692,1.00255252045143,0.855785635381,1.00511155626352,-0.00972215973261803,0.457519110737778
"34","K23507",-0.330006175058108,0.108904075576483,0.396624875560076,0.260240566210715,0.157311291913046,-0.0104585004925948,0.00408658946713681
"35","K23508",-0.168053393237188,0.0282419429785329,0.757727228428974,0.603041530266732,0.574150552702654,-0.0685097899239722,0.215693976684141
"36","K23509",0.0369435808383122,0.00136482816515691,0.907611226007805,0.775096243936258,0.823758137575391,-0.0108498639649288,0.732559384596652
"37","K23510",0.0373412327751437,0.00139436766516746,0.949316735153391,0.77860745266341,0.901202263642293,0.00480376031269181,0.709438707550992
"38","K23517",-0.185865791637849,0.0345460925011642,1.11190991446569,0.940902611216137,1.23634365788709,-0.0189645532036442,0.110364882556748
"39","K23521",-0.281625601889302,0.0793129796395118,1.17822230697983,0.984374567946998,1.38820780466488,-0.00594768453976635,0.0475542282985483
"40","K23526",-0.183361919765086,0.0336215936199377,1.09901050975097,0.901111848293911,1.2078241005431,-0.0495951230349545,0.0910459034848008
"41","K23529",0.0666204555313451,0.00443828509520393,1.24316308545221,1.03375721447364,1.54545445703105,-0.0388990628909596,0.65278697815192
"42","K23531",-0.249141177546734,0.0620713263493734,1.00319155559709,0.847295063688455,1.0063932972213,0.0189247731490438,0.176509415769706
"43","K23532",-0.107951211470715,0.011653464057995,0.89860705817226,0.684027914321573,0.807494644997004,-0.338133983137893,0.570162219838651
"44","K23533",-0.167887109978793,0.0281860816970315,0.827494682344611,0.691573266915733,0.684747449308608,0.00743723288305398,0.155674774283184
"45","K23536",-0.260372030681334,0.0677935943611213,0.548830287408773,0.343988596337103,0.301214684377196,-0.00975377149173862,0.0445150811934451
"46","K23537",0.179666496102419,0.0322800498217207,0.926770090888652,0.777810209760731,0.85890280136576,0.0419129399592342,0.0831393621214996
"47","K23540",-0.13689618286283,0.0187405648824133,0.773492935042758,0.491033942930335,0.598291320561061,0.0151033009758323,0.333173592158236
"48","K23541",0.145480062167873,0.0211644484883683,0.554833492081134,0.380644333273189,0.307840203934946,0.00236970947008242,0.313427411454535
"49","K23548",-0.32384185804205,0.104873549020127,0.886402682056481,0.661665026015464,0.785709714756922,-0.0100594602561179,0.00849930223555799
"50","K23551",-0.198890652878493,0.0395574918024333,1.0982145804807,0.871250547002427,1.20607526478041,0.00655209105181842,0.118125447482541
"51","K23552",-0.236747714222107,0.0560494801893924,1.21057589885522,1.00728007168371,1.46549400688911,-0.07841187140436,0.113165361588395
