"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.391875195819333,0.153566169098441,0.340188485082313,0.227232577584533,0.115728205382599,-0.0221523551880756,0.000388015613417226
"2","K23106",-0.118939888064229,0.0141466969727314,0.728603558028858,0.542912621726709,0.530863144772311,-0.00484809546187459,0.391654107064292
"3","K23107",-0.369786401657695,0.136741982850946,0.185463500164497,0.0675141384315099,0.0343967098932665,-0.0153171688137417,0.00427761476941834
"4","K23109",-0.325978038881805,0.106261681833227,0.707515216824076,0.616573898036654,0.500577782037619,-0.0213582548301197,0.00161464474619129
"5","K23114",0.140572410012514,0.0197606024567263,1.20902908462363,0.991503460643107,1.46175132746585,0.0410911291824007,0.374572658342322
"6","K23115",0.0689925932921034,0.00475997792916959,0.763567971707105,0.649930545700817,0.583036047416902,-0.0150336227076928,0.579056893874074
"7","K23117",-0.132222577669327,0.0174828100455211,1.12650442767858,0.89855186321767,1.26901222557944,-0.00426981307789287,0.208964139477076
"8","K23120",-0.0144230500308211,0.000208024372191568,0.559361546471084,0.471637177227583,0.312885339670522,-0.0214025551227808,0.898956281441964
"9","K23121",0.203717857703708,0.0415009655473882,0.748528778658629,0.613713272661693,0.560295332480179,0.0567263284951347,0.139533706207561
"10","K23122",-0.158188169470495,0.0250234969604262,0.57340020037678,0.406030946792136,0.328787789792132,-0.0457828494593115,0.379272470502366
"11","K23125",-0.203961931150273,0.0416004693585489,0.646868047024928,0.526776131279661,0.418438270261845,-0.0593986264432831,0.0834840880760328
"12","K23126",-0.230215082591566,0.0529989842526416,0.617237605021548,0.5399904653636,0.380982261052736,0.000938750385007681,0.048465823766882
"13","K23128",-0.358763477768199,0.128711232980333,0.442669000247925,0.294990112063283,0.195955843780498,-0.0042736993750514,0.0212540754597909
"14","K23129",-0.343498779270769,0.117991411360508,0.256729131383921,0.0779826804863822,0.0659098469011425,-0.0126310709879036,0.00238205039409706
"15","K23130",0.332644904393535,0.110652632418984,0.815358342665949,0.666651661015525,0.664809226954964,0.130156151647712,0.0474469755712588
"16","K23131",-0.201132872888244,0.0404544325562784,0.589479025103337,0.534592644370034,0.34748552103678,0.00234586784451774,0.0617555172111562
"17","K23133",-0.313063330993274,0.098008649212604,0.282915611102067,0.104807657046463,0.0800412430052561,-0.0102401745663405,0.00661046783104661
"18","K23134",-0.389673298288626,0.151845279399136,0.570954966439633,0.268641838370447,0.325989573702083,-0.0169457353532341,0.0107451093947497
"19","K23136",-0.351493712171137,0.123547829695846,0.611692947845186,0.371700667713021,0.374168262443534,-0.0396121261123399,0.0208176545134387
"20","K23139",-0.269515700150501,0.0726387126276146,0.292718362452376,0.107477395553781,0.0856840397168004,-0.00936696001466175,0.00227446506557066
"21","K23142",-0.325184179547305,0.105744750627854,0.420923683839147,0.208090796456039,0.177176747616718,-0.0156024283029754,0.000594935265864344
"22","K23143",-0.247549536416943,0.0612807729802431,0.271368987910104,0.116296930309092,0.0736411275993542,-0.00650754656260055,0.00436247714123042
"23","K23144",-0.22206868334638,0.0493145001231945,0.3780733827413,0.169342670344613,0.14293948273745,-0.00452186961625567,0.00991352669568953
"24","K23145",-0.312662697526875,0.0977579624247823,0.813251212941303,0.487551767032452,0.6613775353505,-0.021945209576941,0.0150054244284384
"25","K23148",-0.528695059882336,0.279518466343987,0.356574453594785,0.174374768089054,0.12714534095642,-0.0489490628904623,3.33506651849437e-05
"26","K23150",-0.327040083703499,0.106955216348792,0.682924959438838,0.532255276078322,0.466386500224538,-0.0356097753433076,0.00735654113672578
"27","K23151",-0.0989733568992783,0.00979572537591191,0.729692798212694,0.527274786538213,0.532451579763471,-0.0341256115637356,0.43651324116731
"28","K23153",-0.262389106641302,0.0688480432840205,1.22415283754288,1.05690456020283,1.49855016966428,-0.220538599726567,0.12210373952171
"29","K23155",-0.165858751999986,0.027509125614993,0.346131584533258,0.229763483718063,0.119807073811504,-0.0409903524510686,0.173194306106513
"30","K23156",0.469241956514776,0.220188013753815,0.757489020428472,0.620228037919081,0.573789616069686,0.234431644327507,0.00114741482201876
"31","K23502",-0.332358843887318,0.110462401110115,0.635773245424686,0.579775563863378,0.404207619597838,-0.0134631490516468,0.00314521789980449
"32","K23503",-0.276553442572958,0.0764818065989545,0.878069848533073,0.721824482152117,0.771006658902893,-0.058623563007735,0.0178610995104423
"33","K23507",-0.0549050267351273,0.00301456196078504,0.435665546246975,0.333444118218174,0.189804468186675,0.00743103858236582,0.64220312266226
"34","K23508",0.0219734241399152,0.000482831368432607,0.62088503541707,0.449241311689712,0.385498227204856,0.010554550174201,0.872294492354734
"35","K23509",-0.105883897535549,0.0112113997573186,0.766087656627573,0.600207696961668,0.586890297637126,-0.0866341278621119,0.326178513596
"36","K23510",-0.164208960105687,0.0269645825789912,0.998531781069454,0.818603625862072,0.997065717805736,0.00312781203079471,0.099105602891196
"37","K23517",-0.156863426989272,0.0246061347268185,0.983005259182744,0.756907775110172,0.966299339580934,-0.0246391545040467,0.17894930295662
"38","K23521",-0.214249966400351,0.0459030481025516,1.14852749275986,0.951987417144141,1.31911540162524,0.00985516728497227,0.135157781294016
"39","K23526",0.144352997055021,0.0208377877587669,1.05641780567169,0.865779463067495,1.11601858014019,0.0223971454973304,0.184825518945007
"40","K23529",-0.162444791011866,0.0263883101268888,1.00625543428038,0.834861535526492,1.01254999901879,0.00161153942902503,0.269970383355197
"41","K23531",-0.280667478857239,0.0787742336880784,0.91354871453584,0.743087557603686,0.834571253830086,0.0150364643883497,0.126164941774579
"42","K23532",0.125059653949965,0.0156399170460851,0.74959602103007,0.636896029891818,0.561894194744113,0.0395914549560347,0.510238238445527
"43","K23533",-0.159402591579568,0.0254091862022824,0.67919217913619,0.606648146374174,0.461302016199766,0.00793641687971813,0.177960722227404
"44","K23536",-0.208176637566868,0.0433375124286473,0.980475388432444,0.667616488476901,0.961331987321751,-0.0426210891908698,0.110455355480513
"45","K23537",0.296466802877618,0.0878925652084761,0.82247784980825,0.645022883723096,0.676469813425202,0.0974207709152747,0.00371473372292785
"46","K23540",-0.330483615577139,0.109219420164938,0.991409443786275,0.754459330895381,0.982892685228611,-0.11968702801816,0.016716678140387
"47","K23541",-0.1225468428365,0.0150177286891938,1.0013454895803,0.71674950739952,1.00269278950282,-0.013447745165805,0.396537127022418
"48","K23548",-0.210401772156387,0.0442689057265482,0.985620559279541,0.778172009171425,0.971447886874516,0.00609365238613213,0.0925129484255055
"49","K23551",-0.191395633458709,0.0366322885070604,1.06951689069583,0.836015742943429,1.14386637948367,-0.0182183405340062,0.13292552999167
"50","K23552",-0.506294334476906,0.256333953123414,0.610487438432425,0.497500378730495,0.372694912483784,-0.0411315368980207,0.000330766312612195
"51","K23555",-0.267725541256473,0.0716769654410715,0.707583424920228,0.60082535725783,0.50067430322184,-0.00181565336832845,0.0297579398617653
"52","K23556",-0.424611539935903,0.180294959846739,0.582852738645672,0.505581890876009,0.33971731494676,-0.0191519448402784,0.00705498305482431
"53","K23557",-0.155210228573852,0.0240902150539476,1.02456356189798,0.813441883577252,1.04973049236908,0.00895264305265009,0.199495186257237
"54","K23559",-0.336018030769781,0.112908117002402,0.991187140301167,0.826559168907587,0.982451947098406,-0.0539306491318798,0.000673097540140191
"55","K23563",0.482313863481605,0.232626662906552,0.711675747530993,0.510421446604141,0.506482369623798,0.243366148225813,0.000126119552208385
"56","K23565",-0.226331959899262,0.0512261560718412,0.585122730369528,0.528667326191714,0.342368609595091,-0.0461263070961115,0.0676411326817518
"57","KTFG534",-0.054591800856483,0.0029802647207539,1.2016788307603,1.0402916617109,1.44403201229743,-0.00591230432174927,0.569305849781137
"58","KTGF118",-0.282018690034468,0.0795345415287573,0.405946844534506,0.222337481629435,0.164792840587523,-0.0104550792892133,0.0149186376399892
"59","KTGF120",-0.255581053044771,0.0653216746754741,0.566790640996418,0.445038051120419,0.32125163072113,-0.0282275377752439,0.0268895641235843
"60","KTGF122",-0.387271415423751,0.149979149204315,0.683642413514158,0.593425333678956,0.467366949555462,-0.0276299688148176,0.000177343032595466
"61","KTGF124",-0.216750246844674,0.0469806695072269,1.01174358832256,0.826209474196896,1.02362508851181,0.00558923893199581,0.0962199612588298
"62","KTGF125",-0.351021169068197,0.123215861134004,0.29320798695698,0.126375358418797,0.0859709236153644,-0.0174882433668122,0.000646123096864565
"63","KTGF126",-0.215236462550973,0.0463267348114564,0.555666529755139,0.303270779375144,0.308765292290119,-0.0271028101979509,0.0372185334216741
"64","KTGF127",-0.320563266530077,0.102760807848433,0.577780753969877,0.317418466635072,0.333830599658,-0.0898587224128826,0.0530668142287019
"65","KTGF129",-0.235570231473509,0.0554933339564826,0.689842751566919,0.470680588658117,0.475883021889418,-0.00282734108843119,0.0189119466113228
"66","KTGF130",0.0183014359435195,0.000334942557594747,1.04847881024006,0.862638045371788,1.09930781552241,0.00729606636033109,0.876154386607858
"67","KTGF136",-0.120137909183266,0.0144331172229266,0.783487906535741,0.621971552665321,0.613853299687758,-0.0431957809722596,0.410940440829323
"68","KTGF138",-0.536039788329716,0.287338654672566,0.37922031701993,0.168070805893542,0.143808048840696,-0.030913121207401,0.000903573088856238
"69","KTGF142",-0.0996981535104216,0.0099397218133876,0.986786540821684,0.673982774689306,0.973747677146825,-0.0164559086006328,0.568796890271631
"70","KTGF143",-0.492745637235289,0.242798263014412,0.346943066041879,0.18083788357761,0.120369491074539,-0.0405625741575324,9.48930439306084e-06
"71","KTGF146",0.100702267730032,0.0101409467259709,0.788769163850175,0.50544579858672,0.622156793840905,-0.0379322783447535,0.473084772707957
"72","KTGF147",-0.343481678212085,0.117979663267391,0.334198869723438,0.169376999811782,0.111688884524423,-0.0149120376349785,0.00222546752752929
"73","KTGF148",-0.218798418424023,0.0478727479048541,0.417856223237954,0.240126913027249,0.174603823298687,-0.00140428068364429,0.0249340591718384
"74","KTGF150",0.104243661442148,0.0108667409508651,0.546723881878703,0.511855793659272,0.298907003016519,-0.00723240100988853,0.333770735612568
"75","KTGF153",-0.392619087309681,0.154149747719887,0.313653642745225,0.153684252249411,0.0983786076073491,-0.0209465544928598,6.3700745124289e-05
"76","KTGF154",-0.280894885401037,0.078901936644462,0.446937220317316,0.267011009263301,0.199752878904969,-0.00710986520686152,0.00840371890418605
"77","KTGF156",0.0478340498302454,0.0022880963231624,0.366793653338042,0.263814225947732,0.134537584129067,-0.0098623598823826,0.64350651118725
"78","KTGF157",-0.334931247249348,0.112178940384004,0.547864590666955,0.451895298508219,0.30015560970667,-0.0246691503779448,0.000658885064149027
"79","KTGF158",-0.180146073282093,0.0324526077189571,1.13853761710233,0.936357706720851,1.29626790555705,-0.0407837626201246,0.132755758092902
"80","KTGF527",0.0894851970372928,0.00800760048880313,1.15499268365129,0.934821868735276,1.334008099288,-0.0147467058634423,0.409800122492404
"81","KTGF528",-0.342088747355096,0.117024711066978,1.25126602166613,1.049592999593,1.56566665697618,-0.0009999938044436,0.0330383578266834
"82","KTGF533",0.122880929982288,0.015099722953312,1.35020019444128,1.15775850857227,1.82304056506928,0.018274757123096,0.283809166198871
"83","KTGF540",-0.313518168837665,0.0982936421913224,0.7201686386359,0.49452861952862,0.518642868074686,0.00836113236099401,0.0626064736015915
"84","KTGF544",0.118602537536152,0.0140665619100144,0.601766045425831,0.482077582358107,0.362122373427443,0.0178743363004342,0.237491910476022
"85","KTGF545",-0.0826645742470507,0.00683343183544617,0.520046361082235,0.243955926367892,0.270448217674875,-0.00603010937611015,0.463147057915488
"86","KTGF549",-0.167485107088658,0.0280512610964993,0.585974615151971,0.479520943613411,0.3433662496025,-0.0538337430196554,0.321770067100221
"87","KTGF550",0.132903153609849,0.0176632482394431,0.867535662732813,0.71322111775362,0.752618126113261,0.0139166592556873,0.170315858671168
"88","KTGF553",-0.261913925861038,0.0685989045599411,0.567494953273674,0.500458910614429,0.322050521991089,-0.00556334314001017,0.0103488189178985
"89","KTGF556",-0.0526229790622865,0.00276917792538984,0.831423345698186,0.708904174071093,0.691264779771966,-0.030770213841409,0.674753018003945
