"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.0107173130320101,0.000114860798626094,0.502578827681975,0.373711965811966,0.252585478034188,-0.124557732448726,0.812631114915689
"2","K23106",-0.147314617376114,0.0217015964926708,0.882568248797796,0.500456790123457,0.778926713786008,-0.150897395382321,0.327348954520488
"3","K23107",0.240684224878392,0.0579288961053122,0.49328162112396,0.306486042692939,0.243326757738682,0.0700135710010614,0.686501113548722
"4","K23109",0.0740806221456748,0.00548793857749025,0.50774738912825,0.194017425431711,0.257807411166555,-0.0494247999274793,0.151137638363049
"5","K23114",0.222821904343012,0.0496496010550462,1.13697042506797,0.928932953686525,1.29270174747923,0.0275087771257168,0.106088434115431
"6","K23115",0.0804470475952481,0.00647172746679212,0.655001298734043,0.524739800995025,0.429026701343283,-0.0767060575141878,0.123200946843808
"7","K23117",0.032431621857057,0.00105181009627914,1.19336318576032,0.98840615942029,1.42411569312802,-0.062628928954348,0.612109403755873
"8","K23120",-0.10153133764079,0.0103086125231282,0.205536855643405,0.0774791666666667,0.0422453990277778,-0.155804856517555,0.285009477020548
"9","K23121",0.129709894466269,0.0168246567224506,0.27137927099224,0.137592592592593,0.0736467087242798,-0.0538844018444442,0.149893863347604
"10","K23125",-0.113751730107286,0.0129394561024008,0.563609771747919,0.374706392694064,0.317655974809741,-0.148280470151307,0.718395013426762
"11","K23126",0.259437631284651,0.0673078845265906,1.01534367422405,0.827433333333333,1.03092277678679,0.0607109394160527,0.103693636893485
"12","K23128",-0.355946386026326,0.126697829725202,0.865604509243548,0.678612195121951,0.749271166422764,-0.23622204520456,0.000676156702703384
"13","K23129",-0.114480777518578,0.0131058484212581,0.358648404323756,0.142535087719298,0.128628677923977,-0.112569748356093,0.25549251111501
"14","K23131",-0.00307783405379795,9.47306246271828e-06,0.431083017236993,0.283987684729064,0.18583256775015,-0.162541197246339,0.0109292270453781
"15","K23133",-0.226517112584136,0.0513100022934542,0.43571503157309,0.259401801801802,0.189847588738739,-0.164082490768065,0.229478277709474
"16","K23134",-0.0984109476382538,0.00968471461505912,0.364971203727451,0.121602380952381,0.133203979550265,-0.141180362117192,0.641992778095197
"17","K23139",0.108872149700447,0.0118531449803965,0.200916633389096,0.0494171075837743,0.0403674935724084,-0.0238132427784743,0.584399867922947
