"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.0380413335196673,0.00144714305595457,0.277334202628829,0.227553418803419,0.0769142599477683,-0.122441524626529,0.660884031948527
"2","K23104",0.44014879700282,0.19373096350303,0.0616537923846153,0.0200693236714976,0.00380119011540525,0.186329338592173,1.00687098183018e-07
"3","K23106",-0.106259017407163,0.0112909787803358,0.508758259890997,0.358126131687243,0.258834967007316,-0.139865118853557,0.441949267060533
"4","K23107",-0.1086131976325,0.0117968266999564,0.218654654078312,0.18948908045977,0.0478098577501064,-0.132591168389067,0.854329477974882
"5","K23109",0.264429221119586,0.0699228129819107,0.371021906084425,0.256560736089308,0.13765725479452,0.0629187060487547,0.00140246866885846
"6","K23114",0.357501388485672,0.127807242769183,0.91658985457621,0.727006934996221,0.840136961512038,0.130579418435259,0.00397443912939873
"7","K23115",0.383319576792621,0.146933897952474,0.532856100342652,0.425200829187396,0.283935623672379,0.156837042910511,0.00724486955432505
"8","K23117",-0.0262386342227439,0.000688465925874946,0.870798049288471,0.717244901656315,0.758289242644606,-0.095327681590127,0.489835895870968
"9","K23120",0.19504146378989,0.0380411725973029,0.271161612728341,0.215838477633478,0.0735286202174345,0.0173148688985718,0.0505264378380697
"10","K23121",0.533080670180427,0.284175000920013,0.352290682747839,0.282327748383304,0.124108725150938,0.275432333989604,2.4851980818961e-05
"11","K23122",-0.0644754142707797,0.00415707904538866,0.294878104201463,0.227928956228956,0.0869530963374486,-0.135167895042735,0.814998517605444
"12","K23125",0.0428024789232321,0.00183205220197373,0.431841991780608,0.330346118721461,0.186487505865043,-0.0412659321813034,0.764485529765248
"13","K23126",0.101024474054817,0.0102059443580523,0.733198907926936,0.589986786786787,0.537580638585252,-0.0477488669768595,0.515494251227101
"14","K23128",-0.135270680293418,0.018298156947044,0.606868423537509,0.499751219512195,0.368289283486901,-0.143928835072952,0.911982760690095
"15","K23129",0.0221229214961649,0.000489423655525477,0.30968286223037,0.183748830409357,0.095903475159194,-0.0782047503104681,0.994996828263613
"16","K23130",0.165544199115872,0.0274048818609153,0.431618735006889,0.280633686067019,0.186294732408947,0.00114313687117762,0.901998432605669
"17","K23131",0.0318031597678737,0.0010114409712209,0.423093022311398,0.336957343550447,0.179007705528593,-0.0942284744811597,0.913978815447462
"18","K23133",0.118865154686174,0.0141289249985681,0.323856850207144,0.268766966966967,0.104883259426093,-0.0347431629013337,0.145255276368196
"19","K23134",-0.215428428899787,0.0464094079782304,0.366853418502887,0.240382804232804,0.134581430667254,-0.174404849369997,0.150941932728598
"20","K23136",0.171087368239567,0.0292708875711411,0.477979056079376,0.378596640826873,0.228463978050532,0.0243159487037994,0.23757188087166
"21","K23139",-0.027389884331687,0.000750205763703192,0.13756626129922,0.056134517510708,0.0189244762478454,-0.108489466170284,0.315940883338671
"22","K23142",0.00661157977780946,4.37129871583388e-05,0.177668610797008,0.089703203338157,0.0315661352625387,-0.100202524076767,0.930090003073619
"23","K23143",-0.0405114367072802,0.00164117650408798,0.177675952913469,0.0828212892281594,0.0315687442437093,-0.126289904616696,0.234091403212068
"24","K23144",-0.244762980726721,0.0599089167342295,0.38651327345922,0.304160696517413,0.149392510560162,-0.248554601335393,0.0059465724411526
