"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.10404595476791,0.010825560703566,0.39179338542923,0.273684615384615,0.153502056866097,-0.25092720968491,0.86334721131459
"2","K23104",0.426383514193263,0.181802901175797,0.185311670286668,0.0603938923395445,0.0343404151444346,0.183244444348842,4.52962117224053e-07
"3","K23106",-0.135828168687601,0.0184492914090273,0.282054491203793,0.143601234567901,0.0795547360082304,-0.138428272277778,0.596406648614958
"4","K23107",-0.0817732188607713,0.0066868593228516,0.394002330545259,0.291301149425287,0.155237836475096,-0.163755753711261,0.586857213350199
"5","K23109",0.107685273466194,0.011596118121489,0.548187680845724,0.337745787545788,0.300509733431013,-0.056298161716738,0.291704814297771
"6","K23114",0.300267576047453,0.090160617225413,1.06464317250552,0.871446636432351,1.13346508476261,0.0810607928619486,0.0132586403868722
"7","K23115",0.0483359497490685,0.00233636403814448,0.913942291071826,0.671716417910448,0.835290511409619,-0.0774955196771687,0.337259117196103
"8","K23117",0.074105623392095,0.00549164341833102,1.1550698057988,0.947565079365079,1.33418625626809,-0.0470385580686585,0.295381470029749
"9","K23120",0.252697224990701,0.0638558875180008,0.398939772412062,0.306699107142857,0.159152942012188,0.0608341797226616,0.00334355417191343
"10","K23121",0.275724934015197,0.076024239237685,0.622660909393242,0.488000617283951,0.38770660808642,0.0904784325054644,0.0152731256077934
"11","K23122",0.0249911223320738,0.000624556195416678,0.453184676866729,0.295025252525253,0.205376351346801,-0.0528030437971958,0.718277578245048
"12","K23125",0.0840219255855664,0.00705968397910646,0.8675691197445,0.72374703196347,0.752676177534247,-0.0232969449353333,0.579052069816343
"13","K23126",0.135994572057497,0.0184945236291016,1.19925922756295,0.992575675675676,1.4382226948949,-0.034249067867707,0.173304802605283
"14","K23128",-0.160987512169344,0.0259169790744748,1.43350385268543,1.26359024390244,2.05493329566396,-0.133947040675939,0.196113415099488
"15","K23129",0.112519044188629,0.0126605353051226,0.732463352006204,0.364832894736842,0.536502562032164,-0.00495057626793716,0.788325950236974
"16","K23130",-0.136617881885297,0.0186644456508249,0.711079961992278,0.328412433862434,0.505634712346939,-0.438148391776849,0.265352118204253
"17","K23131",0.223021334714718,0.0497385157379341,0.7361016384701,0.589233333333333,0.541845622158365,0.00537562684276593,0.0101821404615148
"18","K23133",0.344932601911892,0.118978499861707,0.797053401476215,0.658931531531532,0.635294124804805,0.112985561593292,0.000247920896904669
"19","K23134",-0.159678799674646,0.0254973190655359,0.575381755190716,0.405843650793651,0.331064164206349,-0.226005356480286,0.627700997039075
"20","K23136",0.258770141221566,0.0669619859878291,1.07378913013442,0.821191472868217,1.15302309599483,0.076968213046691,0.16289870127054
"21","K23142",-0.0703271077715753,0.00494590208751477,0.318762330717646,0.0856549603174603,0.101609423484546,-0.103570016717497,0.451764781020304
"22","K23143",-0.0417770760174726,0.00174532408056969,0.295364148943656,0.0942267539076699,0.0872399804812103,-0.166167086024337,0.471306185209801
