,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.544562433,0.475909527,0.003297271,0.057421866,1,0.617525251,0.162393162,0.162393162,78
2,K23104,0.462903863,0.397667217,0.001258409,0.03547406,1,0.737090521,0.014492754,0.014492754,92
3,K23106,0.636421357,0.555870119,0.01456304,-0.120677423,1,0.384722892,0.216049383,0.216049383,54
4,K23107,0.492575839,0.42707665,0.009594224,0.097950108,1,0.464480666,0.126436782,0.126436782,58
5,K23109,0.493141802,0.359305522,0.008151903,0.090287888,1,0.394699718,0.32967033,0.32967033,91
6,K23114,1.198935274,0.978674525,0.325063849,0.570143709,1,8.09E-05,1.571428571,1.571428571,42
7,K23115,0.60749836,0.470271907,0.012436097,0.111517251,1,0.368952791,0.766169154,0.766169154,67
8,K23117,1.011991639,0.794539612,0.041770833,-0.204379141,1,0.050675994,1.003623188,1.003623188,92
9,K23120,0.457981691,0.400900655,7.95E-05,-0.008916444,1,0.937432336,0.2,0.2,80
10,K23121,0.550731398,0.461002854,0.046609548,-0.215892445,1,0.116901942,0.308641975,0.308641975,54
11,K23122,0.458355438,0.405018062,0.358824142,0.599019317,1,0.000230344,0.141414141,0.141414141,33
12,K23125,0.49751881,0.417017449,0.000944845,-0.030738325,1,0.796286173,0.420091324,0.420091324,73
13,K23126,0.767451575,0.594879963,0.001897522,-0.043560551,1,0.7124874,0.743243243,0.743243243,74
14,K23128,0.543622213,0.430630919,0.064000036,0.252982284,1,0.110519243,0.650406504,0.650406504,41
15,K23129,0.59391733,0.550795539,0.003687558,0.060725269,1,0.602298354,0.100877193,0.100877193,76
16,K23130,0.586448347,0.454035391,0.016804383,0.12963172,1,0.451132213,0.25,0.25,36
17,K23131,0.447872951,0.371326063,0.006529073,0.080802679,1,0.456880102,0.563218391,0.563218391,87
18,K23133,0.541235132,0.469190238,0.025817339,-0.160677748,1,0.171445213,0.243243243,0.243243243,74
19,K23134,0.635672108,0.588052129,0.02147823,0.14655453,1,0.354376969,0.142857143,0.142857143,42
20,K23136,0.60950838,0.565892402,0.000937507,0.030618743,1,0.845463642,0.271317829,0.271317829,43
21,K23139,0.487622073,0.431872101,0.004209645,0.064881773,1,0.470418205,0.026455026,0.026455026,126
22,K23141,0.562528492,0.525709325,NA,NA,0,NA,0,0,77
23,K23142,0.506887799,0.418689983,0.000102493,-0.010123863,1,0.917178331,0.049382716,0.049382716,108
24,K23143,0.570714937,0.526712369,0.005114846,-0.071518153,1,0.416930714,0.043256997,0.043256997,131
25,K23144,0.504831266,0.431530927,4.41E-06,0.002100355,1,0.980784323,0.23880597,0.23880597,134
26,K23145,0.602823632,0.497906219,0.001452127,-0.038106781,1,0.772528136,0.233333333,0.233333333,60
27,K23147,0.596492151,0.55899639,0.001518306,0.038965445,1,0.826813567,0.098039216,0.098039216,34
28,K23148,0.541812017,0.503320413,0.039427174,0.198562771,1,0.146148125,0.127272727,0.127272727,55
29,K23150,0.517762621,0.417315238,2.32E-05,0.004813232,1,0.969403868,0.404040404,0.404040404,66
30,K23151,0.586043264,0.464455241,0.026785818,0.163663735,1,0.196274839,0.489583333,0.489583333,64
31,K23153,1.167367113,0.978943786,0.02293719,-0.151450288,1,0.37792082,1.425925926,1.425925926,36
32,K23155,0.410294814,0.364107743,0.023088181,0.151947956,1,0.212629396,0.072463768,0.072463768,69
33,K23156,0.79225079,0.673571839,0.018901861,0.137484038,1,0.367798302,0.57037037,0.57037037,45
34,K23502,0.594094654,0.489541484,0.007537786,-0.086820423,1,0.452770358,0.645021645,0.645021645,77
35,K23503,0.853346352,0.690221179,0.013700024,-0.117047101,1,0.324042247,1.123287671,1.123287671,73
36,K23507,0.462985929,0.404275603,0.003215504,0.056705414,1,0.631312569,0.193693694,0.193693694,74
37,K23508,0.660734651,0.570167375,0.002595927,0.05095024,1,0.709208292,0.339285714,0.339285714,56
38,K23509,0.630810487,0.512061888,5.08E-05,0.00712882,1,0.947442391,0.863636364,0.863636364,88
39,K23510,0.665559823,0.529843754,0.004519148,0.067224607,1,0.502011805,0.830065359,0.830065359,102
40,K23517,1.156828504,0.939541749,0.01875617,-0.136953167,1,0.241334099,1.457777778,1.457777778,75
41,K23521,1.734128484,1.459932661,0.015333503,0.123828522,1,0.39157881,2.06,2.06,50
42,K23526,0.924305749,0.73375345,0.000848299,0.029125579,1,0.790082407,0.88372093,0.88372093,86
43,K23529,0.72980943,0.557704685,0.006220233,0.078868451,1,0.594141242,1.020833333,1.020833333,48
44,K23531,0.826870383,0.647833054,0.014379593,0.119914939,1,0.520518575,1.225806452,1.225806452,31
45,K23532,0.569965981,0.46222539,0.002024314,-0.044992378,1,0.813369496,0.433333333,0.433333333,30
46,K23533,0.815801884,0.658778543,0.000356797,0.018889059,1,0.873970805,1.168949772,1.168949772,73
47,K23536,0.63196323,0.569234248,0.002157916,-0.046453378,1,0.72450278,0.2,0.2,60
48,K23537,0.664775334,0.513932537,0.001879768,0.043356292,1,0.67819628,0.936170213,0.936170213,94
49,K23540,0.967330723,0.766570889,0.006823566,0.082604876,1,0.560439752,1.179487179,1.179487179,52
50,K23541,0.734870577,0.575117039,0.00585992,-0.076550115,1,0.597237965,0.48,0.48,50
51,K23548,0.748030922,0.626009137,5.82E-06,-0.002412872,1,0.984780666,0.907692308,0.907692308,65
52,K23551,1.02631967,0.656146447,0.020581145,0.143461303,1,0.261989759,0.703703704,0.703703704,63
53,K23552,0.484552788,0.387458466,0.051245607,0.226374925,1,0.130327618,0.717391304,0.717391304,46
54,K23555,0.540305966,0.447372109,0.029215811,-0.170926333,1,0.17000045,0.368686869,0.368686869,66
55,K23556,1.368776818,1.312101272,0.00514717,0.071743783,1,0.664271989,1.846153846,1.846153846,39
56,K23557,0.706395968,0.520233937,0.014570813,0.120709623,1,0.319546479,0.828571429,0.828571429,70
