"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.0655877313307871,0.00430175050111952,0.364130228496404,0.249623931623932,0.132590823304843,-0.171088948189545,0.0832330446485976
"2","K23106",-0.0525744067317913,0.00276406824319983,0.755198376998653,0.55984012345679,0.570324588621399,-0.0795429713190776,0.626178682100045
"3","K23107",-0.125788051154993,0.0158226338133711,0.196354780798759,0.0704408045977011,0.0385551999425287,-0.138066884017856,0.299084945761593
"4","K23109",0.345826506740291,0.119595972764193,0.657511349001623,0.538884981684982,0.432321174065934,0.117909712107623,0.000381881177351663
"5","K23114",0.141522391396053,0.0200285872664576,1.24771340709143,1.03659035250464,1.55678874623571,-0.0212534175306236,0.786953656595166
"6","K23115",0.346909856409511,0.120346448474068,0.708248745162938,0.57174776119403,0.501616285024876,0.126713695913386,0.000397496369287933
"7","K23117",-0.0919251367424039,0.00845023076510967,1.22590035767367,1.01243949275362,1.50283168694444,-0.189309659050843,0.822474663020305
"8","K23120",0.165963602733045,0.0275439174321319,0.555716046637711,0.440908511904762,0.308820324490646,-0.00813246424632608,0.111417527028739
"9","K23121",0.276582553507972,0.0764979089049903,0.74004322436601,0.597867283950617,0.547663973930041,0.0779915921248369,0.114812500610326
"10","K23122",-0.154120972158536,0.0237532740590922,0.612133782279174,0.439084848484848,0.374707767407407,-0.191841573440429,0.675366592271846
"11","K23125",0.0772749444757454,0.00597141704372954,0.64454138278687,0.52394703196347,0.41543359412481,-0.0517914117148366,0.663151777296497
"12","K23126",-0.199622044249586,0.0398489605503836,0.68215660995882,0.574395495495496,0.46533764051051,-0.22026890001834,0.193538080171787
"13","K23128",-0.0937307347612865,0.00878545063889064,0.483856594804745,0.325669918699187,0.234117204336043,-0.199850672222223,0.585952571427081
"14","K23129",-0.0394392858157659,0.00155545726565768,0.268289622025433,0.088890350877193,0.0719793212865497,-0.105881755615453,0.410685767152647
"15","K23130",0.336363969907181,0.113140720251719,0.816014387477355,0.675552248677249,0.665879480570043,0.128755819814898,0.494752940223637
"16","K23131",-0.251173962824708,0.0630883596010679,0.654932385084324,0.5669960591133,0.428936429032241,-0.231505127405689,0.0927792183897786
"17","K23133",-0.145350771706821,0.0211268468357684,0.300716397002934,0.117177927927928,0.0904303514264264,-0.141366257956906,0.371598602494008
"18","K23134",-0.1416558662378,0.0200663844395815,0.618027826914994,0.313900793650794,0.38195839484127,-0.191544123037438,0.0918128517059798
"19","K23136",-0.108085256636944,0.011682422702274,0.638460928349123,0.394949612403101,0.407632357028424,-0.132590825835896,0.574385023409846
"20","K23139",-0.10059967937939,0.0101202954912361,0.311288807377642,0.120528779289494,0.0969007215985944,-0.141500647103858,0.342539309041734
"21","K23142",0.152907637778296,0.0233807456909386,0.425861962024772,0.183475308641975,0.181358410699588,-0.0395723184744308,0.0671981219994887
"22","K23143",0.0793979723800304,0.00630403801806008,0.274461865471261,0.116888804071247,0.0753293155979644,-0.0295812557249859,0.474669089056708
"23","K23144",-0.0725312937201162,0.00526078856871377,0.405386514957172,0.190024626865672,0.164338226509121,-0.154903735349191,0.159008011348877
"24","K23145",0.189806351791839,0.0360264511805272,0.807066297462606,0.467687222222222,0.6513560085,-0.00646017900043705,0.164809607698877
"25","K23148",-0.112154684335821,0.0125786732184677,0.368136212302024,0.164239393939394,0.135524270808081,-0.118075234166667,0.375690505599302
"26","K23150",-0.0195359630756311,0.000381653853292421,0.71278497582909,0.531871212121212,0.508062421767677,-0.128151029701519,0.226378078726442
"27","K23151",0.071295124814353,0.00508299482229417,0.731379913331206,0.533275074404762,0.534916577624362,-0.0389131218600332,0.822159124393268
"28","K23153",0.105281413401755,0.0110841760078711,1.15370136836902,0.991282407407408,1.33102684737654,-0.0840942648315737,0.146688578103818
"29","K23155",0.24489211575071,0.0599721483568593,0.327907606262445,0.205965700483092,0.107523398244766,0.065741139695475,0.000409878209833963
"30","K23156",0.610646809682489,0.372889526175402,0.678259087764437,0.503004761904762,0.460035390135047,0.386206150628442,1.44679029868342e-06
"31","K23502",0.458745998514118,0.210447891152715,0.560898042673108,0.468005318491033,0.314606614274524,0.211191985118034,5.81231308087629e-05
"32","K23503",0.102007479797037,0.010405525934543,0.85769204701864,0.679107762557078,0.735635647519026,-0.0100577229258103,0.113149367398734
"33","K23507",0.307197143192438,0.0943700847855954,0.424050221735253,0.295546782496783,0.179818590553717,0.0596514751489077,0.000157258278784465
"34","K23508",-0.0329558669967793,0.00108608916950941,0.670875475842799,0.470565476190476,0.450073904087301,-0.155189687157409,0.759221948461941
"35","K23509",0.126433372730841,0.0159853977400957,0.742240767018861,0.617449621212121,0.550921356224747,-0.020037219650946,0.506210439298842
"36","K23510",0.108824591642755,0.0118427917462124,1.00473106217459,0.843126797385621,1.00948450729847,-0.00928856698261682,0.527486968597958
"37","K23517",0.227339802037618,0.0516833855905034,0.953088444009109,0.765199111111111,0.908377582103704,0.0367795986481555,0.00212321184312826
"38","K23521",0.330319926132682,0.1091112536003,1.09931155392818,0.873040666666667,1.2084858926,0.0928950867432593,0.026000188656686
"39","K23526",0.461133477814407,0.21264408436121,0.948085340730197,0.707215503875969,0.898865813307494,0.212617244424472,1.10271731488272e-05
"40","K23529",0.15404691930951,0.0237304533487507,0.999186227776273,0.815138888888889,0.998373117777778,0.0155901426107226,0.408642402584462
"41","K23531",-0.0590886960419665,0.0034914739999399,0.9497361733453,0.770016129032258,0.901998798960573,-0.0645417297377324,0.571652331808616
"42","K23532",0.26412701225831,0.0697630786045016,0.731178670012659,0.629826666666667,0.534622247481481,0.0862055887841084,0.0460241613441881
"43","K23533",0.0898095911244554,0.00806576265794185,0.696947426603335,0.570677168949772,0.485735715449011,-0.0446100328968906,0.333307891579452
"44","K23536",-0.0539812392531061,0.00291397419130108,1.04493909351127,0.661137777777778,1.09189770914815,-0.184227294848175,0.40504755902351
"45","K23537",0.320347039163605,0.102622225500888,0.823204120707545,0.635924113475177,0.677665024349882,0.0958260618335368,0.000221144140197047
"46","K23540",0.336061059693277,0.112937035842168,0.880225525054383,0.64691282051282,0.774796974957265,0.117370456363115,0.0172525381431841
"47","K23541",0.0706556027078941,0.00499221419401577,1.01918050419606,0.675901333333333,1.03872890013333,-0.0498703817354238,0.830067560382728
"48","K23548",-0.0790596735246646,0.00625043197782655,1.03745596162328,0.838633846153846,1.07631487230769,-0.101197705066405,0.825771881998756
"49","K23551",0.000502609011028333,2.52615817966864e-07,1.13554501498513,0.900013492063492,1.28946248105757,-0.14782143368525,0.942856530439226
"50","K23552",-0.283052092041032,0.0801184868088049,0.702525590590679,0.557409420289855,0.493542205434782,-0.378721140688259,0.0771688741092788
"51","K23555",-0.128233837961228,0.0164439171982664,0.762100159823296,0.616824242424242,0.580796653602694,-0.162135095128524,0.179242002978167
"52","K23556",-0.0841883020593612,0.00708767020363825,0.607960440987954,0.500879487179487,0.369615897806268,-0.108847693418803,0.337563706251591
"53","K23557",-0.068221639548204,0.00465419210264508,1.12211932836012,0.867655238095238,1.25915178707937,-0.188761362703935,0.836010821025138
"54","K23559",0.178883830413204,0.0319994247832999,0.960818246956091,0.785713468013468,0.923171703683776,0.00966255316895326,0.235135726347724
"55","K23563",0.415236245655508,0.172421139706081,0.73870601777003,0.474155172413793,0.545686580689655,0.184798989715319,0.00266934110546547
"56","K23565",0.0336840969696375,0.00113461838865994,0.587726777465086,0.510161616161616,0.345422764949495,-0.0554584484567902,0.496455797396911
"57","KTFG534",0.0144714551218928,0.000209423013344959,1.22884947198377,1.0494003003003,1.51007102479479,-0.0519150623427909,0.473752370242376
"58","KTGF118",-0.040461675695003,0.0016371472000476,0.42184966076944,0.251422972972973,0.177957136291291,-0.0911741773502326,0.940073920028669
"59","KTGF120",-0.112981635058437,0.0127648498604779,0.590631253854408,0.462519555555556,0.34884527802963,-0.116546305112137,0.0661301466186349
"60","KTGF122",-0.0411196562730758,0.0016908261320159,0.711822675038612,0.592534831460674,0.506691520699126,-0.114095449218292,0.406232138506661
"61","KTGF124",-0.135196797428623,0.018278174034956,1.09407432862469,0.908545555555556,1.19699863655556,-0.162836216631906,0.453876633127911
"62","KTGF125",0.013280472665186,0.000176370954210751,0.332027462546738,0.134779120879121,0.110242235885226,-0.304745537427745,0.0226459199508978
"63","KTGF126",0.00121011661477025,1.46438222134297e-06,0.581864566790535,0.379705673758865,0.338566374086337,-0.126235632520073,0.41854525992342
"64","KTGF127",-0.172050365492769,0.0296013282661955,0.617632224187141,0.331795495495495,0.381469564354354,-0.245385930686275,0.293116846935698
"65","KTGF129",-0.190451946058121,0.0362719437573254,0.75919400728394,0.521611447811448,0.576375540695847,-0.214595025158799,0.222640245950643
"66","KTGF130",0.103223423615324,0.0106550751828685,1.0835577604731,0.911080444444444,1.17409742028148,-0.060240918086923,0.0752528820694592
"67","KTGF136",0.153171347986026,0.0234614618438562,0.772673365701397,0.568374538386783,0.597024130064325,-0.0145959204561359,0.434177309277242
"68","KTGF138",-0.105502750036279,0.0111308302652176,0.399996898837185,0.178753333333333,0.159997519079365,-0.146970166894244,0.648756304190821
"69","KTGF142",0.20456527996854,0.0418469537686073,1.0219786200199,0.638372380952381,1.04444029977778,-0.0902490848557504,0.00115885268955545
"70","KTGF143",-0.056082883160345,0.0031452897835769,0.360405212693126,0.194161187214612,0.129891917336378,-0.122881443289474,0.622929886993857
