"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.0900039029510958,0.00810070254643027,0.491959931188156,0.361028251318785,0.242024573894655,-0.0775386143893984,0.433244531879681
"2","K23107",0.0210567887711452,0.000443388353352627,0.545857771158743,0.347719629183282,0.297960706334391,-0.138795485712714,0.875331426965254
"3","K23114",0.52270729098728,0.273222912051261,0.971234368959228,0.768856070939428,0.94329619944763,0.290364327021049,0.000383463308705433
"4","K23115",-0.330719539523948,0.109375413822932,0.640392129061048,0.548630190184989,0.410102078963342,-0.0292119144017573,0.00626671025364238
"5","K23117",-0.112286343420023,0.0126082229186394,1.17583864478117,0.982154993026128,1.38259651856082,-0.031648667860174,0.286576666533295
"6","K23121",-0.0842191531613591,0.00709286575921645,0.273949977077529,0.139815338431172,0.0750485899407787,-0.073945322052543,0.544861454113094
"7","K23125",-0.25263436225328,0.0638241209911218,0.539371842900195,0.360462644539949,0.290921984913553,-0.051640957844314,0.0310552091111592
"8","K23126",0.298677666308757,0.0892083483516449,1.01129831956511,0.821587936016982,1.02272429115521,0.0681807014976444,0.00974149785504473
"9","K23128",-0.0970669600827341,0.00942199473970311,0.79323042957169,0.625018011112369,0.629214514398488,-0.0381406474985104,0.546017079224581
"10","K23131",-0.179352273335795,0.0321672379507177,0.403265042099403,0.277607375923177,0.162622694179433,-0.0173436436877235,0.0964730544942172
"11","K23133",-0.0889419254624691,0.00791066610497143,0.410649081011469,0.225405949210633,0.168632667735564,-0.0339996266827631,0.451103299975662
"12","K23145",0.00297911033093413,8.87509836387846e-06,0.627838508967666,0.454129910194046,0.394181193342741,-0.208139761414117,0.981976762476629
"13","K23148",-0.372204446062335,0.13853614966857,0.350288554061842,0.171554730983302,0.122702071106736,-0.0122920866305711,0.00513805338224032
"14","K23150",0.130279154056837,0.0169726579817651,0.626355023847165,0.38918781184731,0.392320615898583,0.0237497435006248,0.297123366491014
"15","K23151",0.0271586889310092,0.000737594384451309,0.607400507962906,0.452210404315417,0.368935377073596,-0.0133156950686231,0.831306247713097
"16","K23153",0.0286318958857337,0.000819785462011492,1.19281160923355,1.0346366730379,1.42279953512234,-0.383277325813383,0.86834396248414
"17","K23156",-0.477521139063097,0.228026438252118,0.861310714265829,0.759903522041244,0.741856146509113,-0.0462073861025947,0.000909763112857652
"18","K23502",0.0823127878674123,0.00677539504650561,0.693243047247963,0.561132095838709,0.480585922557642,0.0125039259805751,0.476658777349864
"19","K23503",0.00607367372593188,3.68895125290753e-05,0.79084999289985,0.680305575413767,0.625443711269693,-0.0409538145767923,0.9593268950461
"20","K23507",-0.00961627075256491,9.2472663186635e-05,0.56959843023503,0.374933141378514,0.32444237172621,-0.0255340503598549,0.935190790320209
"21","K23508",-0.125539672787205,0.0157602094435184,0.755230698994021,0.531908782605871,0.570373408702998,-0.0382683799085295,0.356571080135915
"22","K23509",0.153209315750705,0.0234730944327993,0.579594526960839,0.519420194194324,0.335929815682958,0.0198633121689296,0.154125491147016
"23","K23510",0.0138362208406043,0.00019144100714997,0.891906874665462,0.718749884063976,0.795497873075512,-0.0186723540613964,0.890221961642042
"24","K23517",-0.244465400653847,0.0597633321168461,0.952021673090438,0.779314747025612,0.906345266033916,-0.0371579848429342,0.0345358007303122
"25","K23521",0.0417885372053009,0.00174628184175882,1.38018239802821,1.12734610360912,1.9049034518269,-0.22816143604629,0.773238294995002
"26","K23526",0.24785800511253,0.0614335906983632,1.25561940884361,0.961812491789554,1.57658009986478,0.0361461461895485,0.0213953119074699
"27","K23529",-0.0772277993690718,0.0059641329953896,0.565428939255707,0.390304556812055,0.319709885347834,-0.328297424207577,0.601860837533412
"28","K23531",-0.0457590988780944,0.00209389513013522,0.443421407373594,0.246817667544263,0.196622544517179,-0.0756409788292749,0.806894766118111
"29","K23532",-0.493196961916072,0.243243243243244,0.466137265853401,0.296296296296296,0.217283950617284,-0.0218218218218225,0.00561739907970906
"30","K23533",-0.15019137425812,0.0225574489015427,0.540141024286994,0.457441849785606,0.291752326117802,-0.0634190194696036,0.204692478872553
"31","K23537",0.112755486564978,0.0127137997505048,0.574161454328655,0.336460861800845,0.329661375636797,0.0160806603561364,0.279237883359222
