,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.507003724,0.406814326,0.000813862,0.028528261,1,0.804182846,0.217948718,0.217948718,78
2,K23104,0.333501898,0.301898964,NA,NA,0,NA,0,0,92
3,K23106,0.827576126,0.584744183,0.046364669,0.215324568,1,0.117891119,0.240740741,0.240740741,54
4,K23107,0.511861004,0.388763954,0.032769373,0.18102313,1,0.173866255,0.189655172,0.189655172,58
5,K23109,0.553423235,0.36029449,0.004053743,0.063669015,1,0.548788588,0.098901099,0.098901099,91
6,K23114,1.519235262,1.177462902,0.131727928,0.362943422,1,0.018159886,1.5,1.5,42
7,K23115,0.650727377,0.491192088,0.018056045,0.134372785,1,0.278313565,0.417910448,0.417910448,67
8,K23117,1.286970264,0.962030759,0.002044223,0.045213085,1,0.668681524,0.97826087,0.97826087,92
9,K23120,0.346601735,0.31104768,0.015584087,-0.12483624,1,0.26988877,0.0375,0.0375,80
10,K23121,0.353795472,0.318330129,0.002074992,0.045552082,1,0.743610833,0.074074074,0.074074074,54
11,K23122,0.242422067,0.193900384,0.032248621,0.179579011,1,0.317317527,0.03030303,0.03030303,33
12,K23125,0.548310263,0.450274038,0.048088037,0.219289846,1,0.062317012,0.205479452,0.205479452,73
13,K23126,1.095822666,0.746264537,0.110515057,0.33243805,1,0.00380557,0.743243243,0.743243243,74
14,K23128,0.804737947,0.563657141,0.031389948,0.177172086,1,0.267789918,0.487804878,0.487804878,41
15,K23129,0.419015069,0.316984778,0.051608658,0.227175389,1,0.048434969,0.065789474,0.065789474,76
16,K23130,0.348472972,0.297267924,0.041399728,-0.203469232,1,0.233955703,0.027777778,0.027777778,36
17,K23131,0.435811723,0.379517359,0.024242584,0.155700301,1,0.149847859,0.16091954,0.16091954,87
18,K23133,0.432694104,0.336628913,0.026322919,0.162243395,1,0.167254638,0.121621622,0.121621622,74
19,K23134,0.415439855,0.309375166,0.001155083,-0.033986506,1,0.830802628,0.071428571,0.071428571,42
20,K23136,0.366257443,0.342315727,6.46E-06,0.002541635,1,0.987094373,0.023255814,0.023255814,43
21,K23139,0.362342442,0.313960059,0.048886408,0.22110271,1,0.012846002,0.023809524,0.023809524,126
22,K23141,0.252925894,0.211473563,NA,NA,0,NA,0,0,77
23,K23142,0.463903752,0.410069519,NA,NA,0,NA,0,0,108
24,K23143,0.299397969,0.223917409,0.014416408,0.120068347,1,0.171932261,0.022900763,0.022900763,131
25,K23144,0.443163852,0.388126245,0.070422567,0.265372506,1,0.00194249,0.082089552,0.082089552,134
26,K23145,0.540105229,0.367004603,0.093330094,0.305499744,1,0.017612569,0.25,0.25,60
27,K23147,0.231768511,0.201666489,NA,NA,0,NA,0,0,34
28,K23148,0.38559857,0.309944551,0.06145095,0.247893022,1,0.068031964,0.090909091,0.090909091,55
29,K23150,0.639525939,0.449082748,0.009624671,0.098105409,1,0.433229637,0.242424242,0.242424242,66
30,K23151,0.538820752,0.392698536,0.202947334,0.450496763,1,0.000187446,0.28125,0.28125,64
31,K23153,1.588560352,1.333101507,0.001291404,0.035936117,1,0.835170986,1.666666667,1.666666667,36
32,K23155,0.349592722,0.287609085,0.056718706,0.238156895,1,0.048770462,0.043478261,0.043478261,69
33,K23156,0.881021681,0.612106178,0.009880515,0.099400778,1,0.515919153,0.533333333,0.533333333,45
34,K23502,0.631592685,0.464789722,0.200144557,0.447375185,1,4.52E-05,0.441558442,0.441558442,77
35,K23503,0.767229802,0.605897937,0.054329526,0.233086949,1,0.047194606,0.616438356,0.616438356,73
36,K23507,0.571906175,0.423296805,0.026240748,0.161989963,1,0.16792781,0.22972973,0.22972973,74
37,K23508,0.686057173,0.519677932,0.14506687,0.38087645,1,0.003780072,0.321428571,0.321428571,56
38,K23509,0.556413208,0.479717397,0.119377885,0.345511048,1,0.000977245,0.545454545,0.545454545,88
39,K23510,0.894611142,0.684860001,0.02257431,0.150247496,1,0.131735335,0.578431373,0.578431373,102
40,K23517,1.105834255,0.849898968,0.004516195,0.067202639,1,0.566736071,0.933333333,0.933333333,75
41,K23521,1.756915829,1.448163981,0.08928796,0.298810911,1,0.035040196,1.8,1.8,50
42,K23526,1.288756529,0.887494335,0.09683096,0.311176735,1,0.003542327,0.848837209,0.848837209,86
43,K23529,0.525675843,0.400095303,0.001861382,-0.043143732,1,0.770925143,0.1875,0.1875,48
44,K23531,0.447888917,0.367607632,0.15761123,0.397002809,1,0.027010886,0.129032258,0.129032258,31
45,K23532,0.456065888,0.323451407,0.031678956,0.177985831,1,0.3467111,0.166666667,0.166666667,30
46,K23533,0.553460597,0.464630245,0.000670978,-0.02590324,1,0.827792243,0.315068493,0.315068493,73
47,K23536,0.486524538,0.424999751,NA,NA,0,NA,0,0,60
48,K23537,0.578811981,0.438400233,0.148369026,0.385187002,1,0.000126289,0.20212766,0.20212766,94
49,K23540,1.140626233,0.898494639,0.082758023,0.287676942,1,0.038642045,1.403846154,1.403846154,52
50,K23541,0.964124811,0.667782569,0.501113149,0.707893459,1,8.97E-09,0.68,0.68,50
51,K23548,1.07061735,0.857842028,0.09000123,0.300002049,1,0.015183403,1.046153846,1.046153846,65
52,K23551,1.302395895,0.857474095,0.018266204,0.13515252,1,0.290916473,0.73015873,0.73015873,63
53,K23552,0.657877634,0.536818718,0.003021828,-0.054971159,1,0.716719519,0.239130435,0.239130435,46
54,K23555,0.414541602,0.334279012,0.02563189,0.160099625,1,0.199105008,0.121212121,0.121212121,66
55,K23556,0.878476932,0.693531251,0.230659208,0.480269932,1,0.001972627,0.820512821,0.820512821,39
56,K23557,0.725533499,0.501336785,0.006979908,0.083545841,1,0.491696933,0.314285714,0.314285714,70
57,K23559,0.602664637,0.471183435,0.040677103,0.201685655,1,0.045297328,0.282828283,0.282828283,99
58,K23563,0.80795788,0.603774907,0.016918856,0.130072503,1,0.330463372,0.793103448,0.793103448,58
59,K23565,1.584843437,1.357886583,0.062341221,0.24968224,1,0.04319532,1.772727273,1.772727273,66
60,KTFG534,1.042478828,0.772829898,0.131726522,0.362941486,1,9.04E-05,0.90990991,0.90990991,111
61,KTGF118,0.404145037,0.379638243,0.005379794,-0.073347078,1,0.534566085,0.067567568,0.067567568,74
62,KTGF119,0.332338678,0.317716075,NA,NA,0,NA,0,0,67
63,KTGF120,0.305454653,0.262220609,0.073205803,0.270565709,1,0.018885428,0.08,0.08,75
64,KTGF122,0.839190975,0.539823829,0.129226126,0.359480355,1,0.000540565,0.460674157,0.460674157,89
65,KTGF124,0.823009305,0.606770394,0.002782926,0.052753444,1,0.688928576,0.55,0.55,60
66,KTGF125,0.245971206,0.205524231,NA,NA,0,NA,0,0,91
67,KTGF126,0.703109369,0.599540575,0.000800873,0.028299705,1,0.785441791,0.631578947,0.631578947,95
68,KTGF127,0.359654364,0.315272415,0.043149469,0.207724502,1,0.217321667,0.027027027,0.027027027,37
69,KTGF129,0.87444158,0.556864722,0.044805895,0.211674029,1,0.035441541,0.363636364,0.363636364,99
70,KTGF130,1.066534219,0.804306889,0.061053827,0.247090727,1,0.032582837,0.906666667,0.906666667,75
71,KTGF136,1.354196199,1.010661772,0.057183089,-0.239129859,1,0.097964638,0.795918367,0.795918367,49
72,KTGF138,0.341807797,0.318676266,0.16907898,0.411192145,1,0.01413017,0.057142857,0.057142857,35
73,KTGF142,0.509945905,0.471717035,0.004015843,0.063370679,1,0.717610411,0.057142857,0.057142857,35
74,KTGF143,0.456025947,0.403677851,0.011436432,0.106941253,1,0.367842425,0.02739726,0.02739726,73
75,KTGF146,0.777996552,0.560907358,0.004231382,0.065049072,1,0.643534411,0.245283019,0.245283019,53
76,KTGF147,0.56317821,0.463783495,0.00174419,0.041763502,1,0.718371215,0.116883117,0.116883117,77
77,KTGF148,0.43480101,0.401986671,NA,NA,0,NA,0,0,105
78,KTGF150,0.289266168,0.218244266,0.030329775,0.174154458,1,0.104636139,0.079545455,0.079545455,88
79,KTGF153,0.345300999,0.319737186,NA,NA,0,NA,0,0,98
80,KTGF154,0.421268117,0.352903859,0.001559503,-0.039490547,1,0.716487304,0.068965517,0.068965517,87
81,KTGF156,0.376595808,0.340144322,0.045313227,0.212869037,1,0.03731599,0.0625,0.0625,96
82,KTGF157,0.434583973,0.332038089,0.06821656,0.261183002,1,0.008672066,0.06,0.06,100
83,KTGF158,0.420904328,0.348262279,0.100541501,0.317082798,1,0.00705433,0.056338028,0.056338028,71
84,KTGF527,1.55654371,1.205141452,0.003923406,0.062637098,1,0.564374523,1.379310345,1.379310345,87
85,KTGF528,2.03675746,1.614131983,0.027833164,0.166832743,1,0.31005388,1.820512821,1.820512821,39
86,KTGF533,0.833219557,0.510914894,0.012606431,0.112278363,1,0.327725768,0.307692308,0.307692308,78
87,KTGF540,0.494316952,0.437696682,0.011716901,-0.108244634,1,0.529743492,0.194444444,0.194444444,36
88,KTGF544,0.657479645,0.555081368,0.016291592,0.12763852,1,0.203375166,0.247524752,0.247524752,101
89,KTGF545,0.612127923,0.425017885,0.017679901,0.132965789,1,0.236668464,0.209876543,0.209876543,81
90,KTGF549,0.736332929,0.462302711,0.004286476,-0.065471181,1,0.700244544,0.216216216,0.216216216,37
91,KTGF550,1.103169325,0.737079829,0.012518598,0.111886542,1,0.248970728,0.62962963,0.62962963,108
92,KTGF553,0.504943373,0.439151884,0.111432342,0.333814831,1,0.000946652,0.147368421,0.147368421,95
93,KTGF556,0.861089806,0.678442824,0.34733745,0.589353417,1,1.93E-07,0.833333333,0.833333333,66
