"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",0.172780837286919,0.0298532177335688,0.278640133925663,0.21124751854702,0.0776403242341114,-0.133037280278255,0.13034971621908
"2","K23104",-0.26572887093511,0.0706118328484482,0.0685343204287304,0.0279804264779159,0.00469695307662789,-0.00541483073226812,0.0104630831571487
"3","K23106",-0.378848152793202,0.143525922874822,0.492247467794791,0.324085829812871,0.242307569550384,-0.067081274829681,0.00472882216577385
"4","K23107",0.300036731366087,0.0900220401688456,0.204061849762929,0.160718708583055,0.0416412385286682,0.013540277721342,0.0221219239219173
"5","K23109",-0.195430348341206,0.0381930210527651,0.382845495262339,0.241313739958726,0.146570673242666,0.00224193528658034,0.0633881472132002
"6","K23114",0.626154461661254,0.392069409858294,0.752027237594817,0.592063335707985,0.565544966084492,0.404847710418659,4.21660104828252e-06
"7","K23115",0.0696645366834934,0.00485314767132579,0.583237767616109,0.475471732882706,0.340166293573822,-0.0101431242837624,0.575357362853337
"8","K23117",-0.156902990176721,0.0246185483263962,0.82692516242224,0.685674675183959,0.683805224247049,0.00525678225866744,0.133104131131033
"9","K23120",0.0562578800771603,0.00316494907077615,0.273626335988773,0.2242267764372,0.0748713717466408,-0.000630550974843214,0.620134865098875
"10","K23121",0.496968714595663,0.246977903286866,0.356956859985608,0.289266902055222,0.127418199890785,0.256111062378321,0.000132031385678631
"11","K23122",-0.274923433438664,0.0755828942537035,0.296526816414571,0.238513387648272,0.0879281528529604,-0.147897204278208,0.121519078199086
"12","K23125",-0.199366813709016,0.0397471264084856,0.430448790188388,0.331784197845452,0.185286160974647,-0.0345581396063155,0.0908344256695944
"13","K23126",0.295170379625837,0.087125553008461,0.69364104193893,0.573734968876267,0.481137895062124,0.0630472569842847,0.0101442954556779
"14","K23128",0.0430816193076177,0.0018560259221665,0.57315628213781,0.462032255303831,0.328508123754036,-0.0203661419632952,0.789122614692901
"15","K23129",-0.0669626693039761,0.00448399908031366,0.30348358676004,0.183357741747443,0.0921022874327388,-0.0354695036816812,0.565468639874553
"16","K23130",0.743383013521468,0.552618304792258,0.286537626335697,0.231503590534919,0.0821038113060955,0.559783820231147,2.06076199680034e-07
"17","K23131",0.285531097154268,0.0815280074421201,0.39002949043632,0.308828021756595,0.152123003410016,0.0701108566064221,0.00734486389772104
"18","K23133",-0.285183000689744,0.0813293438824067,0.320800701812898,0.261676512311147,0.102913090283648,-0.0153061329972357,0.0137838285414267
"19","K23134",-0.548870637932934,0.301258977184906,0.349326637763308,0.230143513595187,0.122029099851017,-0.0648688003891162,0.000167345904816386
"20","K23136",-0.0315860556665749,0.00099767891257197,0.504699640648583,0.385202473585239,0.254721727270809,-0.0878210601838487,0.840643563693538
"21","K23139",-0.289846391518362,0.0840109306762147,0.131394548970093,0.0509065190015353,0.0172645274990543,-0.0112589971036956,0.000994574527726256
"22","K23142",-0.0289256358831998,0.000836692411247456,0.200521546001962,0.0989865776680879,0.040208890411017,-0.401436138842969,0.766337996212415
"23","K23143",-0.214911987724162,0.0461871624675497,0.167802540552081,0.0797760545083039,0.0281576926157327,-0.00459253892303479,0.0136982365856334
"24","K23144",-0.129441111227907,0.0167550012759154,0.345295928279608,0.275299758939125,0.119229278086476,0.00353596568807046,0.136058695894856
"25","K23145",-0.372132035821552,0.138482252084694,0.470630734615521,0.326608227787204,0.221493288364745,-0.0445198589847213,0.00341338664728089
"26","K23147",-0.299017944922469,0.0894117313856568,0.248634951366694,0.188469471650035,0.0618193390411183,-0.405972264948678,0.085815589891897
"27","K23148",0.223577386485618,0.0499868477477395,0.219185698736819,0.171257768234134,0.0480423705307477,0.0653765907664583,0.100827669712993
"28","K23150",0.133228063088243,0.0177497167942449,0.478089978256494,0.359165232687642,0.228570027309295,-0.00513539344098679,0.286228127853594
"29","K23151",-0.0428189688441651,0.00183346409287758,0.612694278249152,0.479460708505277,0.37539427859925,-0.0753321425489093,0.736905199521865
"30","K23153",0.11550779089455,0.0133420497573391,0.755542179499607,0.616105509982185,0.570843985003017,-0.129338937532137,0.502323207605849
"31","K23155",-0.331943386147011,0.110186411606744,0.18592533871068,0.12285192616781,0.0345682315746811,-0.0717674617735962,0.00532914270613508
"32","K23156",-0.265274648747214,0.070370639267958,0.80014855675304,0.727614597086142,0.640237712873974,0.00670067530783491,0.0782138524756443
"33","K23502",0.307914759962756,0.0948114994029216,0.4975195757812,0.40679626260208,0.247525728285505,0.102651083608135,0.00644426324640623
"34","K23503",0.0987051367080005,0.00974270401254508,0.653790163948706,0.533708163533629,0.427441578476076,-0.0373330816864503,0.40607942212793
"35","K23507",-0.0616209445580636,0.00379714080822795,0.303856130239189,0.249071681274371,0.0923285478839349,-0.0456159657631372,0.601980225228436
"36","K23508",0.0134796627802111,0.000181701308668209,0.593496033554241,0.438402007759718,0.352237541844617,0.00265325230512958,0.920726171773054
"37","K23509",0.356018905898037,0.126749461356835,0.516467164779488,0.417694257515497,0.266738332295363,0.134356723413731,0.000663425127673407
"38","K23510",0.0609118409510893,0.0037102523680508,0.612667600038205,0.498840883683961,0.375361588136574,-0.0050472371735828,0.543079547709339
"39","K23517",-0.19057064030692,0.0363171689469895,0.728351549500321,0.601217856823882,0.530495979659519,-0.0786564432139114,0.101480737490404
"40","K23521",0.0194080456711016,0.000376672236771564,1.07407317705969,0.878968545305932,1.1536331896791,-0.0927126726979688,0.892471345676512
"41","K23526",0.237087565848883,0.0562105138801485,0.853518267829562,0.719963939789794,0.728493433518776,0.0482249783302835,0.0279543636011852
"42","K23529",0.568535611143462,0.32323274113827,0.537660963964436,0.427771955468461,0.289079312171167,0.284124118267671,2.49037087425142e-05
"43","K23531",-0.431905425144084,0.186542296268891,0.574967660180598,0.462383475420752,0.330587810253552,-0.0528995326568593,0.0152545616879861
"44","K23532",-0.455281377144653,0.207281132374732,0.509298146151667,0.332835084068501,0.259384601673525,-0.0211068029681738,0.011468860832886
"45","K23533",0.0946842457213862,0.00896510638782784,0.518131253338105,0.426354150981619,0.268459995685715,-0.033970984849135,0.425560158466812
"46","K23536",0.530191243581327,0.281102754770314,0.374162255809956,0.257003112275328,0.139997393672795,0.274036952731894,1.31931978009671e-05
"47","K23537",0.377349616815915,0.142392733311118,0.529791725528825,0.418473877736259,0.28067927243881,0.150512240462353,0.000177407407502254
"48","K23540",0.0567357869770402,0.00321894952390409,0.722642644712731,0.578425956148186,0.522212391957411,-0.0379884552997543,0.689521756638172
"49","K23541",-0.0012136181865367,1.4728691026927e-06,0.793058581398466,0.602251161246109,0.628941913529747,-0.270444228044239,0.993326155780616
"50","K23548",-0.162961262675816,0.0265563731328964,0.690087263700105,0.592666333384461,0.476220431521099,-0.050907282573968,0.19461988280212
"51","K23551",-0.113258681065127,0.0128275288366122,1.07726185839745,0.797797130624114,1.16049311155793,-0.135618941201078,0.376798947869704
"52","K23552",0.119916708040428,0.0143800168672533,0.509737427768981,0.416884702237861,0.259832245268538,-0.14463814834544,0.427310478622163
"53","K23555",-0.108787056514134,0.0118346236650094,0.397883706471561,0.303021489594251,0.158311443875547,-0.0260877703600599,0.38458001473875
"54","K23556",-0.16429592568669,0.0269931511972464,0.41319257206971,0.32076210905512,0.170728101613583,-0.277873972683479,0.317572794408079
"55","K23557",0.112665303412876,0.0126934705931155,0.691300390870892,0.516817138382547,0.477896230418249,-0.0251751449013651,0.353089119514238
"56","K23559",0.433470671799579,0.187896823310378,0.549618042099063,0.433037464166813,0.302079992200808,0.187699533167339,7.40206257847943e-06
"57","K23563",0.516193112154244,0.266455329035484,0.551628528277335,0.438268479677015,0.304294033209418,0.270841212522104,3.36029303652256e-05
"58","K23565",0.173783258201712,0.0302006208312027,0.519417103622258,0.416332788973034,0.269794127535335,-0.0539003707142154,0.162867949575201
