,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.396530425,0.345726319,0.006342046,0.079636965,1,0.488258607,0.162393162,0.162393162,78
2,K23104,0.354103388,0.320856102,0.013997755,0.11831211,1,0.261333715,0.014492754,0.014492754,92
3,K23106,0.607281832,0.531875673,0.0268711,0.163924066,1,0.236240037,0.216049383,0.216049383,54
4,K23107,0.306780713,0.266675028,0.020186695,0.142079888,1,0.287373085,0.126436782,0.126436782,58
5,K23109,0.407202266,0.293792973,0.011762724,0.108456094,1,0.306154084,0.32967033,0.32967033,91
6,K23114,1.432709245,1.129533186,0.043646252,0.208916853,1,0.168428089,1.522222222,1.522222222,45
7,K23115,0.665044909,0.487028134,0.098116703,0.313235858,1,0.009851414,0.766169154,0.766169154,67
8,K23117,0.954110211,0.737980968,0.002394704,0.048935714,1,0.641347493,1.008960573,1.008960573,93
9,K23120,0.417403604,0.371033808,0.004898782,-0.069991296,1,0.537283657,0.2,0.2,80
10,K23121,0.452194311,0.390971457,0.011851094,0.108862732,1,0.433281362,0.308641975,0.308641975,54
11,K23122,0.358884479,0.294048442,0.005129116,-0.071617847,1,0.692061465,0.141414141,0.141414141,33
12,K23125,0.455626694,0.385700145,0.046549421,0.215753148,1,0.066767611,0.420091324,0.420091324,73
13,K23126,0.749421514,0.578786608,0.038452147,0.196092191,1,0.091776993,0.733333333,0.733333333,75
14,K23128,0.581581118,0.428242902,0.067851499,0.260483204,1,0.099998674,0.650406504,0.650406504,41
15,K23129,0.435010768,0.386068106,0.021347379,0.146107424,1,0.207887365,0.100877193,0.100877193,76
16,K23130,0.465276056,0.375113637,0.028251785,0.168082673,1,0.327135893,0.25,0.25,36
17,K23131,0.433987132,0.356480732,0.007097863,0.084248819,1,0.437846099,0.563218391,0.563218391,87
18,K23133,0.420901059,0.36291631,0.015381079,-0.12402048,1,0.292445329,0.243243243,0.243243243,74
19,K23134,0.489232514,0.447870622,0.002017357,0.044915002,1,0.77760573,0.142857143,0.142857143,42
20,K23136,0.536153634,0.483679194,0.004704255,0.068587572,1,0.662096127,0.271317829,0.271317829,43
21,K23139,0.409035899,0.371899785,0.075010351,0.273880177,1,0.001914283,0.026455026,0.026455026,126
22,K23141,0.423540957,0.405668613,NA,NA,0,NA,0,0,77
23,K23142,0.444117904,0.417365879,0.007465049,0.086400513,1,0.373940469,0.049382716,0.049382716,108
24,K23143,0.372012768,0.316377335,0.000299255,0.017298998,1,0.844521621,0.043256997,0.043256997,131
25,K23144,0.466556991,0.420577606,0.009476448,0.097347048,1,0.263150274,0.23880597,0.23880597,134
26,K23145,0.448386031,0.374458937,0.209314645,0.457509175,1,0.000237678,0.233333333,0.233333333,60
27,K23147,0.430347572,0.392586592,0.014841729,-0.121826637,1,0.492487446,0.098039216,0.098039216,34
28,K23148,0.425263694,0.384979179,0.038093508,0.195175583,1,0.153295071,0.127272727,0.127272727,55
29,K23150,0.488096426,0.39190943,0.010757167,0.103716763,1,0.407252627,0.404040404,0.404040404,66
30,K23151,0.547445833,0.39209085,0.136371441,0.369285041,1,0.002673538,0.489583333,0.489583333,64
31,K23153,1.0853809,0.924683657,0.011702583,0.108178477,1,0.529996548,1.425925926,1.425925926,36
32,K23155,0.397554231,0.341163195,0.029157005,0.170754224,1,0.16067503,0.072463768,0.072463768,69
33,K23156,0.82490217,0.649614756,0.003481105,0.059000888,1,0.700246247,0.57037037,0.57037037,45
34,K23502,0.492322694,0.415678858,0.20235331,0.449836981,1,4.05E-05,0.645021645,0.645021645,77
35,K23503,0.757359987,0.595004201,0.115032128,0.339163866,1,0.003331832,1.123287671,1.123287671,73
36,K23507,0.42358924,0.369387403,0.001130231,-0.033618901,1,0.776136389,0.193693694,0.193693694,74
37,K23508,0.600900887,0.504637208,0.040034993,0.200087463,1,0.13562146,0.333333333,0.333333333,57
38,K23509,0.560945292,0.455212753,0.101690499,0.318889478,1,0.002460538,0.863636364,0.863636364,88
39,K23510,0.656742478,0.535141849,0.003063322,0.055347287,1,0.580595691,0.830065359,0.830065359,102
40,K23517,1.172596961,0.950330839,0.001541149,0.039257467,1,0.738079018,1.457777778,1.457777778,75
41,K23521,1.636337507,1.403689807,0.123498109,0.351422977,1,0.011449643,2.068627451,2.068627451,51
42,K23526,0.87209071,0.705102378,0.05417331,0.232751607,1,0.031038667,0.88372093,0.88372093,86
43,K23529,0.729797261,0.534513711,0.062824809,0.250648776,1,0.085738292,1.020833333,1.020833333,48
44,K23531,0.835816991,0.685939353,0.102923199,0.320816457,1,0.078462716,1.225806452,1.225806452,31
45,K23532,0.415472808,0.303862851,0.366352155,0.605270316,1,0.00039453,0.433333333,0.433333333,30
46,K23533,0.823669234,0.674772254,0.002884918,-0.053711435,1,0.651761803,1.168949772,1.168949772,73
47,K23536,0.590089449,0.536963134,0.016478914,0.128370223,1,0.328328518,0.2,0.2,60
48,K23537,0.621303803,0.483821221,0.091884574,0.303124684,1,0.002980062,0.936170213,0.936170213,94
49,K23540,0.867278135,0.663384884,0.001907053,-0.043669816,1,0.758539604,1.179487179,1.179487179,52
50,K23541,0.61815016,0.520117757,0.253509763,0.503497531,1,0.000193618,0.48,0.48,50
51,K23548,0.664170809,0.56560965,0.06494525,0.254843579,1,0.040490561,0.907692308,0.907692308,65
52,K23551,1.034261797,0.694313675,0.000557218,-0.023605469,1,0.854298849,0.703703704,0.703703704,63
53,K23552,0.535518632,0.395688709,0.01644014,0.12821911,1,0.39576729,0.717391304,0.717391304,46
54,K23555,0.40810452,0.325649708,0.049329477,0.222102403,1,0.073076538,0.368686869,0.368686869,66
55,K23556,1.388145385,1.31558834,0.086518354,0.294140025,1,0.069127864,1.846153846,1.846153846,39
56,K23557,0.712933046,0.524247269,0.04174968,0.204327383,1,0.089754225,0.828571429,0.828571429,70
57,K23559,0.56875546,0.44287123,0.134814287,0.367170651,1,0.000185225,0.666666667,0.666666667,99
58,K23563,0.631852554,0.451574409,0.129732095,0.360183418,1,0.005482232,0.925287356,0.925287356,58
59,K23565,1.683056083,1.61452692,0.091256391,0.302086728,1,0.013695085,2.313131313,2.313131313,66
60,KTFG534,0.858224482,0.682422607,0.164155439,0.405161004,1,1.03E-05,1.324324324,1.324324324,111
