"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",0.0656822908602965,0.00431416333265659,0.350459968642169,0.242019616922412,0.12282218962067,-0.000909187057996919,0.567767707824592
"2","K23106",-0.235507888816863,0.0554639656949759,0.269199540803337,0.1421965790614,0.0724683927687276,-0.0370227005204917,0.0864675493600497
"3","K23107",-0.190507429627433,0.0362930807432514,0.391807743936509,0.272116334251213,0.153513308208617,-0.150827657455076,0.152019640292093
"4","K23109",-0.144824743619546,0.0209742063644672,0.535272125183486,0.367764437126247,0.286516247998446,-0.00711076013187673,0.170788466485671
"5","K23114",0.594015534434975,0.352854455150069,0.884475190267391,0.746173406790431,0.782296362198537,0.365765378669547,3.36610256114991e-05
"6","K23115",0.185340806328839,0.0343512144906242,0.859335846735296,0.648958573263785,0.738458097484269,0.0474149045870952,0.133207397362721
"7","K23117",-0.0205497769974983,0.000422293334646911,1.13521368922367,0.92954132135,1.28871012020082,-0.0113499368505172,0.845837573744989
"8","K23120",0.0427061649419849,0.00182381652405203,0.414083618253159,0.334261483885858,0.171465242905628,-0.0118210412358244,0.706816163231315
"9","K23121",0.17692525421196,0.0313025455779668,0.725071693138963,0.552652444825106,0.525728960191403,-0.233308429563766,0.200604118336139
"10","K23122",-0.489186605469891,0.239303534971155,0.469297365401989,0.299806032039875,0.220240017173248,-0.128997369587136,0.00386405718868785
"11","K23125",-0.223382006187684,0.0498995206884349,0.875303805026483,0.749237308600495,0.76615675109384,-0.0416243879330629,0.0574703977430119
"12","K23126",-0.00622282318244582,3.87235283599849e-05,1.24237111509361,0.988474612267537,1.54348598761893,-0.10994559439796,0.95803476280345
"13","K23128",-0.0345986851971697,0.00119706901737285,1.47967757162473,1.26548530554,2.18944571596926,-0.208173275299324,0.829960152312323
"14","K23131",0.396296081055994,0.157050583860339,0.676401933111453,0.528562606244606,0.457519575116911,0.160166471779999,0.000144838130452738
"15","K23133",-0.060682951976022,0.00368242066052418,0.857193715318528,0.70042332156056,0.734781065581581,-0.0259207330761699,0.607530927610631
"16","K23134",-0.188970516965052,0.035709856282039,0.53223391931201,0.361605129817001,0.283272944866223,-0.0490236796981414,0.230704835309843
"17","K23136",0.276047577294916,0.0762022649303925,1.08904810135048,0.802274676158655,1.18602576705509,0.0505485215862199,0.0731616397964697
"18","K23144",-0.167276244228014,0.0279813418830305,0.851618910665616,0.698053467918111,0.72525476900329,-0.0128900942854502,0.053377293582237
"19","K23145",-0.166141047827347,0.0276028477731688,0.537313493127473,0.310032146882631,0.288705789896847,-0.0428760165661599,0.204551698328512
"20","K23147",-0.129472118121551,0.0167630293708808,0.621478286425256,0.443910132486032,0.386235260498073,-0.259755704298946,0.465519917114577
"21","K23148",0.0682573491011566,0.00465906570631718,0.48285269088266,0.330993858571088,0.233146721092625,0.0164122703904847,0.620486377259116
"22","K23150",-0.0684712987546,0.00468831875314168,0.947653010871057,0.821314421438427,0.89804622901298,-0.12781566816911,0.584875597870123
"23","K23151",0.13580003899867,0.0184416505920402,1.02877282368088,0.774098637997388,1.05837352274434,0.0257164283778157,0.284639910555863
"24","K23153",-0.228715723559393,0.0523108822032965,0.954565864108949,0.759319108451405,0.911195988922065,-0.21236213943168,0.179684178972557
"25","K23156",-0.215426501554503,0.0464085775720125,0.831776132821329,0.753590785907859,0.691851535131205,0.0116406640982787,0.15525623311441
"26","K23502",-0.0604820560291704,0.00365807910151571,0.770583794019333,0.615272092333022,0.59379938360523,-0.0268658371329218,0.60130424066781
"27","K23503",-0.144573238810866,0.0209014213802637,1.07179217511654,0.911237597160462,1.14873846664104,-0.154007909148568,0.222336915986066
"28","K23507",-0.330006175058108,0.108904075576483,0.396624875560076,0.260240566210715,0.157311291913046,-0.0104585004925948,0.00408658946713681
"29","K23508",-0.0279932006023054,0.000783619279960906,0.728734757347603,0.588121716090902,0.53105434656647,0.0116934214956332,0.837730517756039
"30","K23509",-0.0443322749821323,0.0019653506050914,0.927722267519198,0.795263725771336,0.860668605650961,-0.0561434276107959,0.681711266525673
"31","K23510",0.101017814358716,0.010204598817812,0.947812081615497,0.790098452474404,0.898347742056301,0.00795600400214358,0.312378857273573
"32","K23517",-0.055951589337322,0.00313058034937232,1.10980101477016,0.930648784424688,1.23165829238487,-0.0151029882292864,0.633511518815615
"33","K23521",-0.0669392929260686,0.00448086893744202,1.39108327337423,1.16629909242895,1.93511267346156,-0.402255560479388,0.644168089928028
"34","K23526",-0.197539256476111,0.0390217578491348,1.08710257537287,0.884831944973353,1.18179200938232,-0.0269733224660926,0.068287201894311
"35","K23529",0.236332997747206,0.055853285824181,1.26525442004608,0.996356638982855,1.60086874744615,-0.0761501472701209,0.105834229821688
"36","K23531",-0.0209687155383757,0.000439687031329316,1.17459424566611,1.01030340208492,1.37967164195193,-0.34496292139968,0.910852537322994
"37","K23532",-0.290192074850507,0.0842114403060425,0.830381162079456,0.694136942270892,0.689532874336428,-0.142654477471795,0.119803308600688
"38","K23533",0.240657699969706,0.057916128554709,0.803480223047516,0.645465574387474,0.645580468828487,0.0642109916815976,0.0402728433852486
"39","K23536",0.13268721124547,0.0176058960281001,0.537260811126135,0.328433694818607,0.288649179171913,0.0323692289123366,0.312185179694912
"40","K23537",0.283409690538806,0.0803210526913016,0.910439767342671,0.749179939293941,0.828900569958978,0.0753797648868966,0.00564034556880513
"41","K23540",-0.0854797323294379,0.00730678463911234,0.779938422205475,0.506128279080589,0.608303942432366,-0.00137930188121294,0.546825791813661
"42","K23541",-0.173999413388652,0.030275795859595,0.605343524476619,0.390429439670516,0.366440782625775,-0.187539573324269,0.226860125171026
"43","K23548",-0.0733310970771761,0.00537744979854222,0.903384733608441,0.67641184612567,0.816103976916794,-0.0491324301526161,0.56156049440878
"44","K23551",-0.100228981293093,0.0100458486910512,1.11015523530694,0.877703984679302,1.2324446464794,-0.0151684498415283,0.434459542722291
"45","K23552",-0.112955357360616,0.0127589127564644,1.25046369563802,1.05671956444895,1.5636594541087,-0.150648798437614,0.454813752836415
