"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.0406491432914089,0.0016523528503255,0.344833815218447,0.228749607680472,0.11891036011811,-0.0502582689255446,0.723823465916949
"2","K23106",-0.386760805269411,0.149583920492643,0.735027332683276,0.542181215117518,0.540265179791492,-0.0226448046053249,0.00386535660356925
"3","K23107",-0.369786401657695,0.136741982850946,0.185463500164497,0.0675141384315099,0.0343967098932665,-0.0153171688137417,0.00427761476941834
"4","K23109",-0.35750168257246,0.127807453042139,0.735089320721854,0.63453578239987,0.540356309439317,-0.102520721053316,0.000503431767745748
"5","K23114",0.555822887731201,0.308939082525851,1.014660682866,0.839205718979788,1.0295363013541,0.324624186311708,0.000132690738528315
"6","K23115",0.235695165941046,0.0555522112479771,0.736001312789008,0.596304807011304,0.541697932427144,0.0569337570106974,0.0548468438011004
"7","K23117",-0.0689508263747557,0.0047542164577617,1.1578349397554,0.930645879438939,1.34058174771839,-0.0609084404857099,0.513699192035386
"8","K23120",-0.179913458380077,0.0323688525062798,0.620859850163938,0.507458516216398,0.385466953545587,-0.258342534301713,0.110281535214968
"9","K23121",-0.0132918986221955,0.000176674568982723,0.802913962334479,0.637987222279895,0.644670830911653,-0.0853223047465594,0.924002052385599
"10","K23122",-0.0786493883660089,0.00618572629034731,0.601254480806112,0.448682959391575,0.361506950689428,-0.14985343351818,0.663518544733366
"11","K23125",0.162754193375236,0.0264889274612236,0.632719425813241,0.488966531460373,0.400333871801437,-0.0135620569308064,0.168894744487995
"12","K23126",0.375796791134292,0.141223228226831,0.568790707481125,0.446539501446862,0.323522868916879,0.151616243743213,0.000968499631755667
"13","K23128",-0.358763477768199,0.128711232980333,0.442669000247925,0.294990112063283,0.195955843780498,-0.0042736993750514,0.0212540754597909
"14","K23129",-0.343498779270769,0.117991411360508,0.256729131383921,0.0779826804863822,0.0659098469011425,-0.0126310709879036,0.00238205039409706
"15","K23130",0.584023801858489,0.341083801137243,0.706168349130518,0.541582341955177,0.498673737313721,0.347529689496066,0.000184411008259395
"16","K23131",-0.152197146378363,0.0231639713657167,0.603005755519692,0.544554239284964,0.363615941189874,-0.0439656454269512,0.159344116297582
"17","K23133",-0.313063330993274,0.098008649212604,0.282915611102067,0.104807657046463,0.0800412430052561,-0.0102401745663405,0.00661046783104661
"18","K23134",-0.401598170853264,0.161281090832687,0.57089635276923,0.268576847524216,0.325922645605209,-0.0167369487901616,0.00838618434655911
"19","K23136",-0.520101969350113,0.270506058521866,0.610565087845384,0.37149672033393,0.372789726495642,-0.0357819170017353,0.000350535548868115
"20","K23139",-0.269515700150501,0.0726387126276146,0.292718362452376,0.107477395553781,0.0856840397168004,-0.00936696001466175,0.00227446506557066
"21","K23142",-0.0173536173588011,0.000301148035435683,0.544566295032862,0.236644757833401,0.296552449685818,-0.699881006234783,0.858519593610977
"22","K23143",-0.247549536416943,0.0612807729802431,0.271368987910104,0.116296930309092,0.0736411275993542,-0.00650754656260055,0.00436247714123042
"23","K23144",-0.176863326156614,0.0312806361391806,0.378292017615093,0.169774691035328,0.143104850591298,-0.00568400916328771,0.0409233807078494
"24","K23145",-0.401791662726235,0.161436540236313,0.817498541539626,0.49574070802562,0.668303865419415,-0.0326476139610345,0.00146238957561632
"25","K23148",-0.241597278291297,0.0583692448777624,0.360330489284028,0.177851467572129,0.129838061507667,-0.0711640074382507,0.0755671732705128
"26","K23150",-0.319659163914205,0.102181981074329,0.678201014650684,0.529079653653,0.459956616273217,-0.0213322379979834,0.00888784227778109
"27","K23151",0.00752551435005463,5.6633366232878e-05,0.723999397338426,0.49135071286198,0.524175127346404,-0.0180511143837681,0.952937490752462
"28","K23153",0.662777528813547,0.439274052700193,0.819795873462222,0.689825336729052,0.672065274145688,0.452616518795368,1.06197871289886e-05
"29","K23155",-0.339651400263305,0.115363073700824,0.380384770151078,0.248959915354175,0.144692573362888,-0.25721769299754,0.00430067880843341
"30","K23156",-0.379243366214109,0.143825530817409,0.869771063582153,0.778049013794286,0.756501703044829,-0.00934863344256232,0.0101926802716931
"31","K23502",0.309669355406439,0.0958951096778397,0.605464982115707,0.508876952422066,0.366587844568373,0.0808602971661887,0.00613257081425234
"32","K23503",0.00931508295028231,8.67707703706398e-05,0.857594579626449,0.714408348132434,0.735468463004666,-0.0098281717744324,0.937656152343008
"33","K23507",0.245967595046644,0.06050005781303,0.422805260375023,0.309204975859838,0.178764288200791,0.0651648742878304,0.0346485975833429
"34","K23508",-0.248219860117169,0.0616130989565868,0.634242676039036,0.4678567373081,0.402263772109157,-0.0324770150801708,0.0650961348265106
"35","K23509",0.238194975943254,0.0567368465646075,0.757612600647477,0.63180889041845,0.573976852659834,-0.0627247361459942,0.0254312256602905
"36","K23510",0.266543990441112,0.0710456988402717,0.967274879488184,0.820303791513273,0.93562069248888,0.0645609109064015,0.00676982981567183
"37","K23517",-0.167573610751631,0.0280809150203392,1.00132175569891,0.782077367856123,1.00264525843595,-0.0631794391133953,0.150706981807901
"38","K23521",0.0748234142751431,0.00559854332378968,1.19358397249297,1.01331314007767,1.42464269939209,-0.0693549673745801,0.60555807267952
"39","K23526",0.21218414475474,0.0450221112853005,1.04255728979864,0.839011902822844,1.08692570251229,0.0478817393211725,0.0498421988155796
"40","K23529",-0.0432555780821443,0.00187104503522048,1.05636770425958,0.841789363164474,1.11591272660266,-0.100305555601222,0.770347404595383
"41","K23531",-0.31824477942339,0.101279739630242,0.924802059243063,0.754262897468834,0.85525884878021,-0.00937909817968952,0.0810224673851294
"42","K23532",-0.268389570474563,0.0720329615395204,0.77235909118395,0.641178809099834,0.596538565734496,-0.0196238746346011,0.151563252405153
"43","K23533",-0.109361311154339,0.0119598963773962,0.727790883321014,0.626825521787446,0.529679569845182,-0.139114492269345,0.35703859312696
"44","K23536",0.540479902678757,0.292118525199638,0.815545233388794,0.525077986540885,0.665114027703182,0.278644712601329,8.28590136879131e-06
"45","K23537",0.368370643286848,0.135696930835566,0.800600049468829,0.640465071495276,0.640960439209491,0.144799120944845,0.000259154775120058
"46","K23540",-0.166348535557428,0.0276718352821008,0.946142772327349,0.722819347171943,0.895186145627281,-0.019773908163037,0.238545592468478
"47","K23541",0.12536360230933,0.0157160327839719,1.01732754777525,0.678788138313603,1.0349553394624,-0.0460563455787419,0.385688399800736
"48","K23548",-0.151722570614791,0.0230197384339602,0.99939886970015,0.788456368113125,0.998798100757936,-0.0218888586210073,0.227628143534635
"49","K23551",-0.172338521906105,0.0297005661327812,1.07727871953028,0.841447498500487,1.16052943955279,-0.0330510462381988,0.176813076449657
"50","K23552",-0.176635441755834,0.0312000792842785,0.623169960101963,0.502268660064228,0.388340799173482,-0.0848386697558805,0.240278420727513
"51","K23555",0.0144988006461284,0.000210215220176174,0.729971666599194,0.611402615917769,0.532858634037605,-0.0662143376965136,0.90801370892285
"52","K23556",-0.167629677837344,0.0280997088918517,0.6933030780467,0.571281295079253,0.480669158029029,-0.442007474087087,0.307715295862719
"53","K23557",0.345301812335159,0.119233341601945,0.959653543482242,0.765274829935756,0.920934923518023,0.130548146874111,0.00341582300935424
"54","K23559",0.303871370201306,0.092337809628019,0.927010265839114,0.71569151266546,0.859348032971105,0.0781297417198531,0.00223018729125708
"55","K23563",0.474382015251906,0.22503829639446,0.726402740691406,0.516127451407492,0.527660941683986,0.211727486124149,0.000168569178792883
"56","K23565",0.238809873352893,0.0570301556108251,0.554994598623665,0.458177081141648,0.308019004501443,0.0588308195789233,0.0534740824871787
"57","KTFG534",0.451223487299994,0.203602635491168,1.06926323033581,0.889419523066304,1.14332385574816,0.203560915182277,6.68728158455438e-07
"58","KTGF118",-0.0250005653687142,0.000625028268755351,0.410187872531858,0.223761535704126,0.168254090772211,-0.0316783182196199,0.832548137405203
"59","KTGF120",-0.189252627899758,0.0358165571669642,0.562330536787935,0.43766494351888,0.316215632604207,-0.0121088586812859,0.10391131596054
"60","KTGF122",-0.127889367791935,0.0163556903942209,0.683287917778653,0.585767707953945,0.466882378582287,-0.0265645112454997,0.23233651555684
"61","KTGF124",-0.0845475921401498,0.00714829533669712,1.04220330686602,0.860602945119046,1.08618773284246,-0.0551878634089755,0.520692797423757
"62","KTGF125",-0.263441579944445,0.0694014660436256,0.293298932868019,0.126092796669688,0.0860242640215187,-0.0181195409483201,0.0116335092269672
"63","KTGF126",-0.0791603534661954,0.006266361560893,0.550621875278134,0.307331506278844,0.303184449534808,-0.019366390943462,0.445735796616123
"64","KTGF127",-0.120717630678263,0.0145727463565734,0.554739759153592,0.27879165857149,0.307736200385785,-0.0301835660533671,0.470330396934949
"65","KTGF129",-0.23426898224777,0.0548819560434061,0.69551085869837,0.474358478051132,0.483735354567345,-0.019374546049604,0.0195998133235102
"66","KTGF130",0.194658239499911,0.0378918302052048,1.03090125552087,0.874900701529152,1.06275739863451,0.040302056228191,0.0942239154982164
"67","KTGF136",0.209830820259074,0.0440289731305959,0.742658824816704,0.583940970210683,0.551542130078128,0.0626971893469959,0.147879189108663
"68","KTGF138",-0.102890192259761,0.0105863916632505,0.391576629676347,0.166606013407755,0.153332256908687,-0.099189070610469,0.556421882677217
"69","KTGF142",-0.185437990088956,0.0343872481682318,1.01909644769535,0.708690656731059,1.03855756970527,-0.0841083403063831,0.286194212931636
"70","KTGF143",-0.468510083156178,0.219501698019009,0.347392667895707,0.180426943845675,0.120681665707697,-0.0432612417099618,2.91187619978109e-05
"71","KTGF146",-0.114002158311798,0.0129964920997482,0.891144328283218,0.594609477782607,0.794138213831348,-0.324845591597575,0.416325406282296
"72","KTGF147",-0.241549601633118,0.0583462100491178,0.335637848490486,0.172826218474211,0.112652765339323,-0.0236707806921068,0.0343135414585154
"73","KTGF148",-0.218798418424023,0.0478727479048541,0.417856223237954,0.240126913027249,0.174603823298687,-0.00140428068364429,0.0249340591718384
"74","KTGF150",0.189500103690784,0.0359102892988179,0.534417109560304,0.49836041793321,0.28560164699079,0.037602900809205,0.0770089392876413
"75","KTGF153",-0.253602037435286,0.0643139933913278,0.31112867143547,0.152842342248442,0.0968010501892007,-0.00457509071893147,0.0117469708128642
"76","KTGF154",-0.164966670978409,0.0272140025336987,0.459062118166245,0.275802196285627,0.21073802833528,-0.0624945606499754,0.126777564736371
"77","KTGF156",-0.198806935322649,0.0395241975323841,0.372282862546617,0.267075497788176,0.138594529745904,-0.0403144948828325,0.0521594080780746
"78","KTGF157",-0.166979609072184,0.0278821898458992,0.562797774042429,0.461868847251641,0.316741334467113,-0.0812893831808355,0.096817453303671
"79","KTGF158",0.366647426837718,0.13443033560672,1.03173616588588,0.826284569571612,1.0644795159969,0.145320970193115,0.00166152318018973
"80","KTGF527",-0.0824539605793819,0.00679865561522628,1.19856562995095,0.968808894756982,1.43655956929973,-0.0927550526129075,0.44770316661326
"81","KTGF528",0.24542218267512,0.0602320477490201,1.21824225953459,1.00175226481917,1.48411420291595,0.0511400997750492,0.132084127269222
"82","KTGF533",0.30589286832509,0.0935704468921505,1.29107428414244,1.07724459246533,1.66687280717393,0.102372628002636,0.00645805466073222
"83","KTGF540",-0.169339718616294,0.0286759403010457,0.739206905900322,0.516806948978619,0.546426849730728,-0.0447615032787816,0.323478398100269
"84","KTGF544",0.168003199234945,0.0282250749531766,0.620551428439292,0.484695121566477,0.385084075338045,-0.0444009562068377,0.0930830708511568
"85","KTGF545",0.0885653460703748,0.00784382052456526,0.536608233767295,0.285139883237797,0.287948396546856,-0.0711283637334212,0.431723441306589
"86","KTGF549",-0.442419813159266,0.19573529107588,0.588695884919038,0.47544190387608,0.346562844920609,-0.0636444917839889,0.00610926177540583
"87","KTGF550",0.245425936380362,0.0602338902481776,0.843180820958204,0.698556187635503,0.710953896831751,0.0685053025184005,0.0104628452556048
"88","KTGF553",-0.199047562504105,0.0396199321388259,0.572026792338397,0.503118678924287,0.327214651152955,-0.0216877044740889,0.0531389664998668
"89","KTGF556",0.299232306881612,0.0895399734816911,0.786690233013833,0.641484774378131,0.618881522719359,0.077163110022228,0.0146574114902351
"90","KTGF557",0.162871939324652,0.0265272686193732,1.12158556863812,0.952457828430799,1.2579541877773,-0.0250663145576324,0.159795787266765
"91","KTGF561",0.156018879723152,0.0243418908300675,0.536926246945665,0.315691790920653,0.288289794659158,0.0246811012326492,0.146622470376345
"92","KTGF562",-0.171191829494686,0.0293066424857376,0.90245849283171,0.742761089043363,0.814431331284082,0.00257254432308129,0.0793265776389032
"93","KTGF565",0.153722998796194,0.0236307603588947,0.708812506981241,0.529350710167569,0.502415170053031,-0.0417726320217258,0.29687109784169
"94","KTGF570",-0.228293851455742,0.0521180826124966,0.676187030225871,0.547899063059146,0.457228899845683,-0.117881884030194,0.114630583692163
"95","KTGF572",-0.257251024045589,0.0661780893725043,0.636867472275786,0.488959772298436,0.405600177242949,0.00146488739181971,0.0491894723845113
