"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.0568294350826851,0.00322958469181712,0.49352580738816,0.364146862264369,0.243567722558136,-0.0844090005071618,0.621164664110306
"2","K23107",0.0682577437863111,0.00465911958679769,0.534537558010146,0.333285115180627,0.28573040092345,-0.0920516826045397,0.610672488115973
"3","K23114",0.509560005601524,0.259651399308625,1.00180692333047,0.747637135682392,1.00361711163287,0.244985292166096,0.000567472788185569
"4","K23115",-0.180059893931069,0.0324215654024677,0.659581707323798,0.562401928125938,0.435048028636176,-0.0918174702776213,0.14482287297814
"5","K23117",-0.0378006043679791,0.00142888569058448,1.18527510983686,1.01126155617845,1.40487708599879,-0.0482737044547092,0.720536956756597
"6","K23121",0.0414406732761758,0.00171732940158275,0.269405442997803,0.143011581422693,0.0725792927168426,-0.0386096787780172,0.76606359228564
"7","K23125",-0.185916987283032,0.0345651261603989,0.546264885288338,0.383753605754976,0.298405324899081,-0.0786921510794854,0.115297376477585
"8","K23126",0.270992863507873,0.0734371320721966,1.00223493796749,0.814969686416745,1.00447487088271,0.0848080194791043,0.0195244428955417
"9","K23128",-0.0323429243313575,0.00104606475430392,0.825922264964356,0.649594130944777,0.682147587763851,-0.12547489329247,0.840899023704322
"10","K23131",0.0926167794406723,0.00857786783396215,0.415526554058086,0.276213156420779,0.172662317127388,-0.0801500474474199,0.39354123330349
"11","K23133",-0.0623946409651485,0.00389309122116978,0.414814314894722,0.23421301041301,0.172070915841578,-0.0550818244905806,0.597418689366538
"12","K23145",-0.189228084774333,0.0358072680673621,0.642983971699285,0.464237353479853,0.413428387862187,-0.267131162798392,0.14760594943116
"13","K23148",-0.0994981202780469,0.00989987593886467,0.359223439332436,0.181520487996852,0.129041479365825,-0.064592204768054,0.469836238557986
"14","K23150",0.23761272752947,0.0564598082839941,0.612372690321992,0.423174996044599,0.375000311852195,0.066849572015129,0.0547185773970462
"15","K23151",0.102973621389439,0.0106035667020555,0.600520477146329,0.4529574517801,0.360624843472054,0.00950996670345916,0.418107757344153
"16","K23153",-0.0571800044249752,0.00326955290604018,1.0401049791355,0.899404977969561,1.08181836762246,-0.0517678574107248,0.740460707561032
"17","K23156",-0.0288760571065019,0.000833826674017958,0.871092415460576,0.752715159291128,0.758801996272941,-0.0701053793592752,0.850645631685186
"18","K23502",0.063085392240104,0.00397976671408778,0.709620574659698,0.576644717070045,0.50356135998036,-0.0347054349034659,0.585711542474364
"19","K23503",0.261760488670896,0.0685185534292262,0.746476813771384,0.627345838864332,0.557227633498277,0.0725812407641083,0.0252836127746986
"20","K23507",0.116451944777447,0.0135610554424495,0.5596763797999,0.360390773679009,0.313237650105922,0.00988309779274632,0.323118533553849
"21","K23508",0.168326845892669,0.0283339270481743,0.727128285969572,0.518432997184888,0.528715544257047,0.0375627208559676,0.214937167662457
"22","K23509",0.270254553126172,0.0730375234854267,0.563701146660276,0.49111213057961,0.31775898274611,0.0728800411950395,0.010879723152369
"23","K23510",0.119240911721613,0.0142183950282015,0.876443310118106,0.722755930387122,0.768152875850782,0.0163441980093517,0.232596797659332
"24","K23517",-0.248580708777873,0.0617923687765097,0.974777750556235,0.800979769278537,0.950191662979474,-0.0873327277393972,0.0315162528942985
"25","K23521",0.348800582378116,0.121661846267313,1.16066243297081,0.921861998112998,1.34713728330972,0.131450962076625,0.0130456120752331
"26","K23526",0.18908172273514,0.0357518978724882,1.26142208463541,0.971893163705373,1.59118567560594,0.0272169199063816,0.0812326641426381
"27","K23529",-0.0295538428869923,0.000873429629389027,0.542756531397,0.376050396825397,0.294584652374102,-0.223909715941022,0.841948908277242
"28","K23531",0.0736312280646514,0.0054215577463087,0.428447571007431,0.242901392335263,0.183567321102168,-0.00422122720597629,0.693839924799955
"29","K23532",-0.291124495453344,0.084753471852964,0.481969305615929,0.317415508010508,0.2322944115559,-0.0924115570466677,0.118564732377611
"30","K23533",0.0363958397146951,0.00132465714853778,0.533639738974645,0.45176508061153,0.284771371012927,-0.0379738738168827,0.759832860854078
"31","K23537",0.189438613469407,0.0358869882732112,0.56632860886327,0.343153080882012,0.320728093217007,0.0427432601901427,0.0674449581625257
"32","K23540",0.0868093032139708,0.00753585512449512,0.981414106963138,0.792520378514137,0.963173649346254,-0.0559472997380182,0.540583738394192
"33","K23541",0.526238787950641,0.276927261943759,0.923933646396727,0.704053985093338,0.853653382943952,0.289588726829931,8.6671861436369e-05
"34","K23548",0.114144581042599,0.0130289853813905,1.02109315815805,0.834091426713056,1.04263123763718,0.00199126816137218,0.365268964764689
"35","K23551",0.209889992637964,0.0440538090095647,1.25518688914559,0.944993104762175,1.57549412668299,0.0462058185332066,0.09873099097589
"36","K23552",-0.163171360805007,0.0266248929869577,0.590289928922872,0.429929079250904,0.34844220018777,-0.0911881306939231,0.278583284456583
"37","K23555",-0.065876307879634,0.00433968793985233,0.399831155287683,0.239747050698297,0.159864952738683,-0.150705783974748,0.599216502418304
"38","K23556",0.126793721291298,0.0160766477588955,0.753934687399789,0.596167272613427,0.568417512864617,0.00660995982858092,0.441788686385654
"39","K23557",0.0192796312585922,0.000371704181467286,0.719080153858215,0.493997416248551,0.517076267672754,-0.0168885882978016,0.87412959986216
"40","K23559",0.121881625032853,0.0148551305206489,0.58771593990032,0.423289297571976,0.345410026012917,0.00676702063505363,0.229444286570195
"41","K23563",0.195155134389536,0.0380855264785978,0.748194465780204,0.568962606828077,0.559794958624125,0.048003017895392,0.142087879740381
"42","K23565",-0.0461455258611271,0.00212940955699995,0.96818527458741,0.798227335619916,0.937382725927899,-0.0579773465484577,0.712931937445496
"43","KTFG534",0.264979386006811,0.0702140750085464,1.04232503296424,0.846232030982031,1.0864414743439,0.0742881785248433,0.00494565801508918
"44","KTGF118",-0.0477677795941471,0.00228176076735502,0.265771095368679,0.13901084235496,0.0706342751334676,-0.105989432669542,0.686103058908168
"45","KTGF120",-0.075152674674628,0.00564792451075048,0.27881239523813,0.160846964072964,0.0777363517384234,-0.0421177588121964,0.521641630380082
"46","KTGF122",0.189100935506993,0.0357591638096198,0.860178002632725,0.67009516656548,0.739906196213225,0.0440538883632499,0.0759299918317529
"47","KTGF124",0.337564482564576,0.11394977988909,0.738976578514226,0.608736666666667,0.546086383592593,0.125669019485401,0.00834771041053797
"48","KTGF126",0.0588169900330826,0.00345943831655174,0.630676881345153,0.536334884370796,0.397753328663248,-0.0355502113594186,0.57127249184601
"49","KTGF129",-0.086263409850938,0.00744137587911089,0.928686650224983,0.63802961636488,0.8624588943061,-0.0711183042188657,0.395884930016823
"50","KTGF130",0.33958682043263,0.115319208611543,0.917333448566,0.78282759247724,0.841500655857991,0.114797452613372,0.00287657779892888
"51","KTGF136",0.425212830399098,0.180805951136012,1.11288702423437,0.85944895651531,1.23851752870922,0.196193921764876,0.00232190298264115
"52","KTGF138",0.451468721843298,0.203824006802821,0.217963353384218,0.0728381859410431,0.0475080234184933,0.143415941393833,0.00648289316409548
"53","KTGF142",-0.376911860407392,0.142062550515762,0.247622878984809,0.117173530437816,0.0613170901967255,-0.105565717183383,0.0256219945503143
"54","KTGF146",-0.258516353687196,0.0668307051237232,0.796760149129051,0.485368983740653,0.634826735240148,-0.107330685013827,0.0616144070311034
"55","KTGF147",-0.0417888131177902,0.00174630490179358,0.406837522720928,0.227506041689827,0.165516769893702,-0.0528305841499372,0.71820766564162
"56","KTGF150",-0.0425220186771325,0.00180812207237841,0.285999565297377,0.157756407887173,0.0817957513502885,-0.104459034105482,0.694048857910758
"57","KTGF156",-0.057756757625012,0.00333584305135438,0.263694613670607,0.134065608465608,0.0695348492788906,-0.174366343376819,0.576194292645775
"58","KTGF527",-0.0845549273537548,0.00714953573979876,1.33795917340606,1.14984263357032,1.79013474970144,-0.0509877744245248,0.436177328164673
"59","KTGF528",0.22080816956606,0.0487562477471138,1.41396252301523,1.2869842826689,1.99929001649158,0.0705935368756183,0.176751827886972
"60","KTGF533",-0.132289989738691,0.0175006413850628,0.871478326355777,0.56424424909741,0.759474473307866,-0.0707520391284155,0.248265275283811
"61","KTGF540",-0.18624579768821,0.0346874971565176,0.431017080172293,0.34315509660093,0.185775723400249,-0.153090696967062,0.276777116965793
"62","KTGF544",0.253920175971907,0.064475455765604,0.584870071180534,0.407260700795354,0.342073000162723,0.0707538188156271,0.0103998624231945
"63","KTGF545",-0.199802584208692,0.0399210726564715,0.636511476692089,0.413845945174287,0.405146859960743,-0.101238109289266,0.0737190541217111
"64","KTGF549",-0.269720252680087,0.0727490147058101,0.745510014357868,0.433418956868957,0.555785181507869,-0.0951270144504168,0.106437788092121
"65","KTGF550",-0.171777183572361,0.0295074007960527,1.12166449462075,0.919285486145005,1.25813123849282,-0.0928265628399709,0.0754652015410666
"66","KTGF553",-0.0884134382399183,0.00781693606140383,0.483601063292312,0.276847605913776,0.233869988417455,-0.102671064713763,0.394208667952853
"67","KTGF556",0.470506683888928,0.221376539584156,0.858170669693145,0.703715516353066,0.736456898321581,0.217389127124205,6.70417830334328e-05
"68","KTGF562",-0.17250003980686,0.0297562637333681,0.84018214882387,0.562679148511681,0.705906043202295,-0.126898201497641,0.0770242801719722
"69","KTGF565",0.0186831950854399,0.000349061778600606,0.613997193774811,0.530370401184464,0.376992553963343,-0.0271681180450514,0.899700368785101
"70","KTGF572",0.216180449555384,0.0467339867699681,1.02082644580358,0.867686516313438,1.04208663245197,0.0505802832133581,0.100074001694171
