"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",0.2742305426459,0.0752023905198645,0.250855726094757,0.197099562213665,0.0629285953145277,0.0816570488305951,0.0151151038345453
"2","K23104",0.069241822678469,0.00479443000783655,0.0696375989516697,0.0261743635537397,0.00484939518775358,-0.0380461039967539,0.511919716807624
"3","K23106",-0.124184877312974,0.0154218837532385,0.507393822177681,0.329762869880462,0.257448490784077,-0.133759313663235,0.370955056211539
"4","K23107",0.0770096791216975,0.00593049067842682,0.210314461501675,0.170293124218944,0.0442321727167393,-0.0478376329728214,0.56557844964023
"5","K23109",-0.14658200274464,0.0214862835286297,0.39775581904022,0.267538032106327,0.158209691580356,-0.0769889514580802,0.165601976027213
"6","K23114",0.621812838434795,0.386651206042336,0.772291469347894,0.580599019992718,0.59643411362753,0.37234145895163,5.13495457754679e-06
"7","K23115",0.197761024593645,0.0391094228483282,0.56479185341527,0.460161227209666,0.318989837684255,0.0527415639338911,0.108677069516514
"8","K23117",-0.118783360634769,0.0141094867636896,0.860543871185147,0.707838971242029,0.740535754234319,-0.0772700951951388,0.256780770689665
"9","K23120",0.246306596347131,0.0606669394041084,0.26436178312207,0.212628789621472,0.0698871523754804,0.0659818545307038,0.0276362858756925
"10","K23121",0.260978211207915,0.0681096267252829,0.400576343597508,0.320036347236238,0.160461407049949,0.0631992468738461,0.0566380423850511
"11","K23122",-0.248511095739313,0.0617577647055541,0.295271968294824,0.230315090847796,0.0871855352606998,-0.13820237241441,0.163157242893527
"12","K23125",0.0318485696210505,0.0010143313869069,0.423487880450819,0.327447157718342,0.179341984888727,-0.00136841987445058,0.789095370731161
"13","K23126",0.299090657181085,0.0894552212130133,0.679840509575047,0.567523555555555,0.462183118459259,0.0999591903688104,0.00914308354817391
"14","K23128",-0.12241134157178,0.014984536545403,0.592723520005479,0.48305287749739,0.351321171167685,-0.0912248498390229,0.445791808935286
"15","K23129",0.239045748025304,0.0571428696489769,0.289149996514459,0.180943995408784,0.0836077204843115,0.0600315448509338,0.0375559282575986
"16","K23130",0.566690525449882,0.321138151634663,0.355842364578515,0.228285790921313,0.126623788428829,0.321080964168834,0.000314249296265402
"17","K23131",0.373688854856037,0.139643360243616,0.37571511439548,0.304658235360434,0.141161847185209,0.137113610588453,0.000363576256641016
"18","K23133",-0.200637887484787,0.0402555618943579,0.326958081641497,0.26375013035013,0.106901587150688,-0.0546553092719462,0.0865204040192143
"19","K23134",-0.196626506925264,0.0386619832256308,0.37759130407026,0.245264897782065,0.14257519290948,-0.244161227314824,0.212010695935306
"20","K23136",-0.0560645829402328,0.00314323746026224,0.488854658744366,0.395539177425908,0.238978877376071,-0.0205892466817277,0.721026040264295
"21","K23139",-0.0247615430108086,0.000613134012276125,0.140490480909246,0.0489883858263306,0.0197375752261112,-0.156116234835231,0.783147415022188
