"","id","RMSE","MAE","R2","R","valid_correlations","p_value","meanYactual","meanY","Count"
"1","K23101",0.499340418277439,0.409793366830898,0.00158506374676902,-0.0398128590629839,1,0.729284089757022,0.217948717948718,0.217948717948718,78
"2","K23104",0.255059514235991,0.233738217591322,NA,NA,0,NA,0,0,92
"3","K23106",0.842487476768621,0.578865830547027,0.00372508210556134,0.0610334507099291,1,0.661083940833052,0.240740740740741,0.240740740740741,54
"4","K23107",0.530464327670377,0.431772366205151,0.0161289255337389,0.126999706825405,1,0.342112113851931,0.189655172413793,0.189655172413793,58
"5","K23109",0.555655070933473,0.386520379712684,0.00709427030826236,0.0842274914043055,1,0.427321304832577,0.0989010989010989,0.0989010989010989,91
"6","K23114",1.38069257682901,1.12506683816532,0.260064590677439,0.509965283796298,1,0.000560789388035483,1.5,1.5,42
"7","K23115",0.652738284146762,0.504267507002381,0.00174687256802098,-0.0417956046495439,1,0.737006325290833,0.417910447761194,0.417910447761194,67
"8","K23117",1.25957751717676,0.945244289091876,0.0313955511285255,0.177187897804917,1,0.0910877757229669,0.978260869565217,0.978260869565217,92
"9","K23120",0.327894298914637,0.307899419802891,0.0331749946839192,0.182140041407482,1,0.105872291625847,0.0375,0.0375,80
"10","K23121",0.322877109886521,0.293250893355746,0.139914440823543,0.374051387944949,1,0.0053310565770769,0.0740740740740741,0.0740740740740741,54
"11","K23122",0.329499553160413,0.308923404170405,0.0100469252359229,-0.100234351576308,1,0.578893699225608,0.0303030303030303,0.0303030303030303,33
"12","K23125",0.529312402135711,0.42798136887893,0.045069596875432,0.212296012387025,1,0.0713622194411134,0.205479452054795,0.205479452054795,73
"13","K23126",1.10568352751505,0.766349817854206,0.0714639893988364,0.267327494655593,1,0.0213033266143937,0.743243243243243,0.743243243243243,74
"14","K23128",0.816882290572628,0.621043553438184,0.0177556037363895,-0.133250154733079,1,0.406231107744045,0.48780487804878,0.48780487804878,41
"15","K23129",0.458418136130943,0.391598217643744,0.01725632445442,0.131363329945689,1,0.258000753975598,0.0657894736842105,0.0657894736842105,76
"16","K23130",0.266226944442949,0.225843408236647,0.00145586192252055,0.0381557587071801,1,0.825142764775945,0.0277777777777778,0.0277777777777778,36
"17","K23131",0.473894949592473,0.421025097066623,0.00134462314261761,-0.0366691033789703,1,0.735971347841188,0.160919540229885,0.160919540229885,87
"18","K23133",0.429920102029629,0.351685426062609,0.0386578003806537,0.19661587011392,1,0.0931538320350605,0.121621621621622,0.121621621621622,74
"19","K23134",0.433134355007299,0.354925187079961,0.00469473966169608,-0.0685181703031836,1,0.666355620867576,0.0714285714285714,0.0714285714285714,42
"20","K23136",0.346442293133939,0.330181605254358,0.0755133283601014,0.274796885644837,1,0.0745254284040619,0.0232558139534884,0.0232558139534884,43
"21","K23139",0.403266783410233,0.360725230848689,0.0105534734002812,0.102730099777432,1,0.252341138328366,0.0238095238095238,0.0238095238095238,126
"22","K23141",0.2937340940293,0.267263382062276,NA,NA,0,NA,0,0,77
"23","K23142",0.390379545317553,0.288760787213786,NA,NA,0,NA,0,0,108
"24","K23143",0.369707945253977,0.320980087924565,0.000260941815295879,0.0161536935496461,1,0.854698033821065,0.0229007633587786,0.0229007633587786,131
"25","K23144",0.430532585317781,0.362708156800529,0.0287126440071938,0.169448056959039,1,0.0503116596096723,0.082089552238806,0.082089552238806,134
"26","K23145",0.536981445514926,0.403507555894829,0.11401121921893,0.33765547414329,1,0.00832912400845489,0.25,0.25,60
"27","K23147",0.294817572643999,0.28114729709842,NA,NA,0,NA,0,0,34
"28","K23148",0.422784803663329,0.37383863982036,0.0280872807447626,0.167592603490615,1,0.221320510174117,0.0909090909090909,0.0909090909090909,55
"29","K23150",0.635280061250061,0.452197699909704,0.00424291522303121,0.0651376636288961,1,0.603326785174912,0.242424242424242,0.242424242424242,66
"30","K23151",0.579364939126572,0.4692175064922,0.0849948324446736,0.291538732323295,1,0.0194201428453039,0.28125,0.28125,64
"31","K23153",1.55435542545031,1.28054243665834,8.53575720230004e-07,-0.000923891617144567,1,0.995733166583772,1.66666666666667,1.66666666666667,36
"32","K23155",0.294061013831803,0.262461607802743,0.122985276993683,0.350692567633936,1,0.00313384336408812,0.0434782608695652,0.0434782608695652,69
"33","K23156",0.855678978143937,0.670616353716317,9.67231931655673e-05,0.00983479502407484,1,0.948875639827839,0.533333333333333,0.533333333333333,45
"34","K23502",0.649762507371892,0.510530947182766,0.128095108164112,0.357903769418698,1,0.00139446966736546,0.441558441558442,0.441558441558442,77
"35","K23503",0.780672832052153,0.626859082710832,0.0380505608328771,0.19506552958654,1,0.0981674882027297,0.616438356164384,0.616438356164384,73
"36","K23507",0.580094018959135,0.457992075254615,0.010607221406932,0.102991365691168,1,0.382550178407803,0.22972972972973,0.22972972972973,74
"37","K23508",0.692101670679577,0.50530113143391,0.138723198293506,0.372455632651067,1,0.00470122031066391,0.321428571428571,0.321428571428571,56
"38","K23509",0.570723977456215,0.491530506507496,0.0743865506196426,0.272738978915084,1,0.0101442411214346,0.545454545454545,0.545454545454545,88
"39","K23510",0.894669816065664,0.70278384637762,0.0115906608711576,0.107659931595546,1,0.281459993203279,0.57843137254902,0.57843137254902,102
"40","K23517",1.0766699284087,0.850995517851032,0.00222096514266235,0.0471271168507299,1,0.688051270904675,0.933333333333333,0.933333333333333,75
"41","K23521",1.73846695304043,1.4417632746931,0.0957918914509451,0.309502651767227,1,0.0287297471572506,1.8,1.8,50
"42","K23526",1.30531890433086,0.912122013028151,0.0543417943440473,0.233113265053809,1,0.0307708887148386,0.848837209302326,0.848837209302326,86
"43","K23529",0.517174170043989,0.42386578676856,0.00542567231509072,0.0736591631441108,1,0.618800963794242,0.1875,0.1875,48
"44","K23531",0.493880066798957,0.411349952856079,0.0303112737888802,0.174101331956077,1,0.348912340505278,0.129032258064516,0.129032258064516,31
"45","K23532",0.477844251479911,0.365906510549544,0.000117012184812539,0.0108172170548871,1,0.954758432690543,0.166666666666667,0.166666666666667,30
"46","K23533",0.541955112859953,0.478059036032526,0.00247933716360892,-0.0497929429097028,1,0.67569276691232,0.315068493150685,0.315068493150685,73
"47","K23536",0.422943153261555,0.398634833940648,NA,NA,0,NA,0,0,60
"48","K23537",0.574962320416018,0.463802573293153,0.168974292929087,0.411064828134306,1,3.86241142075956e-05,0.202127659574468,0.202127659574468,94
"49","K23540",1.12288921769173,0.872167951950388,0.0409175234489136,0.202280803461212,1,0.150399002379227,1.40384615384615,1.40384615384615,52
"50","K23541",0.957032135667615,0.676649610847729,0.480068998045761,0.692870116288588,1,2.46683260049147e-08,0.68,0.68,50
"51","K23548",1.10518629949927,0.88263227629008,0.08317780439317,0.288405624759938,1,0.0198152775511801,1.04615384615385,1.04615384615385,65
"52","K23551",1.2573161766075,0.871908815577407,0.0992670516886912,0.315066741641658,1,0.0118998352401088,0.73015873015873,0.73015873015873,63
"53","K23552",0.653458106388296,0.565527595138327,0.0299406340920895,-0.173033621276588,1,0.250154770605907,0.239130434782609,0.239130434782609,46
"54","K23555",0.412200881102781,0.345679287755859,0.0222543871662824,0.149179043991716,1,0.231898199621016,0.121212121212121,0.121212121212121,66
"55","K23556",0.849103407414475,0.669990436845766,0.120542614640403,0.347192474919032,1,0.030346454246202,0.82051282051282,0.82051282051282,39
"56","K23557",0.729427408728354,0.511763766981189,0.00339580635809759,0.0582735476704275,1,0.631810351893498,0.314285714285714,0.314285714285714,70
"57","K23559",0.567792964223234,0.488274059599151,0.151188151475414,0.388829206047352,1,6.96846225502606e-05,0.282828282828283,0.282828282828283,99
"58","K23563",0.782518506502362,0.618848865196928,0.0857761741219105,0.292875697390396,1,0.0256750772996417,0.793103448275862,0.793103448275862,58
"59","K23565",1.64306272303237,1.4180588943273,0.0209204746529028,0.144639118681299,1,0.246575413681562,1.77272727272727,1.77272727272727,66
"60","KTFG534",1.04396269552597,0.765428442895406,0.177964414584082,0.42185828732417,1,4.00021736327747e-06,0.90990990990991,0.90990990990991,111
"61","KTGF118",0.366412880994375,0.340070721142865,0.00126993042420688,-0.0356360831771238,1,0.763086655244733,0.0675675675675676,0.0675675675675676,74
"62","KTGF119",0.254526255949362,0.233500588496026,NA,NA,0,NA,0,0,67
"63","KTGF120",0.321912205359066,0.293674417778006,0.0776352599491445,0.278631046276513,1,0.0154934998181688,0.08,0.08,75
"64","KTGF122",0.864931494627119,0.586747414245296,0.0489635512162342,0.221277091485391,1,0.0371673357579611,0.460674157303371,0.460674157303371,89
"65","KTGF124",0.827424863656551,0.601322958037761,0.00144201156293418,0.037973827341133,1,0.773300591858689,0.55,0.55,60
