"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",0.0226823963731443,0.000514491105228429,0.345096924224298,0.233798149073149,0.119091887109071,-0.051861579378063,0.843736326462827
"2","K23106",-0.0329508732486278,0.00108576004784713,0.752668884797141,0.540271172664784,0.566510450141772,-0.0723233520540685,0.813016076122912
"3","K23107",-0.245893195894501,0.0604634637872113,0.192698519003933,0.075575746284367,0.037132719226309,-0.0960783014480138,0.0628035005231413
"4","K23109",-0.199679659087884,0.0398719662534535,0.734949209333279,0.623272640063235,0.540150340299613,-0.102100470118044,0.057742373051397
"5","K23114",0.540726201705802,0.292384825211183,1.0264508589961,0.861184889493475,1.05360136593383,0.308837503947408,0.000218217231893349
"6","K23115",0.191559190568628,0.0366949234913078,0.739939943262852,0.626115947733858,0.547511119635832,0.0468133184922637,0.120449146002978
"7","K23117",0.146058831874613,0.0213331823685764,1.11278933978962,0.922940853357701,1.23830011474941,0.0200351110046295,0.164755205806123
"8","K23120",0.00289003943252673,8.35232792155933e-06,0.570660102242262,0.474520919710678,0.325652952291149,-0.0630819516942496,0.979701999678975
"9","K23121",0.273070686267659,0.0745675996986899,0.737764680748042,0.60041233514428,0.54429672415926,0.0836604561507042,0.0457333478808255
"10","K23122",-0.0717352687282869,0.00514594877951954,0.61060724260011,0.453299338895021,0.372841204715709,-0.1859045547584,0.691581253844599
"11","K23125",0.185066466986082,0.0342495972027106,0.613722951973783,0.491592850320392,0.376655861779414,0.0463857372289972,0.117000005394199
"12","K23126",0.186071805294332,0.0346227167254919,0.613954206932352,0.51594018021371,0.376939768209934,0.0115395010339493,0.112445674564458
"13","K23128",-0.0130569642237783,0.000170484314741026,0.454107165301587,0.294259229157579,0.206213317578243,-0.0568432525884937,0.935423495793041
"14","K23129",-0.12212015974427,0.014913333415966,0.259836938818051,0.0872223105111263,0.0675152347743353,-0.0372960598752323,0.293298005351565
"15","K23130",0.616518446848332,0.380094995304279,0.68767896075124,0.555972420924284,0.472902353059906,0.381249257678629,6.23264979810562e-05
"16","K23131",0.0590196784230778,0.00348332244116351,0.597120011832804,0.533195672073139,0.356552308531208,-0.0236854844322689,0.587122669808835
"17","K23133",0.0241769167454407,0.00058452330331597,0.320089691363611,0.127839124839125,0.102457410517252,-0.29316572807055,0.837988734492497
"18","K23134",-0.138131940291705,0.019080432928751,0.599960784158956,0.269076946334089,0.35995294252863,-0.122896679409962,0.383004335859785
"19","K23136",-0.183881455783607,0.0338123897810986,0.638660218621102,0.399491849099373,0.407886874849154,-0.133297993811649,0.237858021735759
"20","K23139",-0.0612358360214003,0.00374982761323983,0.307020245481482,0.106371691140418,0.0942614311355095,-0.110409529083224,0.495770435638744
"21","K23142",0.44915640589808,0.201741476959281,0.385546399123331,0.129230601272649,0.148646025876967,0.147939744526668,1.08339777808796e-06
"22","K23143",-0.0476297209428064,0.0022685903170896,0.277589940602993,0.123311162262685,0.0770561751239732,-0.0531835171438706,0.589039070140631
"23","K23144",-0.0148172460512895,0.000219550780544454,0.382986254095963,0.183200521058543,0.146678470826458,-0.0307979917464984,0.865069576864976
"24","K23145",-0.0919147510533633,0.00844832146120175,0.863064392324204,0.534547878787879,0.744880145297947,-0.150971503428518,0.484881871817954
"25","K23148",-0.135605854292859,0.0183889477184961,0.354395627354537,0.182021346633165,0.125596260688016,-0.0361691506761286,0.323569100486294
"26","K23150",-0.143225112723999,0.0205134329148021,0.701655610370757,0.53079799299584,0.492320595564759,-0.0931963535055993,0.251273788872804
"27","K23151",-0.0483599576855844,0.00233868550735151,0.791398680377523,0.539561164573274,0.626311871303284,-0.216420744265339,0.704333876200506
"28","K23153",0.536376853333007,0.287700128791418,0.925206646703826,0.760219444444444,0.856007339104938,0.30279945231272,0.000745941904012726
"29","K23155",-0.0550530469285817,0.00303083797612062,0.369956996199555,0.246032114416572,0.136868179036998,-0.189232400077021,0.653221376925034
"30","K23156",-0.11456776580283,0.0131257729610522,0.907590000351944,0.789498227980685,0.823719608738842,-0.0990329011475124,0.453622365300604
"31","K23502",0.372100921934841,0.138459096104759,0.582457836011043,0.513826124068285,0.339257130730667,0.149386148656444,0.000861364029314618
"32","K23503",0.064297427188424,0.00413415914305069,0.855212286437787,0.704810992222738,0.731388054874148,-0.00422560512500647,0.588896806325032
"33","K23507",-0.041131800602201,0.00169182502077922,0.457679762458994,0.340535443698563,0.209470764964521,-0.0954124611213387,0.727875783260598
"34","K23508",-0.106911008787632,0.0114299637999892,0.645157452298025,0.469985741422637,0.416228138255679,-0.0683188881895769,0.432890084476236
"35","K23509",0.296370008453704,0.0878351819108487,0.70072403820754,0.571247087254404,0.491014177721881,0.0908816095190522,0.00505154260695143
"36","K23510",0.103363177538121,0.0106839464707772,0.997866970119244,0.834812667289138,0.99573849005496,0.00445478216748851,0.301218792136382
"37","K23517",-0.011749128643941,0.000138042023891875,0.985532699218495,0.785067200251238,0.971274701228892,-0.0299149009973925,0.920308701669452
"38","K23521",0.30953911963453,0.0958144665841197,1.08697512583339,0.935351750693751,1.18151492418051,0.113139839386569,0.028709965726027
"39","K23526",0.331363974292461,0.109802083458895,1.00738861720307,0.79585295710981,1.01483182607032,0.111034074466862,0.00182994499378526
"40","K23529",0.266841901039786,0.0712046001505272,0.960687087205292,0.742197305397489,0.922919679522988,0.089988288022788,0.0667425383979317
"41","K23531",-0.199802692740811,0.0399211160264788,0.996650647149063,0.821671573318877,0.993312512462647,-0.172310452525712,0.281189312504686
"42","K23532",-0.312359942733608,0.0975687338245426,0.790784364124279,0.654979564417064,0.625339910543441,-0.06885210642985,0.0928571551015177
"43","K23533",0.133480968273655,0.0178171688912726,0.673412419708143,0.583808620060972,0.453484287017177,0.0247490128632238,0.260239844649261
"44","K23536",0.520944647610942,0.271383325874488,0.816464134069723,0.491702222222222,0.666613682222222,0.277018249060458,1.97859040631243e-05
"45","K23537",0.505645758365555,0.255677632953077,0.743024919059105,0.560579078014184,0.55208603034279,0.263379719588421,2.01127067999068e-07
"46","K23540",0.137125637100456,0.0188034403502059,0.935106666376239,0.755191114989786,0.874424477501282,0.00387727047534292,0.332356204064378
"47","K23541",0.577691720349326,0.333727723760164,0.804341149032766,0.512538779995603,0.64696468402735,0.346095925797439,1.11962571354178e-05
"48","K23548",-0.00430224096146853,1.85092772905377e-05,1.01768960646774,0.789872144587439,1.03569213511247,-0.0596358293329704,0.972866861617067
"49","K23551",-0.0845827393741873,0.00715423980004171,1.14821979400421,0.864909367191406,1.31840869534307,-0.173588050139027,0.509835748476805
"50","K23552",-0.321481206565066,0.10335016617453,0.644698725549041,0.532797909210037,0.415636446724558,-0.161089668987632,0.0293627562402889
"51","K23555",0.145655655242596,0.0212155699041501,0.69521950855858,0.583987132068711,0.483330165080434,0.0328888021478262,0.243235090155441
"52","K23556",-0.0386356528796118,0.00149271367343386,0.585420640715605,0.502139128037205,0.34271732657587,-0.0281519797276084,0.815360350204694
"53","K23557",0.235801377847969,0.0556022897950007,1.001619839039,0.789048574124288,1.00324230195652,0.0528420018666937,0.049398030523963
"54","K23559",0.362468524261372,0.131383431080217,0.900492766639097,0.701663443643488,0.810887222769336,0.13011633842237,0.000226985771504972
"55","K23563",0.479732084040053,0.230142872457413,0.71471958593401,0.474158387780802,0.510824086517683,0.23688005873138,0.000138717701235973
"56","K23565",0.265736136753203,0.070615694376517,0.55778876976331,0.44026329511796,0.311128311674067,0.0493301587736846,0.031041613507288
"57","KTFG534",0.483161294213624,0.233444836226184,1.04427663056601,0.886339739467681,1.09051368114629,0.240348468348002,7.82938307370355e-08
"58","KTGF118",0.00938377927648628,8.80553135098132e-05,0.411325971046167,0.235911448673405,0.169189054457072,-0.0374112056493781,0.936754418400801
"59","KTGF120",-0.415557337792215,0.172687900992953,0.594153721620508,0.474473801346801,0.3530186449155,-0.129903967290097,0.000209278743820204
"60","KTGF122",-0.0221720487569194,0.000491599746079213,0.690054578727583,0.58469105262647,0.476175321622902,-0.0469975067239099,0.836604169761961
"61","KTGF124",-0.0532406587219514,0.0028345677411473,1.04674570409787,0.841230316720317,1.09567656904734,-0.0644058876036149,0.686203993494653
"62","KTGF125",0.0635691143796866,0.00404103230301768,0.305808554269057,0.123570833927977,0.093518871864131,-0.106820174230104,0.54941717444912
"63","KTGF126",0.0267508149714122,0.00071560610163473,0.560586690715055,0.351879900331987,0.314257437806857,-0.0565959787707937,0.796924755689427
"64","KTGF127",-0.0436821293843253,0.00190812842754894,0.592872664923555,0.303819708361814,0.351497996813558,-0.176681389333007,0.794552306861321
"65","KTGF129",-0.104222120122556,0.0108622503228405,0.725059227032206,0.493308686977485,0.525710882704541,-0.107829492614999,0.304596643731198
"66","KTGF130",0.189140498499824,0.035774128172762,1.03136760521169,0.878615763926282,1.0637191370801,0.0394335810617398,0.104120169233901
"67","KTGF136",0.128367726493425,0.0164782732050907,0.780619463736091,0.587812749132462,0.609366747163623,-0.035571235064191,0.379389483949198
"68","KTGF138",0.344012965458698,0.118344920403688,0.350217677709594,0.106751861471861,0.122652421780301,0.1207446872376,0.0430188412741082
"69","KTGF142",-0.00287664938109244,8.27511166173948e-06,1.00139174709645,0.71101339295625,1.00278543115287,-0.0467672483086985,0.98691493789722
"70","KTGF143",-0.189839024817186,0.03603885534354,0.354270458154686,0.195311507451274,0.125507557521131,-0.0849798064655694,0.107691607333452
"71","KTGF146",-0.0772793622841954,0.00597209983505193,0.852934837615709,0.541062626790588,0.727497837218536,-0.21367072601349,0.582312185912041
"72","KTGF147",-0.0715672266745968,0.00512186793389312,0.34114843796107,0.185098408509409,0.116382256723278,-0.0575605067463103,0.536231322313529
"73","KTGF148",-0.0931697044192904,0.00868059382157795,0.428618868156937,0.262021995464853,0.183714134140134,-0.0536545928625323,0.344487679566922
"74","KTGF150",0.195759690939906,0.0383218565968875,0.54318940570172,0.483635117006026,0.295054730466587,0.00574867233618204,0.06757056875742
"75","KTGF153",-0.0108531250962,0.000117790324353766,0.314623591448248,0.159853160643738,0.0989880042957942,-0.0272707083360471,0.915530746504068
"76","KTGF154",0.0863258080946987,0.00745214514320275,0.45833577400547,0.272000339559278,0.210071681733194,-0.0591349883610224,0.426594217645933
"77","KTGF156",-0.105055873109346,0.011036736474767,0.375827549917451,0.2817592858434,0.141246347276954,-0.0602194956097317,0.308358935686122
"78","KTGF157",0.0437203865093226,0.00191147219652456,0.55008018977968,0.438479576249499,0.302588215188049,-0.032973562193686,0.665804097929522
"79","KTGF158",0.265519137549755,0.0705004124051658,1.07155611959181,0.904822615639637,1.14823251743466,0.0780750223505261,0.0252258231319595
"80","KTGF527",0.0795882596651071,0.00633429107652052,1.14472839431857,0.945793470457872,1.31040309675917,0.00320903111507509,0.463694890353277
"81","KTGF528",0.0406170931905158,0.00164974825924705,1.24762889443892,1.03062198941916,1.55657785823888,0.00481087751940612,0.806067648962946
"82","KTGF533",0.470166716144824,0.221056740970407,1.1952379581351,1.00573376068376,1.42859377656695,0.230688225404725,1.4036222558978e-05
"83","KTGF540",-0.0521932062751094,0.00272413078127612,0.737233334811361,0.533115234901264,0.54351298995708,-0.0391902387646754,0.762413165746715
"84","KTGF544",0.18570928874605,0.0344879399265638,0.599991354628044,0.484929702613118,0.359989625628395,0.0236586415556405,0.0629799430518264
"85","KTGF545",0.277067346165999,0.0767663143114695,0.496628711564015,0.245590873162986,0.246640077149734,0.0825328932662042,0.0122770365907758
