"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",0.175592418006773,0.0308326972614652,0.467237778321332,0.341245607556965,0.218311141490654,0.0280380164619206,0.124115425437074
"2","K23106",0.0987206705886038,0.00974577080146362,0.758408556580006,0.316473557817861,0.575183538693768,-0.0447854415177185,0.486251391715273
"3","K23107",0.170599126543137,0.0291040619772812,0.547579644462802,0.377901830036604,0.299843467030009,-0.145991331793307,0.200414661067609
"4","K23109",-0.314028483053019,0.0986138881685804,0.5052023193086,0.193681593067651,0.255229383434789,-0.0278468382667922,0.00257716562154808
"5","K23114",0.560323038665014,0.313961907658795,0.975573859091328,0.784528611473305,0.951744354542347,0.330663421198307,0.000310224074407103
"6","K23115",-0.2395612708128,0.0573896024734439,0.632318203967032,0.545164995233683,0.399826311068093,-0.00342335274864136,0.0508758982020871
"7","K23117",0.022372646723929,0.000500535321433733,1.16914202177009,0.981433170643456,1.36689306706866,0.00247690714104032,0.83421024610293
"8","K23120",-0.425752846734113,0.1812654865022,0.196361544542812,0.0754313864260719,0.0385578561752387,-0.0292377075043693,0.000101874208265464
"9","K23121",-0.0550097348392405,0.00302607092708355,0.272232123082073,0.139316932747875,0.0741103288377728,-0.0605188056685286,0.692785290854007
"10","K23125",0.466150323065912,0.217296123694454,0.462814652297775,0.293238397067063,0.21419740238151,0.22570732674194,3.23330154606752e-05
"11","K23126",0.362682790722223,0.13153880668606,1.0325315089217,0.796174450439058,1.06612131691612,0.0352042627907883,0.00161386691897196
"12","K23128",-0.146550525140945,0.0214770564190867,0.796256041838089,0.636545112203923,0.634023684163661,-0.0460752937911506,0.360553246985084
"13","K23129",-0.34387426687611,0.118249511419582,0.369072631691982,0.14881638597113,0.136214607464045,-0.0118799411614792,0.00503647140093135
"14","K23131",-0.220123709837297,0.0484544476325345,0.404265451671376,0.27950051609647,0.163430555415062,-0.0223975046952269,0.040493206816012
"15","K23133",0.0853232524780427,0.00728005741343184,0.410711946662091,0.223865810116531,0.168684303130965,-0.0085545702988199,0.47607971582578
"16","K23134",-0.451741697078442,0.204070560879311,0.34954699795672,0.14183695891013,0.122183103780555,-0.0223484193883177,0.00302831191243638
"17","K23139",-0.263588342807942,0.0694788144642373,0.203386970990981,0.0491592320199493,0.0413662599688863,-0.00778203816817014,0.00348663086157631
"18","K23143",-0.252908201730074,0.0639625585023398,0.196209235611094,0.0457593688362919,0.0384980641390898,-0.00719584338928847,0.00369492305027406
"19","K23144",-0.160089883329571,0.0256287707444757,0.349302572105366,0.155946284397395,0.122012286879425,-0.000956873109898781,0.0656640961893651
"20","K23145",0.233932049051056,0.0547242035732258,0.570094583132872,0.385350918248532,0.325007833717443,0.00387209406082456,0.072024411304245
"21","K23148",-0.174425829609731,0.0304243700350427,0.349852483746953,0.168366157929709,0.122396760383912,-0.0097732731672735,0.202785967492342
"22","K23150",-0.0497576216704289,0.00247582091429754,0.69959818150157,0.45596540751917,0.489437615560303,-0.201924722981616,0.693862377125901
"23","K23151",0.318335191497616,0.101337294145824,0.682108611565516,0.532660862745,0.465272157971836,-0.041591145187706,0.0482638380406402
"24","K23153",-0.0837804526377028,0.00701916424417836,1.0942000132013,0.913547038406304,1.19727366888972,-0.164016066976119,0.627110557144651
"25","K23156",0.392623817732389,0.154153462250756,0.761840450697283,0.579349516101343,0.580400872318639,0.139405603113742,0.00838431109730283
