,Participant,R,R2,RMSE,MAE,MSE,R2_CD,P_Value
43,K23531,-0.001212353,1.47E-06,0.559432469,0.441464084,0.312964687,0.003228907,0.994835572
93,KTGF561,-0.002347033,5.51E-06,0.278718404,0.213414585,0.077683949,-0.09418128,0.982685397
34,K23503,0.00366437,1.34E-05,0.672951969,0.557362504,0.452864353,-0.099030134,0.975454474
29,K23151,-0.008807295,7.76E-05,0.658409224,0.498192009,0.433502706,-0.036211308,0.957562192
53,K23555,-0.011119662,0.000123647,0.421116843,0.332639989,0.177339395,-0.128155827,0.931073068
14,K23128,0.013715135,0.000188105,0.577857108,0.471103381,0.333918838,-0.037172147,0.932175713
36,K23508,0.015147086,0.000229434,0.630721081,0.483730094,0.397809082,-0.112629175,0.911774812
64,KTGF125,0.016342607,0.000267081,0.141062655,0.073064882,0.019898673,-0.028563223,0.877803969
39,K23517,-0.026326999,0.000693111,0.714440598,0.60222732,0.510425368,-0.037846907,0.822595544
70,KTGF138,-0.028465232,0.000810269,0.231768093,0.084931609,0.053716449,-0.300788251,0.873036072
8,K23117,0.033159542,0.001099555,0.862997465,0.723671157,0.744764624,-0.056039058,0.756357889
82,KTGF527,0.034459067,0.001187427,0.864263578,0.672390633,0.746951532,-0.053157351,0.755661693
28,K23150,-0.035560904,0.001264578,0.495444892,0.382633173,0.245465641,-0.074881121,0.778536154
95,KTGF565,-0.038106437,0.001452101,0.439233637,0.340035661,0.192926188,-0.207327808,0.801482449
35,K23507,-0.040071118,0.001605694,0.30432705,0.24954128,0.092614953,-0.040631292,0.736423117
21,K23139,-0.0483334,0.002336118,0.13399565,0.051257407,0.017954834,-0.011352476,0.598571042
87,KTGF545,-0.048583905,0.002360396,0.428779481,0.328882023,0.183851844,-0.089776246,0.66867923
67,KTGF129,0.048617761,0.002363687,0.56935947,0.444469765,0.324170206,-0.018990906,0.638074162
62,KTGF122,0.052666592,0.00277377,0.500037982,0.385708294,0.250037984,-0.01207879,0.626023981
52,K23552,0.055287906,0.003056753,0.51035571,0.41502462,0.260462951,-0.147416592,0.715155826
94,KTGF562,0.056072507,0.003144126,0.704526782,0.590335742,0.496357987,-0.00515879,0.568063211
40,K23521,0.058903313,0.0034696,1.054273168,0.859199932,1.111491912,-0.024830595,0.687663165
48,K23540,0.066543425,0.004428027,0.802883818,0.609370139,0.644622425,-0.269442652,0.642684443
22,K23142,0.070191583,0.004926858,0.168548661,0.091079316,0.028408651,0.009848067,0.470383435
5,K23109,0.071094402,0.005054414,0.387679103,0.261108549,0.150295087,-0.020607837,0.505490291
45,K23533,0.07252701,0.005260167,0.515090303,0.429562993,0.26531802,-0.009239478,0.544886917
7,K23115,0.080900626,0.006544911,0.588637521,0.49077099,0.346494131,-0.028933996,0.515171548
54,K23556,-0.083295667,0.006938168,0.397057358,0.306224467,0.157654546,-0.181226683,0.624041288
3,K23106,0.089234266,0.007962754,0.410986938,0.274521582,0.168910264,0.016455191,0.529288774
89,KTGF550,0.101455954,0.010293311,0.721688325,0.568269097,0.520834039,0.008913507,0.296119488
50,K23548,0.10955094,0.012001408,0.664859925,0.558855866,0.44203872,0.014620853,0.392718438
61,KTGF120,-0.113447556,0.012870348,0.300437084,0.240227538,0.090262442,-0.09819304,0.339245874
17,K23131,0.122676115,0.015049429,0.406905753,0.328081657,0.165572292,-0.012101214,0.257643556
24,K23144,-0.134780119,0.01816568,0.346019143,0.275897887,0.119729247,0.003282404,0.121922477
73,KTGF146,0.134959256,0.018214001,0.659277315,0.472902723,0.434646578,-0.010400535,0.335292978
44,K23532,-0.136745099,0.018699222,0.577827512,0.431139634,0.333884633,-0.270848386,0.479357453
76,KTGF150,-0.142621209,0.020340809,0.323909369,0.279111644,0.104917279,-0.062977698,0.294371671
66,KTGF127,-0.147015314,0.021613503,0.251570879,0.133512052,0.063287907,-0.065744475,0.399362496
12,K23125,0.165271734,0.027314746,0.415876214,0.309974229,0.172953025,0.034304779,0.162311311
97,KTGF572,0.174673293,0.030510759,0.448758215,0.353288313,0.201383935,-0.02304552,0.189715271
96,KTGF570,-0.187244051,0.035060335,0.422648733,0.297942263,0.178631952,-0.001088365,0.202530422
