,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.43825139,0.388891064,0.108921758,0.330032964,1,0.003168801,0.162393162,0.162393162,78
2,K23104,0.305929014,0.27238953,0.015002835,0.122486059,1,0.250103363,0.014814815,0.014814815,90
3,K23106,0.590535994,0.510488277,0.117069065,0.342153569,1,0.013036716,0.185897436,0.185897436,52
4,K23107,0.363402109,0.326927185,0.296616049,0.544624686,1,9.88E-06,0.126436782,0.126436782,58
5,K23109,0.410529515,0.318677369,0.074368752,0.272706348,1,0.009310359,0.325925926,0.325925926,90
6,K23114,1.427890408,1.110266387,0.113067142,0.33625458,1,0.041867544,1.603603604,1.603603604,37
7,K23115,0.623877212,0.471925493,0.198600771,0.445646464,1,0.000157319,0.766169154,0.766169154,67
8,K23117,0.915430443,0.719626293,0.0870844,0.29510066,1,0.004748642,1.011111111,1.011111111,90
9,K23120,0.411683876,0.357573582,0.039417886,0.198539382,1,0.081414905,0.196581197,0.196581197,78
10,K23121,0.480325688,0.400490272,0.001773137,0.042108629,1,0.762402277,0.308641975,0.308641975,54
11,K23122,0.352682744,0.307976525,0.03002187,0.173268202,1,0.368727373,0.149425287,0.149425287,29
12,K23125,0.459753623,0.385820237,0.119119381,0.345136757,1,0.002785908,0.420091324,0.420091324,73
13,K23126,0.672921742,0.524329602,0.175142617,0.418500439,1,0.00022906,0.753424658,0.753424658,73
14,K23128,0.585477951,0.445365476,0.026598043,0.163089064,1,0.308285364,0.650406504,0.650406504,41
15,K23129,0.479473655,0.436275029,0.043734992,0.209129129,1,0.09454784,0.097435897,0.097435897,65
16,K23130,0.463697628,0.382596995,0.069147791,0.262959676,1,0.126961492,0.257142857,0.257142857,35
17,K23131,0.406340791,0.321888631,0.061229695,0.247446348,1,0.0208493,0.563218391,0.563218391,87
18,K23133,0.424742561,0.355746047,0.002185155,0.046745638,1,0.696594805,0.240740741,0.240740741,72
19,K23134,0.457977204,0.411256719,0.098190849,0.313354192,1,0.046047763,0.146341463,0.146341463,41
20,K23136,0.499389766,0.458027062,0.227450904,0.476918131,1,0.001223188,0.271317829,0.271317829,43
21,K23139,0.425720656,0.36815129,0.219065673,0.468044521,1,6.19E-08,0.027548209,0.027548209,121
22,K23141,0.287458823,0.231625362,NA,NA,0,NA,0,0,77
23,K23142,0.352915974,0.296224206,0.053465115,0.231225247,1,0.0160522,0.049382716,0.049382716,108
24,K23143,0.417192647,0.356720878,0.006887072,0.082988384,1,0.347887398,0.043589744,0.043589744,130
25,K23144,0.443261413,0.381343186,0.016580528,0.128765399,1,0.139639666,0.240601504,0.240601504,133
26,K23145,0.417339782,0.354706421,0.393457411,0.627261836,1,8.19E-08,0.233333333,0.233333333,60
27,K23147,0.446534835,0.391098729,0.000570746,0.023890287,1,0.895011055,0.090909091,0.090909091,33
28,K23148,0.450265317,0.403548669,0.127881943,0.357605848,1,0.007352762,0.127272727,0.127272727,55
29,K23150,0.469411457,0.389020655,0.08773764,0.296205402,1,0.016585027,0.41025641,0.41025641,65
30,K23151,0.584964876,0.416699582,0.167788333,0.409619742,1,0.009609269,0.615384615,0.615384615,39
31,K23153,1.02217189,0.851203481,0.016521847,0.128537336,1,0.454994953,1.425925926,1.425925926,36
32,K23155,0.438808151,0.381368211,0.067670409,0.260135366,1,0.092046664,0.093023256,0.093023256,43
33,K23156,0.785482819,0.648816306,0.003061784,0.055333393,1,0.721281034,0.537878788,0.537878788,44
34,K23502,0.462198667,0.385416265,0.197456079,0.444360303,1,6.50E-05,0.617777778,0.617777778,75
35,K23503,0.703256473,0.560358016,0.16315792,0.403928112,1,0.000394284,1.123287671,1.123287671,73
36,K23507,0.522314545,0.440478264,0.001055177,-0.032483485,1,0.784991012,0.196347032,0.196347032,73
37,K23508,0.615931264,0.521328501,0.059736798,0.244411125,1,0.069463271,0.339285714,0.339285714,56
38,K23509,0.530724496,0.416741083,0.20057484,0.447855825,1,1.21E-05,0.863636364,0.863636364,88
39,K23510,0.609568886,0.495372029,0.066214306,0.257321406,1,0.009750914,0.826666667,0.826666667,100
40,K23517,1.15174366,0.930745992,0.02009649,0.141762091,1,0.225048184,1.457777778,1.457777778,75
41,K23521,1.652324295,1.4248336,0.217406123,0.466268295,1,0.000733558,2.074829932,2.074829932,49
42,K23526,0.839018883,0.682160929,0.136521054,0.369487556,1,0.000542336,0.884920635,0.884920635,84
43,K23529,0.701853041,0.531774665,0.148832862,0.385788624,1,0.006767354,1.020833333,1.020833333,48
44,K23531,0.794125172,0.655166511,0.172286879,0.415074546,1,0.020236885,1.225806452,1.225806452,31
45,K23532,0.43263954,0.300317308,0.285920654,0.534715489,1,0.002804517,0.436781609,0.436781609,29
46,K23533,0.851540782,0.702050187,0.005834093,0.076381237,1,0.523665136,1.171296296,1.171296296,72
47,K23536,0.567577181,0.511689161,0.108472498,0.329351633,1,0.010181333,0.2,0.2,60
48,K23537,0.629533608,0.512118491,0.12410159,0.352280556,1,0.000573486,0.945652174,0.945652174,92
49,K23540,0.808870652,0.619816596,0.03447628,0.185677892,1,0.192059896,1.189542484,1.189542484,51
50,K23541,0.61405321,0.502472271,0.284177353,0.533082876,1,6.73E-05,0.48,0.48,50
51,K23548,0.624769909,0.527930211,0.133578382,0.365483765,1,0.003224523,0.931216931,0.931216931,63
52,K23551,0.94029865,0.648459816,0.045918077,0.214285036,1,0.100158102,0.638888889,0.638888889,60
53,K23552,0.521480299,0.402564513,0.046799159,0.216331132,1,0.148735353,0.717391304,0.717391304,46
54,K23555,0.367738095,0.299380659,0.168067097,0.409959873,1,0.000847596,0.380952381,0.380952381,63
55,K23556,1.220138805,1.154384544,0.183945497,0.428888676,1,0.008081096,1.828828829,1.828828829,37
56,K23557,0.620637777,0.465259068,0.22946999,0.47903026,1,3.59E-05,0.81372549,0.81372549,68
57,K23559,0.522489203,0.419177416,0.304809178,0.552095262,1,3.79E-09,0.673469388,0.673469388,98
58,K23563,0.64300966,0.432130458,0.194433839,0.440946527,1,0.00243141,0.985185185,0.985185185,45
59,K23565,1.642463932,1.57305099,0.16739978,0.409145182,1,0.000714221,2.317948718,2.317948718,65
60,KTFG534,0.747546522,0.580664814,0.366777645,0.605621701,1,1.90E-12,1.324324324,1.324324324,111
61,KTGF118,0.469055232,0.416683203,0.117487441,0.342764411,1,0.002794359,0.265765766,0.265765766,74
62,KTGF119,0.198996865,0.160791926,NA,NA,0,NA,0,0,66
63,KTGF120,0.382158811,0.339158451,0.129948366,0.360483518,1,0.001731088,0.205479452,0.205479452,73
64,KTGF122,0.452131796,0.335630303,0.172168888,0.41493239,1,5.83E-05,0.473484848,0.473484848,88
65,KTGF124,0.647367633,0.493367804,0.007126298,0.084417405,1,0.528671853,0.75862069,0.75862069,58
66,KTGF125,0.387376472,0.346264424,0.049255998,0.221936924,1,0.034487892,0.04029304,0.04029304,91
67,KTGF126,0.602768061,0.496843315,0.015098619,-0.122876437,1,0.245899833,0.816849817,0.816849817,91
68,KTGF127,0.488395461,0.418349394,0.092238527,0.303707963,1,0.076117767,0.076190476,0.076190476,35
69,KTGF129,0.573732799,0.439659341,0.027948745,0.16717878,1,0.103517857,0.5,0.5,96
70,KTGF130,0.985091626,0.740056114,0.094366379,0.307191112,1,0.008670553,0.981481481,0.981481481,72
