,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.366264749,0.305028632,0.021588411,0.146929953,1,0.199254245,0.162393162,0.162393162,78
2,K23104,0.096304535,0.063341852,0.089760045,0.299599809,1,0.004121221,0.014814815,0.014814815,90
3,K23106,0.423723194,0.289150214,0.058159369,0.241162536,1,0.085016032,0.185897436,0.185897436,52
4,K23107,0.206195442,0.179933142,0.227957967,0.47744944,1,0.000150806,0.126436782,0.126436782,58
5,K23109,0.347343791,0.232801852,0.171966055,0.4146879,1,4.83E-05,0.325925926,0.325925926,90
6,K23114,0.926340936,0.72704044,0.327523195,0.572296422,1,0.00021478,1.603603604,1.603603604,37
7,K23115,0.571663759,0.449369983,0.030701466,0.175218339,1,0.156123189,0.766169154,0.766169154,67
8,K23117,0.841390861,0.679520988,0.039364331,0.198404463,1,0.060847607,1.011111111,1.011111111,90
9,K23120,0.296851607,0.252577208,0.066703766,0.258270722,1,0.02242796,0.196581197,0.196581197,78
10,K23121,0.403525133,0.333263992,0.041258993,0.203123099,1,0.140717724,0.308641975,0.308641975,54
11,K23122,0.343330056,0.320322605,0.010595745,0.102935633,1,0.595171369,0.149425287,0.149425287,29
12,K23125,0.40620969,0.319646119,0.117301633,0.34249326,1,0.003016805,0.420091324,0.420091324,73
13,K23126,0.716054095,0.542237747,0.102849488,0.320701556,1,0.005670428,0.753424658,0.753424658,73
14,K23128,0.606589907,0.460456911,0.001758329,-0.04193243,1,0.794624981,0.650406504,0.650406504,41
15,K23129,0.405639517,0.373877607,0.026992397,0.16429363,1,0.190946799,0.097435897,0.097435897,65
16,K23130,0.36091918,0.246820317,0.334800487,0.578619466,1,0.000271464,0.257142857,0.257142857,35
17,K23131,0.434795416,0.344188378,0.001428511,0.037795645,1,0.72817097,0.563218391,0.563218391,87
18,K23133,0.334724407,0.270676698,0.006551856,0.080943535,1,0.499092373,0.240740741,0.240740741,72
19,K23134,0.356765409,0.251105691,0.028833986,0.169805731,1,0.288510724,0.146341463,0.146341463,41
20,K23136,0.424080131,0.314742636,0.244821442,0.494794343,1,0.000743755,0.271317829,0.271317829,43
21,K23139,0.202732451,0.118118916,0.11172651,0.334255157,1,0.000178956,0.027548209,0.027548209,121
22,K23141,0.107920317,0.071129437,NA,NA,0,NA,0,0,77
23,K23142,0.212863564,0.111909362,0.02546081,0.15956444,1,0.099038381,0.049382716,0.049382716,108
24,K23143,0.196635966,0.121434274,0.03138229,0.177150472,1,0.043769154,0.043589744,0.043589744,130
25,K23144,0.37258671,0.286743609,0.000156047,0.012491857,1,0.886520149,0.240601504,0.240601504,133
26,K23145,0.379870484,0.278716481,0.405742834,0.636979461,1,4.46E-08,0.233333333,0.233333333,60
27,K23147,0.268549029,0.223189226,0.095332204,0.308759136,1,0.080412415,0.090909091,0.090909091,33
28,K23148,0.271124302,0.219631313,0.090358823,0.300597444,1,0.025751684,0.127272727,0.127272727,55
29,K23150,0.468209833,0.355249231,0.039081277,0.197689852,1,0.114445388,0.41025641,0.41025641,65
30,K23151,0.6223917,0.501472365,0.071739813,0.267842888,1,0.099243233,0.615384615,0.615384615,39
31,K23153,0.873061966,0.721829321,0.076977388,0.277447992,1,0.101362892,1.425925926,1.425925926,36
32,K23155,0.365788431,0.313391731,0.107273177,0.327525842,1,0.032035244,0.093023256,0.093023256,43
33,K23156,0.783495957,0.703811111,0.000107699,0.010377795,1,0.946694356,0.537878788,0.537878788,44
34,K23502,0.448308766,0.381635111,0.21429241,0.462917282,1,2.89E-05,0.617777778,0.617777778,75
35,K23503,0.638388753,0.524690715,0.096195435,0.310153888,1,0.007575715,1.123287671,1.123287671,73
36,K23507,0.51869449,0.451155099,0.006009945,-0.077523837,1,0.514456743,0.196347032,0.196347032,73
37,K23508,0.652963061,0.571124008,0.015626896,0.125007583,1,0.358629343,0.339285714,0.339285714,56
38,K23509,0.48337411,0.386475253,0.240944758,0.490861241,1,1.20E-06,0.863636364,0.863636364,88
39,K23510,0.594071844,0.495998556,0.054230691,0.232874839,1,0.019720493,0.826666667,0.826666667,100
40,K23517,0.848849817,0.675051111,0.000478206,0.021867916,1,0.852269808,1.457777778,1.457777778,75
41,K23521,1.295078433,1.062726304,0.176009288,0.419534609,1,0.002693458,2.074829932,2.074829932,49
42,K23526,0.802556256,0.685861772,0.191813953,0.437965698,1,3.09E-05,0.884920635,0.884920635,84
43,K23529,0.575266332,0.42939213,0.207396363,0.455407909,1,0.001144077,1.020833333,1.020833333,48
44,K23531,0.631531196,0.490411111,0.001708841,0.041338136,1,0.825250599,1.225806452,1.225806452,31
45,K23532,0.5898817,0.52894751,0.247344311,0.497337221,1,0.006052506,0.436781609,0.436781609,29
46,K23533,0.575851904,0.449542593,0.005978327,0.077319639,1,0.518561731,1.171296296,1.171296296,72
47,K23536,0.65792239,0.587883704,0.07694505,0.277389708,1,0.031892512,0.2,0.2,60
48,K23537,0.553803361,0.446580003,0.109911997,0.331529783,1,0.001245463,0.945652174,0.945652174,92
49,K23540,0.680139741,0.507694631,0.112598963,0.33555769,1,0.016075213,1.189542484,1.189542484,51
50,K23541,0.599721175,0.506886444,0.39062139,0.624997112,1,1.22E-06,0.48,0.48,50
51,K23548,0.604478416,0.523667549,0.185399218,0.430580095,1,0.000427469,0.931216931,0.931216931,63
52,K23551,0.973004287,0.696431296,0.008052823,0.089737524,1,0.495327934,0.638888889,0.638888889,60
53,K23552,0.542823884,0.442542029,0.006216222,0.078843019,1,0.602481702,0.717391304,0.717391304,46
54,K23555,0.483156712,0.421477778,0.089749246,0.299581786,1,0.017064869,0.380952381,0.380952381,63
55,K23556,0.915055446,0.827362248,0.004534494,0.067338649,1,0.692107716,1.828828829,1.828828829,37
56,K23557,0.574211497,0.431314052,0.261620632,0.511488643,1,8.29E-06,0.81372549,0.81372549,68
57,K23559,0.542373415,0.439144218,0.284115694,0.533025041,1,1.60E-08,0.673469388,0.673469388,98
58,K23563,0.63817028,0.481163457,0.122539995,0.350057131,1,0.018408383,0.985185185,0.985185185,45
59,K23565,1.005210081,0.844415385,0.001200781,0.034652285,1,0.78405607,2.317948718,2.317948718,65
60,KTFG534,0.776487302,0.601781481,0.157089203,0.396344803,1,1.66E-05,1.324324324,1.324324324,111
61,KTGF118,0.513134808,0.421348348,0.102628122,0.320356242,1,0.005391966,0.265765766,0.265765766,74
62,KTGF119,0.14342765,0.09855303,NA,NA,0,NA,0,0,66
63,KTGF120,0.301927124,0.255717656,0.045332311,0.212913859,1,0.070522979,0.205479452,0.205479452,73
64,KTGF122,0.472274327,0.365675253,0.102591482,0.32029905,1,0.002347871,0.473484848,0.473484848,88
65,KTGF124,0.698923774,0.502767816,5.31E-05,-0.007283618,1,0.956725185,0.75862069,0.75862069,58
66,KTGF125,0.270911445,0.226054945,0.052737585,0.229646652,1,0.028541609,0.04029304,0.04029304,91
67,KTGF126,0.420543399,0.31940232,0.099257132,0.315050999,1,0.002352397,0.816849817,0.816849817,91
68,KTGF127,0.470107091,0.414626032,0.012107847,0.110035664,1,0.529183245,0.076190476,0.076190476,35
69,KTGF129,0.552706374,0.435424421,0.057069513,0.238892263,1,0.019075987,0.5,0.5,96
70,KTGF130,0.974158294,0.761129938,0.046539015,0.215729032,1,0.0687621,0.981481481,0.981481481,72
71,KTGF136,0.625033832,0.527203628,0.050857085,0.225515156,1,0.119233327,0.448979592,0.448979592,49
72,KTGF138,0.363389744,0.31842549,0.113884732,0.33746812,1,0.050956648,0.049019608,0.049019608,34
73,KTGF142,0.433173116,0.319610101,0.284575717,0.533456387,1,0.001389364,0.282828283,0.282828283,33
74,KTGF143,0.332470291,0.258164198,0.092230882,0.303695378,1,0.009503097,0.097222222,0.097222222,72
