"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",-0.00727170716040897,5.28777250267431e-05,0.34684197845337,0.238615963207123,0.120299358017448,-0.0625263886070515,0.949618450512161
"2","K23106",-0.00769212302580985,5.9168756644194e-05,0.717837590819694,0.500579217119998,0.515290806793823,-0.0479687267003199,0.956838709686119
"3","K23107",-0.377137620043929,0.142232784452399,0.185608126498058,0.0680724766784506,0.0344503766221189,-0.0169012956493311,0.00351984032504202
"4","K23109",0.249626356694603,0.0623133179566211,0.678485492599669,0.538396222823839,0.460342563668215,0.0688525416711125,0.0176560037099118
"5","K23114",0.399735719105581,0.159788645128856,1.14646317373784,0.966109907007491,1.31437780873703,0.173394125950081,0.0142378946073127
"6","K23115",0.421130006422427,0.177350482309354,0.682552991120033,0.555616301121673,0.465878585686904,0.188931060666343,0.000386991249482556
"7","K23117",0.27194922087354,0.0739563787337253,1.09366731208439,0.900186733799053,1.1961081895219,0.0570980614043447,0.00951600401966349
"8","K23120",0.0991925286340038,0.00983915773680768,0.574624630445199,0.446416048406407,0.330193465914281,-0.0748736890412842,0.387568962436645
"9","K23121",0.127626601036194,0.016288549292052,0.80112098955411,0.624103752611583,0.641794839904156,-0.0804804892974671,0.357737992496103
"10","K23122",-0.128074967821931,0.0164031973825887,0.619968973022869,0.450013239309626,0.38436152751103,-0.155931704959099,0.50790604909
"11","K23125",0.309002772847378,0.0954827136273686,0.601768218216997,0.450447896951041,0.36212498845606,0.0831748847181837,0.00781430607910338
"12","K23126",0.29468704732023,0.0868404558583153,0.593170984046598,0.469768460775478,0.35185181631481,0.0844885413115635,0.0113795976508052
"13","K23128",-0.20244296231923,0.0409831529925852,0.45774621184138,0.308932698693375,0.209531594455134,-0.0738494215825607,0.204308558082675
"14","K23130",0.408065935391769,0.16651780762716,0.817358966742351,0.666462137201384,0.668075680514124,0.139599502368173,0.0149552949497684
"15","K23131",-0.197861913544734,0.0391493368315839,0.603234588416476,0.546810327823474,0.363891968661995,-0.0447581387294875,0.066202979353485
"16","K23134",-0.442635741682102,0.195926399814464,0.578245956003664,0.276477697209405,0.334368385634591,-0.0192642238675262,0.00375599100966918
"17","K23136",-0.245138950270365,0.0600931049396565,0.609609118983168,0.374617495382509,0.371623277947435,-0.0325409845739488,0.11310320192843
"18","K23139",-0.060037986057833,0.00360455976988056,0.298231027471694,0.109740935302631,0.0889417457468224,-0.00735892998741261,0.513013130585046
"19","K23142",0.104897390822368,0.0110034626013406,0.421409212211227,0.210600383886917,0.177585724136487,-0.0179467401395106,0.279953103370269
"20","K23143",-0.247969097145509,0.0614886731391586,0.272380168592059,0.117159763313609,0.0741909562422383,-0.0066200130925067,0.00444751763268767
"21","K23144",-0.25403058418084,0.0645315376992587,0.379779353155712,0.170404316627466,0.144232357083371,-0.00641624044341937,0.003172299474008
"22","K23145",0.482567898555937,0.232871776716693,0.70598616838484,0.403893198990253,0.498416469950707,0.229858444510911,9.43350903271352e-05
"23","K23148",-0.144510244179817,0.0208832106729103,0.350410140714787,0.168762512692857,0.122787266715757,-0.0129949504049918,0.29250685596205
"24","K23150",-0.0757121410764376,0.00573232830637837,0.685881012635093,0.523168830025129,0.47043276349334,-0.0332630919389116,0.548887360756254
"25","K23151",-0.26884600313665,0.0722781734025515,0.853161574920524,0.632404052035324,0.727884672920869,-0.0808868589867013,0.097935628224339
"26","K23153",0.532633457087216,0.283698399608679,0.92665852140965,0.7990922472681,0.858696015301118,0.300609580297732,0.00082537637544711
"27","K23155",-0.0304465657392918,0.000926993365317015,0.386113992233757,0.274620469351774,0.14908401499869,-0.0684354408239429,0.846322183226777
"28","K23156",0.477698561053782,0.228195915232854,0.740608089112903,0.567523979102037,0.548500341659466,0.236939230573742,0.0010410532314484
"29","K23502",0.602048949046349,0.362462937047813,0.505187486728012,0.401685315973756,0.255214396746566,0.370471154691804,1.10648747215109e-08
"30","K23503",-0.106897683550572,0.0114271147484783,0.869047773747699,0.703728037260417,0.755244033055832,-0.0369808353556562,0.368038739260427
"31","K23507",0.360328953691888,0.129836954868691,0.410505135832836,0.314328640962334,0.168514466545135,0.128236184880678,0.00173960747264707
"32","K23508",-0.0398787922367554,0.0015903180702623,0.62811950764588,0.450810785031124,0.394534115885303,-0.0126375641056131,0.770431257437778
"33","K23509",0.512368849230382,0.262521837661666,0.627923671045997,0.519856031462915,0.394288136659881,0.269970985666736,3.3430173646622e-07
"34","K23510",0.223626185254268,0.0500086707313761,0.980974768587475,0.818731160672105,0.96231149660525,0.0453067625621848,0.0253156837808761
"35","K23517",0.0448907375791388,0.0020151783203991,0.992856262911355,0.789892182815385,0.985763558802302,-0.0452785157341957,0.70214362678196
"36","K23521",-0.142982888876616,0.0204441065115026,1.27998195527673,1.05426572363365,1.63835380583404,-0.228765354375526,0.327041708686259
"37","K23526",0.311557168605839,0.0970678693096873,1.03733319572299,0.827675927008184,1.07606015894886,0.0724169846449709,0.00391594962556364
"38","K23529",0.159178555813555,0.0253378126308891,0.996738858671693,0.780478321792639,0.99348835238615,0.0204065896052646,0.27984849073796
"39","K23531",0.181584803665158,0.0329730409221139,0.89530288457521,0.734396445982728,0.801567255128692,0.0539878841755284,0.328255547927647
"40","K23532",0.211147700035123,0.0445833512301223,0.77209179506258,0.659596775045051,0.596125740002957,-0.008446043505002,0.271548696186222
"41","K23533",-0.06685204069465,0.00446919534503912,0.700420741420743,0.604451763443469,0.490589215012383,-0.0453906073961228,0.576874900773366
"42","K23536",0.523355464952601,0.273900942695753,0.814349418726809,0.533680504178516,0.663164975780691,0.280758574061381,1.78222070165842e-05
"43","K23537",0.411461608422925,0.16930065520598,0.791895339286485,0.636193306865169,0.627098228383657,0.178136135249222,4.60827020560885e-05
"44","K23540",0.250473499053231,0.062736973727969,0.925160326835969,0.685313062501106,0.855921630351237,0.0435582132359096,0.0762664710040925
"45","K23541",0.52398160703144,0.274556724507251,0.838719962085056,0.570106834015994,0.703451174799958,0.289003556823476,9.4110973079341e-05
"46","K23548",0.0497831094259371,0.00247835798411483,1.00381893445695,0.772720984859513,1.00765245317428,-0.0265755039381137,0.698409101504555
"47","K23551",-0.304389378300637,0.0926528936222485,1.12659327965231,0.853933934890824,1.26921241775775,-0.204237994870662,0.0180494637454109
