"","Participant","R","R2","R_spearman","RMSE","MAE","MSE","R2_CD","P_Value","p_value_spearman"
"1","K23101",0.0867389551207364,0.00752364633543712,0.154669445701567,0.471986513934682,0.355011751211751,0.222771269336214,0.00818069411912581,0.450180325094493,0.642922264817738
"2","K23106",-0.0241466157320821,0.000583059051312837,-0.0260512277182059,0.750037713183693,0.30863817016317,0.562556571197824,-0.0218493334360459,0.865076475979036,0.715196419724835
"3","K23107",0.0616993598576728,0.0038068110068466,0.136162854483332,0.53700813699704,0.340839274040136,0.288377739201031,-0.102169717686254,0.645445717924822,0.101700044965656
"4","K23109",-0.0509341337939894,0.00259428598534401,0.0341546593799395,0.509051374204169,0.199205860485672,0.259133301579153,-0.0435684995721497,0.633533868941799,0.0324849813233815
"5","K23114",0.571758704545446,0.326908016223487,0.578361664432377,0.976748854401857,0.760137279805822,0.95403832457534,0.32905013287521,0.000218421877236867,0.000298025977051171
"6","K23115",-0.166766179072774,0.0278109584825325,-0.252358220097525,0.652480215778451,0.565628205391331,0.425730431982294,-0.0684335812858696,0.177395347881256,0.683594682308132
"7","K23117",0.0653326007277247,0.0042683487178483,0.104872121758568,1.18406478401348,0.98830703130078,1.40200941274088,-0.0231500907484006,0.54067685320368,0.359004621633221
"8","K23120",-0.0911308318583796,0.00830482851520024,-0.054779104721015,0.198793943652324,0.0769904352563766,0.0395190320328434,-0.0548946950633653,0.427483950609916,0.63383222325586
"9","K23121",-0.124829427773544,0.0155823860382704,-0.117960871038386,0.277463276681433,0.150546040796531,0.0769858699067977,-0.101667798366275,0.368457695066464,0.212544521300474
"10","K23125",0.0631929009156367,0.00399334272613348,0.0931888968122642,0.536300234245363,0.367089043186646,0.287617941251631,-0.0396973172067221,0.595326758261013,0.512538818749746
"11","K23126",0.401629182630405,0.161306000340367,0.305492846068931,0.96254462870373,0.787839234525788,0.926492162246401,0.161562877967101,0.000428596359270355,0.00916658333568511
"12","K23128",0.0606432145653415,0.00367759947281805,0.0346932928667548,0.771621844631744,0.615392955418565,0.595400271112895,0.0176494520873769,0.706437798255474,0.182089362619123
"13","K23129",-0.0890071314778218,0.00792226945391026,-0.139576825385933,0.395104516705507,0.164043740959895,0.156107579121092,-0.1596563020424,0.48076295875934,0.0462600202642685
"14","K23131",0.163699811650401,0.0267976283343768,0.0571147812692932,0.405882293468143,0.269969342726239,0.164740436150959,-0.0305919258206337,0.129760791622858,0.355676279354355
"15","K23133",-0.129576415893475,0.0167900475557987,-0.121587618503081,0.427062024093595,0.238650099206349,0.182381972422918,-0.090452214065448,0.277996578588134,0.615161498570352
"16","K23134",-0.0449901373695299,0.00202411246052917,0.0620682666692744,0.364490147966811,0.148094928377855,0.132853067964868,-0.111627711542774,0.780006966965128,0.61378339821667
"17","K23139",0.245570225689464,0.0603047357451742,0.178462059638097,0.196320298242496,0.0358591209066416,0.0385416595020225,0.0610320537426734,0.00662883202308127,0.0245997010477378
"18","K23143",-0.100289160753848,0.0100579157647111,-0.204925648141664,0.200918507634394,0.0512868082244553,0.0403682467100321,-0.0561240207913216,0.256252415513166,0.025097181012685
"19","K23144",-0.0849634742434871,0.0072187919555237,-0.0791477336093004,0.35847530652194,0.167616909156007,0.128504545385999,-0.0542176629890649,0.33087296738236,0.143723202971056
"20","K23145",-0.0889534054158152,0.0079127083350704,-0.0904762132010556,0.608964634739862,0.453447764920265,0.370837926363853,-0.136594163920382,0.499118495721362,0.785656390247582
"21","K23148",-0.0850930010606238,0.00724081882950333,-0.0351045934648513,0.353590967969627,0.172907544637026,0.125026572629697,-0.0314692241950045,0.536777300855251,0.626110607055007
"22","K23150",0.0742323195709527,0.00551043726888405,0.181727634036098,0.641909635022453,0.430909795082111,0.412047979534659,-0.0118769745361156,0.556747517695088,0.0622609483297254
"23","K23151",0.35370560955855,0.125107658233186,0.28595604682928,0.626667275098553,0.512683852794379,0.392711873679446,0.120847436868673,0.0271761000525092,0.124468513852955
"24","K23153",-0.256220126590409,0.0656487532700054,-0.199070857902258,1.0731906130145,0.922537167787258,1.15173809186244,-0.119745367088482,0.131458968028761,0.295998188987425
"25","K23156",0.483541153175749,0.233812046814533,0.484358060325964,0.722196284211774,0.467174242424242,0.521567472929293,0.226641333242772,0.000883836710544232,4.69817052306008e-05
"26","K23502",0.429572715450257,0.184532717859307,0.322062056699853,0.571320498398864,0.442784032540728,0.326407111890726,0.194862457336209,0.000120066096180144,0.0164824045754031
"27","K23503",0.175133220277242,0.0306716448446769,0.163383075293735,0.766145794801937,0.643466099157356,0.586979378892691,0.0230640863014604,0.138342259380412,0.0428022751062811
"28","K23507",-0.083266755633364,0.00693335259370635,-0.100744934423695,0.595875313409478,0.401455270094754,0.355067389130843,-0.109532816451672,0.483696283486885,0.787888491936926
"29","K23508",0.422013384771333,0.178095296926157,0.314084076853663,0.678473978577315,0.482376352283338,0.460326939606531,0.162052615846268,0.00119694197050202,0.049505317328776
"30","K23509",0.342011416986883,0.116971809349376,0.369682411630962,0.548957876114337,0.456761931818182,0.301354749747963,0.120742391741461,0.00110855221509819,0.000129339670113192
"31","K23510",0.143731047622561,0.020658614050679,0.139349679352122,0.847326728837966,0.68088436002886,0.717962585403248,0.0214992296954639,0.153678170175617,0.355639371909394
"32","K23517",-0.239221233682542,0.0572267986445972,-0.213709928444175,0.966365776700782,0.788341384559042,0.933862814378506,-0.0686471381032387,0.0387307716563314,0.161360932903708
"33","K23521",0.200859738163852,0.0403446344152511,0.262527876987022,1.22427575707966,0.99458891086238,1.49885112937297,0.0528485071775314,0.166397809377874,0.0459657868858168
"34","K23526",0.293611187639502,0.086207529507079,0.360404349973073,1.22712333363796,0.964267220742221,1.50583167595875,0.0961898721776511,0.00671430911085408,0.00132279230887487
"35","K23529",0.120717818881789,0.0145727917955765,0.160442368688496,0.48523561591238,0.325712334656085,0.235453602949867,0.0217618264182334,0.413753224417359,0.310619538354019
"36","K23531",0.0877720796398582,0.00770393796430562,0.066033328289121,0.424216600294099,0.238170349900995,0.179959723965084,0.0155144512498364,0.638698217185774,0.578546260883081
"37","K23532",-0.321946468274978,0.103649528434731,-0.454072676280523,0.514164868218693,0.351923344280241,0.264365511710346,-0.205981997240454,0.0885386442020923,0.696406140800276
"38","K23533",0.0273240802142649,0.000746605359555582,0.0672661155468451,0.531352608430457,0.453636490203267,0.28233559448585,-0.019999688347466,0.819772755973485,0.55043000838716
"39","K23537",0.161223559987547,0.0259930362950581,0.105431636143304,0.574420833869369,0.354300655624569,0.329959294383182,0.0337813177418681,0.124704917252879,0.10534237440518
"40","K23540",0.341237228773736,0.116442846301179,0.234777397943771,0.896690492533866,0.71406338922919,0.804053839400627,0.132683041255669,0.0142635886968504,0.119506366222594
"41","K23541",0.544769201514235,0.296773482918457,0.464119141017763,0.913187045414742,0.681919169567275,0.833910579913307,0.306018708971604,4.3100880913344e-05,0.000427259421359412
"42","K23548",0.291090884546214,0.0847339030658971,0.298319056629543,0.969279905905264,0.789994797178131,0.939503535991717,0.0983536089475066,0.0206368102728364,0.00452300397987964
