,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.604005124,0.49962094,0.002882724,0.053691005,1,0.640594803,0.217948718,0.217948718,78
2,K23104,0.141633547,0.107045556,NA,NA,0,NA,0,0,90
3,K23106,0.804677464,0.487616026,0.006848116,0.082753345,1,0.559732794,0.192307692,0.192307692,52
4,K23107,0.543685709,0.388831609,0.03506495,0.187256376,1,0.159266423,0.189655172,0.189655172,58
5,K23109,0.539337097,0.295112222,0.008879533,0.094231277,1,0.377004982,0.1,0.1,90
6,K23114,1.177774932,0.939828829,0.215120033,0.463810342,1,0.003835572,1.540540541,1.540540541,37
7,K23115,0.598775991,0.506602985,0.08858068,0.297625065,1,0.014443961,0.417910448,0.417910448,67
8,K23117,1.220678773,0.955262963,0.007493418,0.086564529,1,0.417211661,0.977777778,0.977777778,90
9,K23120,0.278042709,0.211540598,0.007523094,0.086735769,1,0.450197029,0.038461538,0.038461538,78
10,K23121,0.350020991,0.245929012,0.001516344,-0.038940256,1,0.779813804,0.074074074,0.074074074,54
11,K23122,0.339170976,0.274729885,0.016645518,-0.129017511,1,0.504762291,0.034482759,0.034482759,29
12,K23125,0.420925629,0.322076256,0.398394899,0.631185313,1,2.15E-09,0.205479452,0.205479452,73
13,K23126,1.057957498,0.737620548,0.166981154,0.408633276,1,0.000331759,0.753424658,0.753424658,73
14,K23128,0.839718296,0.65379187,0.035971401,-0.189661281,1,0.234957471,0.487804878,0.487804878,41
15,K23129,0.448778784,0.332918462,0.041218969,0.203024554,1,0.104799451,0.076923077,0.076923077,65
16,K23130,0.199778358,0.122374286,0.000455281,0.021337315,1,0.903166321,0.028571429,0.028571429,35
17,K23131,0.49619343,0.354872031,8.68E-06,-0.002945891,1,0.978395874,0.16091954,0.16091954,87
18,K23133,0.369924276,0.236336111,0.200708148,0.44800463,1,7.94E-05,0.125,0.125,72
19,K23134,0.351900622,0.178927642,0.022762443,0.150872275,1,0.346406096,0.073170732,0.073170732,41
20,K23136,0.178180238,0.142733333,0.683983828,0.827033148,1,8.22E-12,0.023255814,0.023255814,43
21,K23139,0.263077128,0.16217686,0.049761081,0.223071918,1,0.013917174,0.024793388,0.024793388,121
22,K23141,0.124176997,0.082319481,NA,NA,0,NA,0,0,77
23,K23142,0.299977932,0.150453395,NA,NA,0,NA,0,0,108
24,K23143,0.26902892,0.163386154,0.009469127,0.097309437,1,0.270723155,0.023076923,0.023076923,130
25,K23144,0.411086754,0.222961905,0.001651772,0.040641995,1,0.642308158,0.082706767,0.082706767,133
26,K23145,0.547599237,0.337186111,0.08264376,0.287478277,1,0.025934016,0.25,0.25,60
27,K23147,0.289642876,0.169509091,NA,NA,0,NA,0,0,33
28,K23148,0.345958793,0.232461818,0.09402157,0.306629368,1,0.022789496,0.090909091,0.090909091,55
29,K23150,0.626836403,0.355337436,0.035895685,0.189461567,1,0.130641507,0.246153846,0.246153846,65
30,K23151,0.682635665,0.549449573,0.08960467,0.299340392,1,0.064131716,0.358974359,0.358974359,39
31,K23153,1.290020298,1.03275,0.006109804,-0.078165238,1,0.650452034,1.666666667,1.666666667,36
32,K23155,0.362552263,0.314239535,0.209165334,0.457345968,1,0.002046892,0.046511628,0.046511628,43
33,K23156,0.816623752,0.679522727,0.008339468,0.091320689,1,0.555493497,0.5,0.5,44
34,K23502,0.620659846,0.513540889,0.123328077,0.351180975,1,0.002006504,0.4,0.4,75
35,K23503,0.769335183,0.619822831,0.030210504,0.17381169,1,0.14138971,0.616438356,0.616438356,73
36,K23507,0.611843499,0.496546575,0.032932141,0.181472148,1,0.124409426,0.232876712,0.232876712,73
