,Participant,R,R2,R_spearman,RMSE,MAE,MSE,R2_CD,P_Value,p_value_spearman
3,K23106,-0.001959383,3.84E-06,0.018215142,0.420990299,0.284652665,0.177232832,-0.032006157,0.989000837,0.3630319
74,KTGF147,-0.005541633,3.07E-05,0.014821522,0.262239876,0.221825234,0.068769752,-0.034268043,0.962106347,0.355220257
73,KTGF146,-0.008272231,6.84E-05,0.165189095,0.710259646,0.493752514,0.504468765,-0.172712583,0.953121213,0.003580771
63,KTGF124,-0.010074413,0.000101494,0.030115324,0.629038892,0.507468494,0.395689928,-0.070694627,0.940170066,0.612995541
71,KTGF142,0.013809488,0.000190702,0.10720357,0.515275213,0.364235359,0.265508546,-0.058470309,0.939200985,0.110830944
31,K23155,0.014987216,0.000224617,0.162264285,0.226026608,0.144874194,0.051088027,-0.159755301,0.924007392,0.105595619
27,K23148,-0.027257779,0.000742987,-0.023485217,0.230857784,0.188018923,0.053295316,-0.036814996,0.843402939,0.455230566
53,K23555,-0.029906705,0.000894411,-0.001334229,0.399426609,0.31566045,0.159541616,-0.014934122,0.816013276,0.821951756
52,K23552,-0.039442043,0.001555675,0.003418568,0.485766941,0.389970873,0.235969521,-0.039515764,0.794672337,0.717447882
54,K23556,0.048146609,0.002318096,0.200898692,0.369467874,0.275962026,0.13650651,-0.022775023,0.777194748,0.904437881
12,K23125,-0.049142774,0.002415012,-0.07225954,0.434035753,0.334965361,0.188387035,-0.051872087,0.679695493,0.70367018
43,K23531,-0.050578406,0.002558175,-0.114317819,0.570957381,0.464245113,0.325992331,-0.038263245,0.786999465,0.74539729
75,KTGF148,-0.053023886,0.002811532,-0.016927807,0.254872371,0.207652132,0.064959926,-0.026574625,0.598456665,0.592819438
44,K23532,0.055866641,0.003121082,0.019324007,0.512457891,0.355004707,0.262613091,0.000428924,0.773467521,0.927241829
72,KTGF143,-0.057385806,0.003293131,-0.087946904,0.219404079,0.167504095,0.04813815,-0.065291005,0.63207556,0.039621176
51,K23551,0.060633293,0.003676396,-0.14304201,0.98573127,0.721109279,0.971666136,-0.064738886,0.645367332,0.396586514
35,K23507,0.07001984,0.004902778,0.100331568,0.301770669,0.25026775,0.091065537,-0.023221887,0.556097888,0.101032878
