"","Participant","R","R2","R_spearman","RMSE","MAE","MSE","R2_CD","P_Value","p_value_spearman"
"1","K23101",0.160775265663494,0.0258486860491672,0.166059609804141,0.344183784962627,0.242097021497022,0.1184624778312,0.034619210509923,0.159673676906696,0.300989290163728
"2","K23104",0.094388928744831,0.00890926986959678,0.12037546999943,0.208754203925481,0.0699074902439608,0.0435783176565611,-0.0147160593867859,0.37620366530546,0.184507119955535
"3","K23106",-0.0152029600848128,0.000231129995340412,0.0247319595617876,0.236517297128236,0.111428235653236,0.0559404318408463,-0.00921105606751182,0.91481180790997,0.404148743601678
"4","K23107",0.0753583318728033,0.00567887818265158,0.0640015383310177,0.363100404741887,0.27092147611761,0.131841903923722,0.011634162422163,0.573966792676856,0.758532222437807
"5","K23109",0.0994488803548994,0.00989007980384311,0.081249594171981,0.526272840335936,0.355096576041771,0.276963102475253,0.013572943162838,0.351036139433876,0.219879732566364
"6","K23114",0.619138228095041,0.383332145488667,0.603700320369831,0.88336313803127,0.729557181926609,0.780330433632452,0.399884447114073,4.40214182871774e-05,5.69218007989083e-06
"7","K23115",0.00819886964780554,6.72214635017068e-05,0.0454250100401834,0.895592336576677,0.673858909729915,0.802085633334871,-0.0346623893252047,0.947498227195359,0.481589440084791
"8","K23117",-0.000363633435480197,1.32229275399135e-07,-0.0612290624418947,1.17274560646502,0.977036639203983,1.37533225748301,-0.055616268919024,0.997285995153339,0.214249572814383
"9","K23120",0.111622678662222,0.0124596223917296,0.0451258979612382,0.415334471215677,0.331710817217225,0.172502722980006,-0.0444066070745104,0.330576460886329,0.0901298799751677
"10","K23121",0.353374257449517,0.124873365827997,0.393560093599144,0.607104985986624,0.450458431982224,0.368576464009819,0.135355868855654,0.00876311794784805,6.12914090652296e-05
"11","K23122",-0.0408572874721223,0.00166931793957964,0.0641624433874652,0.471581645529478,0.312094174599347,0.222389248400291,-0.0144947736013259,0.83333004962057,0.423127017044228
"12","K23125",-0.183353892004522,0.0336186497132061,-0.141332158628816,0.933547553576902,0.774691712397192,0.871511034789419,-0.184858251126018,0.120486899702454,0.992653171408017
"13","K23126",0.116219745093299,0.0135070291495515,0.0879523925287831,1.17680166923814,0.978903163214259,1.38486216872167,0.00616663588188171,0.327497758285569,0.0177483103502467
"14","K23128",-0.231381740490821,0.0535375098325617,-0.175784632959432,1.43534448018743,1.2278895718103,2.06021377680452,-0.136860899717163,0.145507505639726,0.261181195636531
"15","K23129",0.127295309231883,0.0162040957524408,0.133329734155654,0.7431695232642,0.394000805860806,0.552300940308739,0.0289214236329863,0.312259436026941,0.844345307684847
"16","K23130",0.842807117314083,0.710323836995274,0.402354554808443,0.424964374006343,0.133219047619048,0.180594719174603,0.500214614377262,2.13942383265079e-10,0.0164094609443017
"17","K23131",0.226383363730426,0.0512494273739024,0.222379797514799,0.71831559528396,0.558530951392158,0.51597729442815,0.0528601283338035,0.0349895931210671,0.00933234042360588
"18","K23133",-0.35588799435701,0.126656264527455,-0.325121322939839,0.877984417968471,0.716150855317522,0.770856638195434,-0.097359825802021,0.00215438495278496,0.00707134887797066
"19","K23134",-0.132473809009962,0.0175493100736079,-0.0299567019169081,0.536443525188311,0.379637293668391,0.287771655716462,-0.0441272464048625,0.408995823556852,0.529569776845479
"20","K23136",0.519695566375883,0.270083481710749,0.304130945722799,1.0284306279693,0.817384772662721,1.05766955654534,0.153301764574079,0.00035496162571606,0.434912320743548
"21","K23142",-0.0775358766466969,0.0060118121673718,-0.110492720712677,0.313085728850247,0.0807955307607072,0.0980226736096901,-0.064614676911261,0.425101470989602,0.281902586193255
"22","K23143",0.0694122831006586,0.00481806504524597,0.0832454339714467,0.297654580278701,0.074222551422936,0.0885982491608896,-0.175468859515911,0.432614701501162,0.083258554698865
"23","K23144",-0.0187929403525547,0.000353174607094681,0.0501154187328711,0.860578521889668,0.697826681822281,0.740595392337806,-0.0297713217077902,0.829998171221152,0.76635427350955
"24","K23145",0.0366713503233367,0.00134478793453689,0.129227756597579,0.552780482577542,0.317576773504273,0.30556626191866,-0.103780170604138,0.780879382927587,0.903304884621897
"25","K23147",-0.218504454946503,0.0477441968314683,-0.165416144069322,0.569802405811653,0.397158653635926,0.324674781668748,-0.0918999026821585,0.22184318732464,0.626527419561854
"26","K23148",0.29119816230601,0.0847963697303971,0.255248695290996,0.463918342720728,0.327074869165297,0.215220228712746,0.0920396601180992,0.0310084589185514,0.0550507263919437
"27","K23150",0.0415462006261372,0.00172608678646724,0.0475037760162418,0.906365806981368,0.780019115072961,0.821498976064986,-0.0231843534222587,0.742458903952916,0.174244368948468
"28","K23151",-0.0262585202268121,0.0006895098845019,0.010914291956849,1.17661754505039,0.912263847263847,1.3844288473204,-0.0543286493981703,0.873923901388167,0.0734543629074146
"29","K23153",-0.0528268879521881,0.00279068009071302,0.00111234677271445,0.885463828856835,0.687278959579579,0.784046192213806,-0.0431871195241771,0.759613079600417,0.561833489895856
"30","K23155",-0.169785498362166,0.0288271154540892,-0.355451768689476,0.364352349305585,0.150691221935799,0.132752634444499,-0.163841057314393,0.276384535703546,0.0225561993679469
"31","K23156",0.67115830372379,0.450453468657396,0.589375307178787,0.606989055510971,0.375715909090909,0.368435713510101,0.449818176826274,6.16119278408585e-07,3.07051217471698e-06
"32","K23502",0.579250552130276,0.33553120214323,0.524413570622228,0.606236302626478,0.522908,0.367522454622222,0.342864167798539,5.19321466603634e-08,1.04549519690029e-06
"33","K23503",0.0820490256786056,0.00673204261480849,0.0949929689028381,0.995626684690415,0.839217649974701,0.991272495267626,0.00418038319444836,0.490136031995572,0.386688522654748
"34","K23507",-0.0689677038916965,0.00475654418009273,-0.00921172252400475,0.411210517419431,0.28420080519087,0.169094089636356,-0.0733798733438276,0.562062419164863,0.615739694178171
"35","K23508",0.0814645954983451,0.00663648031970898,0.149143400561415,0.730383990007801,0.558232223530438,0.533460772859715,0.00721499673237336,0.550594912429952,0.309895702590562
"36","K23509",0.179550179150117,0.0322382668328392,0.176527076721086,0.901007637366143,0.7782756494894,0.811814762592118,0.00380608712850572,0.0941542364745452,0.00329867615984115
"37","K23510",-0.0471021073993023,0.00221860852145542,-0.0499645393790974,0.965695071317298,0.798160165800866,0.93256697076652,-0.0328239188487032,0.641675391066782,0.579107952548639
"38","K23517",0.11928655546556,0.0142292823148381,0.13675423688745,1.10078898196064,0.92229207752596,1.21173638280593,0.001316168017089,0.308038740243479,0.203260046543756
