,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.491407465,0.407728205,0.017880595,0.133718342,1,0.24314905,0.141025641,0.141025641,78
2,K23104,0.277157025,0.153027037,0.035814976,0.189248452,1,0.074025973,0.044444444,0.044444444,90
3,K23106,0.362210071,0.282747436,0.030046785,0.173340085,1,0.219103367,0.057692308,0.057692308,52
4,K23107,0.345996985,0.248655172,0.106897192,0.32695136,1,0.012243512,0.155172414,0.155172414,58
5,K23109,0.57286117,0.356157778,0.000130916,0.011441869,1,0.914762594,0.211111111,0.211111111,90
6,K23114,0.969397832,0.790681081,0.345078707,0.587434002,1,0.000132157,1.756756757,1.756756757,37
7,K23115,0.859642437,0.621106468,0.090989452,0.30164458,1,0.01311321,1.268656716,1.268656716,67
8,K23117,1.130335494,0.921338519,0.031441697,0.177318068,1,0.094534256,1.022222222,1.022222222,90
9,K23120,0.55966809,0.497605983,0.023481211,0.153235802,1,0.180434695,0.205128205,0.205128205,78
10,K23121,0.710561325,0.571842593,0.047581409,0.218131633,1,0.113063103,0.37037037,0.37037037,54
11,K23122,0.592323098,0.514886207,0.037895855,0.194668577,1,0.311570308,0.172413793,0.172413793,29
12,K23125,0.847536148,0.696510502,0.054721844,0.233927006,1,0.04638127,0.712328767,0.712328767,73
13,K23126,1.187518746,0.883859817,0.071159847,0.266758031,1,0.02252758,1.095890411,1.095890411,73
14,K23128,1.492360145,1.206604878,0.023543538,-0.153439036,1,0.338167026,1.292682927,1.292682927,41
15,K23129,0.871768565,0.683284615,0.012206305,0.110482149,1,0.380954576,0.2,0.2,65
16,K23130,0.515195578,0.376958095,0.439804583,0.663177641,1,1.41E-05,0.142857143,0.142857143,35
17,K23131,0.740394501,0.588602299,0.082539639,0.287297127,1,0.006973564,0.885057471,0.885057471,87
18,K23133,0.889828844,0.724447222,8.25E-07,-0.000908172,1,0.993959094,0.541666667,0.541666667,72
19,K23134,0.597555894,0.455586992,0.153218542,0.391431402,1,0.011381687,0.219512195,0.219512195,41
20,K23136,1.005379642,0.652634884,0.212431195,0.460902588,1,0.001868234,0.581395349,0.581395349,43
21,K23139,0.297334468,0.174752617,NA,NA,0,NA,0,0,121
22,K23141,0.189612724,0.096039827,NA,NA,0,NA,0,0,77
23,K23142,0.371956117,0.131398457,0.002218714,-0.047103229,1,0.628326317,0.037037037,0.037037037,108
24,K23143,0.296441318,0.151807179,0.070877259,0.266227832,1,0.002201584,0.046153846,0.046153846,130
25,K23144,0.832329941,0.618193233,0.065203451,0.255349663,1,0.003013305,0.54887218,0.54887218,133
26,K23145,0.51613865,0.379255,0.137785395,0.371194551,1,0.003501709,0.166666667,0.166666667,60
27,K23147,0.629032419,0.468075758,2.10E-05,-0.004585222,1,0.979796091,0.212121212,0.212121212,33
28,K23148,0.506584751,0.414223636,0.185164759,0.430307749,1,0.001041316,0.2,0.2,55
29,K23150,0.946806147,0.813428205,0.003290934,-0.057366662,1,0.649897318,0.615384615,0.615384615,65
30,K23151,1.087132305,0.808512821,0.094402055,0.307249175,1,0.057086021,1.051282051,1.051282051,39
31,K23153,0.871310332,0.654071296,0.027385143,0.16548457,1,0.334776228,1.138888889,1.138888889,36
32,K23155,0.6125505,0.508914729,0.002314225,0.048106391,1,0.759348392,0.069767442,0.069767442,43
33,K23156,0.837665857,0.746175,0.000130992,0.011445183,1,0.941220828,0.568181818,0.568181818,44
34,K23502,0.698848899,0.576926222,0.123739365,0.351766066,1,0.001969654,0.853333333,0.853333333,75
35,K23503,1.014393058,0.7878,0.084726616,0.291078367,1,0.012475388,1.410958904,1.410958904,73
