"","Participant","R","R2","R_spearman","RMSE","MAE","MSE","R2_CD","P_Value","p_value_spearman"
"1","K23101",0.157685142250873,0.024864604086678,0.163511571101894,0.330773044626743,0.227554426129426,0.109410807051645,0.0336451365409064,0.167957614156014,0.148307835718338
"2","K23106",-0.0349656546313411,0.00122259700379823,0.0154728709785967,0.709253567222826,0.523329396991897,0.503040622618304,-0.0230550085764882,0.805615018164284,0.863901488230133
"3","K23107",-0.154653605827425,0.0239177377954244,-0.251179891624252,0.192838637304457,0.0709526114689908,0.0371867400374398,-0.0976728800337128,0.24639205607413,0.0253425771485309
"4","K23109",0.292312812421765,0.0854467803059218,0.326655992071147,0.685488158212367,0.549512962962963,0.469894015049383,0.0495325604682959,0.0051787792197495,0.000120358659506274
"5","K23114",0.48372734645754,0.233992145710853,0.537485237642212,1.09103609523896,0.92763594073625,1.19035976111429,0.251388478845972,0.00241970131959314,2.92632568633017e-05
"6","K23115",0.280420554566468,0.0786356874233656,0.29187187215924,0.724175997113558,0.618938953889428,0.524430874795415,0.0869947526199502,0.0215349516771597,0.0150852058892228
"7","K23117",0.342563542242492,0.117349780473724,0.353149691001094,1.05297848965637,0.862745925925926,1.10876369967901,0.125952442237093,0.00094971158703417,7.24668276320357e-06
"8","K23120",0.167617113723395,0.0280954968129615,0.219917848035331,0.545158310656025,0.449727166810481,0.297197583677331,0.0325372967121691,0.14241589215749,0.0296319459574528
"9","K23121",0.265810597376926,0.070655273677878,0.373285762635328,0.739238761041198,0.568165148921521,0.546473945825725,0.0799950394392791,0.0520521575998352,0.00127483096031511
"10","K23122",-0.0604884587903071,0.00365885364682669,0.0445805461033551,0.628873757154176,0.42999038936047,0.39548220243721,-0.189376105107461,0.755270500490039,0.354705132312192
"11","K23125",0.370765686100004,0.137467193989206,0.296709790976532,0.587030534988265,0.46727912616303,0.344604849008608,0.127532231989766,0.00124195667229401,0.0188175764847416
"12","K23126",0.0447592591499247,0.00200339127965013,0.0652849785643458,0.657554922390982,0.544991163212739,0.432378475960611,-0.125040232499491,0.706908516885187,0.162181835615783
"13","K23128",-0.047314595977846,0.0022386709925468,-0.0710029025898238,0.447036923340141,0.298511508410289,0.199842010829419,-0.0241903055007751,0.768943907722483,0.0616031332597116
"14","K23130",0.556893524253733,0.310130397355743,0.490001243695426,0.724281346797632,0.590043693111645,0.524583469318992,0.324400077392207,0.000511608982932679,0.000534196279002456
"15","K23131",0.00501136849812921,2.51138142240412e-05,-0.00657774709006643,0.598404313724951,0.536119705007636,0.358087722684629,-0.0280937609848011,0.963256738952898,0.225472089015735
"16","K23134",-0.172327248856653,0.0296966806985027,-0.136957776875356,0.615177753593219,0.298779481223384,0.378443668515999,-0.15362010476996,0.281304227055628,0.890499220086752
"17","K23136",-0.0941827741295136,0.00887039494273098,-0.104246459951668,0.632457221226138,0.382754016784249,0.400002136681088,-0.111390552070837,0.548015346236,0.25377825579374
"18","K23139",0.20465688146678,0.0418844391317075,0.177445863121539,0.289963958350756,0.102496995045559,0.0840790971424392,0.0477156860310303,0.0243382329332584,0.0266638194504953
"19","K23142",0.505223222627771,0.25525050468239,0.355332199763846,0.358845779529672,0.147205229462198,0.128770293486258,0.261870281980552,2.45628601442255e-08,1.27240220730032e-05
"20","K23143",0.030472688216934,0.000928584727166466,0.116927084926943,0.284747590572781,0.120979198618719,0.0810811903370044,-0.100106441708386,0.73072115783481,0.315581250406314
"21","K23144",0.000998624491720391,9.97250875463805e-07,0.0017703403462443,0.382386817613778,0.183926436220421,0.146219678284792,-0.020283255949048,0.990897937513901,0.653696316878386
"22","K23145",0.202849564957208,0.0411479460033287,0.143409859395823,0.786068222074332,0.455165238095238,0.617903249755102,0.0452302469956087,0.120083778525338,0.0340006995345868
"23","K23148",-0.0690534443132211,0.00476837817151913,-0.0678047627197813,0.367973575423363,0.175884761904762,0.135404552209854,-0.117087555731292,0.616406281989419,0.0108565716350396
"24","K23150",0.00867365164282056,7.52322328210038e-05,0.0619650950709193,0.678471573547045,0.52585780435251,0.460323676111404,-0.0110593942045629,0.945329013226032,0.780940480282216
"25","K23151",-0.38470929135094,0.148001238851742,-0.291506508467364,0.886386947986635,0.667548724067955,0.785681821561061,-0.166713887328149,0.015596281014308,0.0768743370435178
"26","K23153",0.534687048087125,0.285890239392123,0.562699815131479,0.934992343270954,0.785922222222222,0.874210681975309,0.287973200201106,0.000780919033876903,0.000193308376245305
"27","K23155",0.113383741900381,0.0128558729273322,0.14213381090374,0.378667814693484,0.264533631730027,0.143389313884739,-0.0276234161739612,0.469104107672355,0.380807430049468
"28","K23156",0.592550762949733,0.351116406672311,0.517948785828805,0.684579965575737,0.421418939393939,0.468649729267677,0.348025523695261,2.25844145590697e-05,0.00015403427734065
