,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.494765205,0.398422222,0.034214618,0.184971939,1,0.104958316,0.128205128,0.128205128,78
2,K23104,0.119894124,0.09016963,NA,NA,0,NA,0,0,90
3,K23106,0.668269466,0.46805,0.084054264,0.289921134,1,0.037083965,0.307692308,0.307692308,52
4,K23107,0.312612723,0.24286092,0.03089129,0.175759181,1,0.186933994,0.034482759,0.034482759,58
5,K23109,0.664905928,0.53067963,0.09708689,0.311587693,1,0.002794721,0.666666667,0.666666667,90
6,K23114,1.212354723,0.947412741,0.207538629,0.455564077,1,0.00460548,1.513513514,1.513513514,37
7,K23115,0.760739489,0.637785075,0.004935765,0.070254997,1,0.572115487,0.611940299,0.611940299,67
8,K23117,1.098306988,0.836764815,0.105734146,0.325167874,1,0.001765168,1.033333333,1.033333333,90
9,K23120,0.533162404,0.467881624,0.093239925,0.305352133,1,0.00655764,0.346153846,0.346153846,78
10,K23121,0.778568372,0.589367901,0.003260219,0.057098324,1,0.681730883,0.481481481,0.481481481,54
11,K23122,0.593856461,0.455888506,0.00691841,-0.083176983,1,0.667949733,0.24137931,0.24137931,29
12,K23125,0.569434286,0.47803653,0.214568952,0.46321588,1,3.68E-05,0.342465753,0.342465753,73
13,K23126,0.603645456,0.516448402,0.072410308,0.269091635,1,0.021330854,0.410958904,0.410958904,73
14,K23128,0.474410891,0.396808943,0.09739398,0.312080086,1,0.04698764,0.170731707,0.170731707,41
15,K23129,0.434087179,0.397225128,8.25E-05,-0.009085507,1,0.942737301,0.015384615,0.015384615,65
16,K23130,0.738027459,0.555192381,0.320062236,0.565740432,1,0.000397337,0.6,0.6,35
17,K23131,0.609093666,0.546285057,0.014091113,0.118705993,1,0.273482191,0.643678161,0.643678161,87
18,K23133,0.347650716,0.231908796,0.047018899,0.216838417,1,0.067314622,0.055555556,0.055555556,72
19,K23134,0.602546852,0.292739024,0.00567198,-0.075312548,1,0.639793237,0.146341463,0.146341463,41
20,K23136,0.481955123,0.282532558,0.48572413,0.696939115,1,2.08E-07,0.209302326,0.209302326,43
21,K23139,0.329745829,0.172055096,0.051635886,0.22723531,1,0.012192499,0.05785124,0.05785124,121
22,K23141,0.125773263,0.086300433,NA,NA,0,NA,0,0,77
23,K23142,0.421281981,0.186334524,0.043145702,0.207715435,1,0.030997143,0.111111111,0.111111111,108
24,K23143,0.343565782,0.185040513,0.001728062,0.041569966,1,0.638643744,0.061538462,0.061538462,130
25,K23144,0.386501164,0.225009774,0.069601526,0.263821012,1,0.002152342,0.090225564,0.090225564,133
26,K23145,0.656849673,0.329998889,0.530647677,0.72845568,1,4.20E-11,0.283333333,0.283333333,60
27,K23147,0.369417511,0.218936364,0.045366079,0.212993142,1,0.234011087,0.060606061,0.060606061,33
28,K23148,0.343023141,0.240918788,0.236773577,0.486593852,1,0.000165316,0.090909091,0.090909091,55
29,K23150,0.623811453,0.414695897,0.148260641,0.385046284,1,0.001539222,0.369230769,0.369230769,65
30,K23151,0.875015283,0.64275812,0.010351348,-0.101741575,1,0.537692396,0.435897436,0.435897436,39
31,K23153,1.123005365,0.941892593,0.198768837,0.445834988,1,0.006426437,1.472222222,1.472222222,36
32,K23155,0.417650105,0.375073976,0.154192834,0.392673954,1,0.009198001,0.162790698,0.162790698,43
33,K23156,0.875460547,0.783515152,0.012330753,-0.111043922,1,0.473003353,0.545454545,0.545454545,44
34,K23502,0.58871025,0.517563556,0.192689386,0.438963991,1,8.16E-05,0.6,0.6,75
35,K23503,0.893889893,0.684053881,0.018569624,0.136270408,1,0.250320469,1.342465753,1.342465753,73
36,K23507,0.64698497,0.608420548,0.050146783,-0.223934774,1,0.056839899,0.205479452,0.205479452,73
37,K23508,0.729459841,0.626596684,0.02982226,0.172691227,1,0.203109326,0.285714286,0.285714286,56
38,K23509,0.670074724,0.522285227,0.164032834,0.405009671,1,9.07E-05,1.011363636,1.011363636,88
39,K23510,0.946444579,0.772407333,0.109486762,0.330887839,1,0.000772343,1.11,1.11,100
40,K23517,1.247962042,0.987094381,0.001416199,0.037632418,1,0.748554489,2.053333333,2.053333333,75
