,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.590094077,0.562301667,0.008236028,0.090752566,1,0.429412658,0.141025641,0.141025641,78
2,K23104,0.485880531,0.440283711,0.035453273,0.188290395,1,0.072265984,0.043478261,0.043478261,92
3,K23106,0.711387171,0.684093331,0.002556835,0.050565155,1,0.716519388,0.074074074,0.074074074,54
4,K23107,0.522115513,0.505937288,0.005850506,-0.076488602,1,0.568219167,0.155172414,0.155172414,58
5,K23109,0.623950961,0.538867757,0.000585567,-0.024198487,1,0.819894176,0.21978022,0.21978022,91
6,K23114,1.633895109,1.356855317,0.055204117,-0.234955563,1,0.134187756,1.714285714,1.714285714,42
7,K23115,1.035118931,0.781198362,0.136282141,0.369164111,1,0.002110322,1.268656716,1.268656716,67
8,K23117,1.186876681,0.944803162,1.61E-05,-0.004006449,1,0.969764836,1.02173913,1.02173913,92
9,K23120,0.680454674,0.62891553,0.009234929,-0.096098537,1,0.396455448,0.2125,0.2125,80
10,K23121,0.744583436,0.671486794,0.006150932,0.078427877,1,0.572952219,0.37037037,0.37037037,54
11,K23122,0.637610241,0.561869785,0.017036645,-0.130524498,1,0.469065085,0.151515152,0.151515152,33
12,K23125,0.862942716,0.719959996,0.009312791,0.096502805,1,0.416684132,0.712328767,0.712328767,73
13,K23126,1.243649379,0.95012874,0.003581886,0.059848858,1,0.612485484,1.081081081,1.081081081,74
14,K23128,1.411724591,1.089229603,0.04850446,0.220237282,1,0.166464789,1.292682927,1.292682927,41
15,K23129,0.796069965,0.646707673,0.034871738,0.186739761,1,0.106262642,0.197368421,0.197368421,76
16,K23130,0.686678398,0.613382072,0.196504392,0.44328816,1,0.006773548,0.138888889,0.138888889,36
17,K23131,0.791548894,0.645060596,0.003761805,0.061333553,1,0.572523719,0.885057471,0.885057471,87
18,K23133,0.872466981,0.745441265,0.004276099,-0.065391889,1,0.579894703,0.554054054,0.554054054,74
19,K23134,0.751256836,0.711023684,0.18153242,0.426066216,1,0.004902649,0.214285714,0.214285714,42
20,K23136,1.071466734,0.870355543,0.134677537,0.366984382,1,0.015490852,0.581395349,0.581395349,43
21,K23139,0.544084623,0.505380924,NA,NA,0,NA,0,0,126
22,K23141,0.672523684,0.657114033,NA,NA,0,NA,0,0,77
23,K23142,0.557101913,0.479990942,8.66E-05,-0.009306691,1,0.923842554,0.037037037,0.037037037,108
24,K23143,0.507259328,0.447148902,0.000857576,0.029284396,1,0.739863516,0.045801527,0.045801527,131
25,K23144,0.887945879,0.75454845,0.000610064,-0.024699469,1,0.776960983,0.544776119,0.544776119,134
26,K23145,0.658310994,0.607432157,0.068470596,0.261668868,1,0.043427152,0.166666667,0.166666667,60
27,K23147,0.716068495,0.672633308,0.001452668,0.038113879,1,0.830543127,0.235294118,0.235294118,34
28,K23148,0.690491066,0.646090576,0.02675569,0.163571665,1,0.232762141,0.2,0.2,55
29,K23150,0.887794126,0.772669654,0.006507633,0.080669899,1,0.519644038,0.606060606,0.606060606,66
30,K23151,1.003653612,0.725180832,0.134957964,0.367366253,1,0.00282487,0.84375,0.84375,64
31,K23153,0.941856367,0.725109538,0.029067373,0.170491563,1,0.320149437,1.138888889,1.138888889,36
32,K23155,0.568918536,0.533524702,0.006825576,0.082617047,1,0.499747867,0.043478261,0.043478261,69
33,K23156,0.829212128,0.699648665,0.020897217,0.144558697,1,0.343419745,0.6,0.6,45
34,K23502,0.784132413,0.647996034,0.050752317,0.225282748,1,0.048847922,0.883116883,0.883116883,77
35,K23503,1.091877918,0.819915588,0.097846879,0.312804858,1,0.007050412,1.410958904,1.410958904,73
36,K23507,0.624890901,0.584866385,0.000131612,-0.011472228,1,0.922717761,0.148648649,0.148648649,74
37,K23508,0.747927588,0.63783877,0.004502558,0.067101102,1,0.623166434,0.410714286,0.410714286,56
38,K23509,0.909089737,0.778302942,0.019797724,0.140704385,1,0.191020194,1.034090909,1.034090909,88
39,K23510,0.971187931,0.782835246,0.000599975,-0.024494383,1,0.806945098,0.81372549,0.81372549,102
40,K23517,1.343960397,1.068455515,0.000947914,-0.030788205,1,0.79315379,1.386666667,1.386666667,75
41,K23521,1.781085815,1.497951834,0.089149731,0.298579522,1,0.035188504,2.26,2.26,50
42,K23526,1.080984403,0.901085529,0.001604712,0.040058861,1,0.714214645,0.953488372,0.953488372,86
43,K23529,1.294221689,0.917272275,0.073451275,0.271018957,1,0.062431453,1.458333333,1.458333333,48
44,K23531,1.165745817,0.900918158,0.031652348,0.177911068,1,0.338300461,1.322580645,1.322580645,31
45,K23532,0.696566852,0.623913481,0.318902302,0.564714355,1,0.001149853,0.5,0.5,30
46,K23533,1.242295503,0.980568694,0.004488495,-0.066996231,1,0.573319391,1.589041096,1.589041096,73
47,K23536,0.733233871,0.674162943,0.003202818,-0.056593448,1,0.667563836,0.2,0.2,60
48,K23537,1.016972147,0.812878721,0.062204841,0.249408983,1,0.015342279,1.244680851,1.244680851,94
49,K23540,0.848933447,0.64914517,0.005181923,-0.071985577,1,0.612059799,0.980769231,0.980769231,52
50,K23541,0.769251867,0.66623486,0.030045487,0.173336341,1,0.228662963,0.24,0.24,50
51,K23548,1.00780001,0.931773325,0.003695272,0.060788745,1,0.630494913,0.415384615,0.415384615,65
52,K23551,1.148030854,0.86154829,0.020939091,-0.144703459,1,0.257837973,0.698412698,0.698412698,63
53,K23552,1.402640635,1.142152013,0.00766043,0.087523882,1,0.563000169,1.586956522,1.586956522,46
54,K23555,0.673312736,0.606174898,0.011609944,0.107749449,1,0.389157418,0.46969697,0.46969697,66
55,K23556,2.447941217,2.416294185,0.009621346,-0.098088461,1,0.552466827,3.051282051,3.051282051,39
56,K23557,0.795661313,0.638722834,0.081909734,0.286198766,1,0.016311471,0.857142857,0.857142857,70
57,K23559,0.803948709,0.619260885,0.248233512,0.49823038,1,1.54E-07,0.909090909,0.909090909,99
58,K23563,0.79571528,0.640046263,0.057039774,0.238830011,1,0.070995353,0.862068966,0.862068966,58
59,K23565,1.917333867,1.731563385,0.063190445,0.251377098,1,0.041750615,2.53030303,2.53030303,66
60,KTFG534,1.127113669,0.888496788,0.08933767,0.298894077,1,0.001439697,1.297297297,1.297297297,111
61,KTGF118,0.888251279,0.754896874,0.005536022,0.074404452,1,0.528675733,0.608108108,0.608108108,74
62,KTGF119,0.495742207,0.472754122,NA,NA,0,NA,0,0,67
63,KTGF120,0.73723741,0.690949631,0.002502189,-0.050021882,1,0.669967108,0.24,0.24,75
64,KTGF122,0.683379273,0.593424889,0.003547316,0.05955935,1,0.57928373,0.449438202,0.449438202,89
65,KTGF124,0.919775331,0.685948578,0.017922866,0.133876309,1,0.307829628,0.983333333,0.983333333,60
66,KTGF125,0.613709411,0.589644014,0.022743511,0.150809517,1,0.153603289,0.054945055,0.054945055,91
67,KTGF126,0.64760186,0.540322346,0.001185453,0.034430414,1,0.740461828,0.936842105,0.936842105,95
68,KTGF127,0.526519458,0.442337968,0.035801431,0.189212661,1,0.262032066,0.027027027,0.027027027,37
69,KTGF129,1.034556081,0.818985745,0.072046272,0.268414366,1,0.007225801,0.838383838,0.838383838,99
70,KTGF130,0.987076599,0.809865855,0.029487976,0.171720634,1,0.140715094,1.053333333,1.053333333,75
71,KTGF136,0.697069239,0.652143501,0.083909316,-0.289671047,1,0.043501362,0.06122449,0.06122449,49
72,KTGF138,0.633576666,0.576797731,NA,NA,0,NA,0,0,35
73,KTGF142,0.771059503,0.712286863,0.177011223,0.420727018,1,0.011846213,0.314285714,0.314285714,35
74,KTGF143,0.791870198,0.745201065,0.019171037,0.138459515,1,0.242719163,0.164383562,0.164383562,73
75,KTGF146,0.909173074,0.778872889,0.007132723,-0.084455453,1,0.547667075,0.339622642,0.339622642,53
76,KTGF147,0.634011751,0.57727958,0.02852884,0.168904824,1,0.141978014,0.337662338,0.337662338,77
77,KTGF148,0.713494795,0.634195356,0.072204676,0.268709278,1,0.005577128,0.323809524,0.323809524,105
78,KTGF150,0.549504436,0.505949633,0.002068667,0.045482601,1,0.673914331,0.465909091,0.465909091,88
79,KTGF153,0.788320801,0.69236666,0.001060299,-0.03256223,1,0.750258813,0.520408163,0.520408163,98
80,KTGF154,0.745371608,0.650801098,0.000228332,0.01511067,1,0.889519451,0.287356322,0.287356322,87
81,KTGF156,0.694812955,0.614231101,0.029641338,0.1721666,1,0.093477255,0.479166667,0.479166667,96
82,KTGF157,0.905197088,0.703569283,0.00022681,0.015060218,1,0.88177682,1.11,1.11,100
83,KTGF158,0.814938431,0.671533306,0.022070249,0.14856059,1,0.216291708,0.295774648,0.295774648,71
84,KTGF527,1.566676876,1.281746358,0.000131461,-0.011465629,1,0.916057699,2.045977011,2.045977011,87
85,KTGF528,1.208776445,0.966900779,0.007907872,0.088926216,1,0.59033947,1.051282051,1.051282051,39
86,KTGF533,1.553046162,1.20932533,0.001378442,0.037127372,1,0.746909283,1.461538462,1.461538462,78
87,KTGF540,0.744875707,0.613088095,2.64E-05,0.005134323,1,0.976291242,0.555555556,0.555555556,36
88,KTGF544,0.834940564,0.575024066,0.009196067,-0.095896126,1,0.340109501,1.099009901,1.099009901,101
89,KTGF545,0.931249958,0.80137603,0.002031846,0.045076003,1,0.689464589,0.37037037,0.37037037,81
90,KTGF549,0.766778496,0.729827439,0.026013285,-0.161286345,1,0.340257178,0.162162162,0.162162162,37
91,KTGF550,1.384579882,1.11494937,0.001366976,-0.036972635,1,0.704027183,1.240740741,1.240740741,108
92,KTGF553,0.894923331,0.78443091,0.186110511,0.431405275,1,1.27E-05,0.536842105,0.536842105,95
93,KTGF556,0.783920506,0.574583512,0.154477125,0.393035781,1,0.001096666,1.318181818,1.318181818,66
94,KTGF557,1.232874543,1.004228605,0.029459991,0.17163913,1,0.138195935,1.315789474,1.315789474,76
95,KTGF561,0.699261488,0.658804727,0.015167751,0.123157424,1,0.252972948,0.193181818,0.193181818,88
96,KTGF562,1.341102493,1.027843593,0.051647556,0.227260987,1,0.01913988,1.443396226,1.443396226,106
97,KTGF565,0.687116117,0.526548854,0.011969975,-0.109407381,1,0.459152909,0.833333333,0.833333333,48
98,KTGF570,0.757591737,0.695507377,0.078888449,0.280870875,1,0.050595927,0.183673469,0.183673469,49
99,KTGF572,0.662624881,0.600755951,0.014437082,-0.120154409,1,0.364688985,0.542372881,0.542372881,59
