,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.564721405,0.531332322,0.008338968,0.091317948,1,0.426531712,0.128205128,0.128205128,78
2,K23104,0.430475993,0.399336726,NA,NA,0,NA,0,0,92
3,K23106,0.81740845,0.738053191,0.048987263,0.221330664,1,0.107746968,0.333333333,0.333333333,54
4,K23107,0.450698435,0.429075585,0.000513222,-0.022654403,1,0.865956618,0.034482759,0.034482759,58
5,K23109,0.727463387,0.604138696,0.01731063,0.131569868,1,0.213809436,0.67032967,0.67032967,91
6,K23114,1.534721488,1.202037257,0.031917935,0.178655912,1,0.257627019,1.5,1.5,42
7,K23115,0.745327032,0.599475476,0.078713198,0.280558725,1,0.021467939,0.611940299,0.611940299,67
8,K23117,1.159441817,0.896584008,0.018518675,0.136083337,1,0.195857084,1.010869565,1.010869565,92
9,K23120,0.591266668,0.549856963,0.024309173,0.155913992,1,0.167263198,0.35,0.35,80
10,K23121,0.777749706,0.676664484,0.001302529,0.03609057,1,0.795566415,0.481481481,0.481481481,54
11,K23122,0.567846884,0.448471926,0.030121694,0.173556026,1,0.334085426,0.242424242,0.242424242,33
12,K23125,0.69714745,0.631249578,0.083908449,0.289669552,1,0.012927364,0.342465753,0.342465753,73
13,K23126,0.631569176,0.556415186,0.016592063,0.128810181,1,0.274057334,0.405405405,0.405405405,74
14,K23128,0.540020072,0.491099397,0.031936248,0.178707157,1,0.263598971,0.170731707,0.170731707,41
15,K23129,0.565794928,0.501441933,2.0097594273174e-07,-0.000448303,1,0.996933382,0.039473684,0.039473684,76
16,K23130,0.83023161,0.691038419,0.091347504,0.302237497,1,0.073198886,0.583333333,0.583333333,36
17,K23131,0.620541636,0.565160979,0.012800679,0.113140086,1,0.296766976,0.643678161,0.643678161,87
18,K23133,0.581689139,0.542591981,0.031129241,0.176434807,1,0.13264981,0.054054054,0.054054054,74
19,K23134,0.715478866,0.589703851,0.052397025,-0.228903964,1,0.144802385,0.142857143,0.142857143,42
20,K23136,0.692008306,0.600757432,0.010293619,0.101457475,1,0.517392235,0.209302326,0.209302326,43
21,K23139,0.494762727,0.443295745,0.063548958,0.252089186,1,0.004404569,0.055555556,0.055555556,126
22,K23141,0.4647244,0.439557613,NA,NA,0,NA,0,0,77
23,K23142,0.553689697,0.479961718,0.038180159,0.195397438,1,0.042705395,0.111111111,0.111111111,108
24,K23143,0.490214688,0.417685671,0.000584674,-0.024180039,1,0.783976388,0.061068702,0.061068702,131
25,K23144,0.613094178,0.580373467,0.005345289,0.07311148,1,0.401176488,0.089552239,0.089552239,134
26,K23145,0.773345253,0.601374695,0.156699586,0.395852985,1,0.00174377,0.283333333,0.283333333,60
27,K23147,0.621966383,0.573579002,0.025155977,-0.158606358,1,0.370293692,0.058823529,0.058823529,34
28,K23148,0.611866778,0.579927946,0.014469416,0.120288886,1,0.381694481,0.090909091,0.090909091,55
29,K23150,0.676555148,0.578522812,0.064336223,0.253645861,1,0.039879436,0.363636364,0.363636364,66
30,K23151,0.697684015,0.52363474,0.073958387,0.271952913,1,0.029712967,0.34375,0.34375,64
31,K23153,1.326649766,1.067931064,0.019213838,0.13861399,1,0.420107101,1.472222222,1.472222222,36
32,K23155,0.481577968,0.44120101,0.014491371,0.120380111,1,0.324489914,0.130434783,0.130434783,69
33,K23156,0.894186384,0.693535078,2.95959489538626e-05,-0.005440216,1,0.971707074,0.577777778,0.577777778,45
34,K23502,0.571800805,0.518094224,0.185359909,0.430534446,1,9.29259022857523e-05,0.61038961,0.61038961,77
35,K23503,1.069705552,0.848482341,0.019895293,0.141050676,1,0.233928972,1.342465753,1.342465753,73
36,K23507,0.568462205,0.531374941,0.020615476,-0.143580906,1,0.222299202,0.202702703,0.202702703,74
37,K23508,0.689018632,0.570920444,0.003026931,0.05501755,1,0.687144673,0.285714286,0.285714286,56
38,K23509,0.745628279,0.627038411,0.064618575,0.254201839,1,0.016851638,1.011363636,1.011363636,88
39,K23510,1.044333114,0.850177744,0.008636788,0.092934321,1,0.352870678,1.098039216,1.098039216,102
40,K23517,1.70830945,1.442207357,0.01436265,0.119844275,1,0.305766088,2.053333333,2.053333333,75
41,K23521,1.688597467,1.381975495,0.124534429,0.352894359,1,0.011948058,2.12,2.12,50
42,K23526,1.030117482,0.852744,0.066481368,0.257839811,1,0.016539149,0.848837209,0.848837209,86
43,K23529,1.24226918,0.918927906,0.000751054,0.027405366,1,0.85330773,1.416666667,1.416666667,48
44,K23531,1.779760355,1.566070832,0.131240291,0.362271018,1,0.045202491,2.225806452,2.225806452,31
45,K23532,0.680875723,0.56817255,0.301196037,0.548813299,1,0.001686767,0.633333333,0.633333333,30
46,K23533,1.190715755,0.999654541,0.020515613,0.143232722,1,0.226699896,1.602739726,1.602739726,73
47,K23536,0.99223889,0.811631223,0.016639749,0.12899515,1,0.325959542,0.4,0.4,60
48,K23537,1.017060934,0.791432582,0.060235634,0.245429488,1,0.01711264,1.361702128,1.361702128,94
49,K23540,1.05662021,0.810378963,0.008260937,-0.090889696,1,0.521645578,1.153846154,1.153846154,52
