,Emotion_Affect,id,R,R2,RMSE,MAE,MSE,R2_CD,P_Value
1,Happy,K23101,0.03415384416,0.001166485071,1.761409692,1.538461538,3.102564103,-0.01197606118,0.7665770501
2,Happy,K23104,NA,0.5015994679,0.9189365835,0.7777777778,0.8444444444,0.4959358255,NA
3,Happy,K23106,0.4149457467,0.1721799727,1.322875656,1.019230769,1.75,0.1556235722,0.002223222433
4,Happy,K23107,0.09305084523,0.008658459798,1.640016821,1.448275862,2.689655172,-0.009044067705,0.4872200334
5,Happy,K23109,0.2633384819,0.06934715607,0.8755950358,0.6555555556,0.7666666667,0.05877155557,0.01214997548
6,Happy,K23114,-0.4746327691,0.2252762655,2.102629932,1.736842105,4.421052632,0.2037561618,0.002605568932
7,Happy,K23115,0.2995877613,0.08975282671,1.078971318,0.776119403,1.164179104,0.07574902405,0.01378030574
8,Happy,K23117,0.3295825711,0.1086246712,0.9944903162,0.7472527473,0.989010989,0.09860921806,0.001421801297
9,Happy,K23120,0.2328390363,0.05421401685,0.7510676162,0.5128205128,0.5641025641,0.04176946444,0.04022156097
10,Happy,K23121,0.2311250818,0.05341880342,0.8050764859,0.5740740741,0.6481481481,0.03521531887,0.09266060828
11,Happy,K23122,-0.1031726175,0.010644589,0.8451542547,0.6428571429,0.7142857143,-0.02740754219,0.6013602474
12,Happy,K23125,0.3421070808,0.1170372547,0.9792364932,0.7123287671,0.9589041096,0.1046011597,0.003051928276
13,Happy,K23126,0.3521142021,0.1239844113,1.414213562,1.135135135,2,0.1118175282,0.002093705498
14,Happy,K23128,0.3345699691,0.1119370643,0.9627197247,0.7804878049,0.9268292683,0.08916621975,0.03250980214
15,Happy,K23129,0.2531651204,0.06409257817,0.8857851797,0.6307692308,0.7846153846,0.04923690481,0.04187535648
16,Happy,K23130,0.4307032843,0.1855053191,0.6546536707,0.4285714286,0.4285714286,0.1608236622,0.009798699174
17,Happy,K23131,0.2536494832,0.06433806034,1.208209467,0.9540229885,1.459770115,0.05333027282,0.01776049151
18,Happy,K23133,0.2338021666,0.0546634531,0.8079466429,0.5138888889,0.6527777778,0.04115864529,0.04808177791
19,Happy,K23134,0.007606707509,5.79E-05,1.147638084,0.8780487805,1.317073171,-0.02558168,0.9623529887
20,Happy,K23136,0.3671596963,0.1348062426,0.7775931859,0.6046511628,0.6046511628,0.1137039558,0.01543790461
21,Happy,K23139,0.462022911,0.2134651703,1,0.6859504132,1,0.2068556339,9.58E-08
22,Happy,K23141,0.07194769342,0.005176470588,0.9187795406,0.7402597403,0.8441558442,-0.008087843137,0.5340610909
23,Happy,K23142,0.1470047962,0.02161041012,1.503083251,1.203703704,2.259259259,0.01238031965,0.128963296
24,Happy,K23143,0.2832684367,0.08024100724,1.389521224,1.176923077,1.930769231,0.07305539011,0.001091857803
25,Happy,K23144,0.2625369332,0.06892564127,0.9128709292,0.6666666667,0.8333333333,0.06176353082,0.002356664018
26,Happy,K23145,0.2437059832,0.05939260623,1.110555417,0.9,1.233333333,0.04317523737,0.0605965135
27,Happy,K23147,0.2462591407,0.06064356436,1.255291829,1.090909091,1.575757576,0.03034174385,0.1671291103
28,Happy,K23148,0.4884677936,0.2386007854,1.221027883,0.9454545455,1.490909091,0.2242347625,0.0001546188953
29,Happy,K23150,0.2707745006,0.07331883016,0.8770580193,0.6461538462,0.7692307692,0.05860960525,0.02913699933
30,Happy,K23151,0.3889775548,0.1513035382,1.467598771,1.230769231,2.153846154,0.128365796,0.01439012719
31,Happy,K23153,0.3394128617,0.1152010907,1.5,1.083333333,2.25,0.08917759333,0.04285003309
32,Happy,K23155,-0.1844199469,0.03401071681,1.238904242,0.8372093023,1.534883721,0.01045000259,0.2364626411
33,Happy,K23156,-0.01992047682,0.0003968253968,0.7385489459,0.5454545455,0.5454545455,-0.02340325019,0.8978750761
34,Happy,K23502,0.3184208015,0.1013918068,1.949358869,1.773333333,3.8,0.08908210552,0.00536678778
35,Happy,K23503,0.4774935608,0.2280001006,1.570271768,1.424657534,2.465753425,0.2171268626,1.94E-05
36,Happy,K23507,0.3167745985,0.1003461463,1.498858013,1.260273973,2.246575342,0.08767496522,0.006323624726
37,Happy,K23508,-0.06647321069,0.004418687739,1.638356044,1.350877193,2.684210526,-0.01368279067,0.6232233573
38,Happy,K23509,0.3293692671,0.1084841141,0.8725615373,0.5795454545,0.7613636364,0.09811765032,0.001727318338
39,Happy,K23510,0.07338639238,0.005385562586,1.555634919,1.24,2.42,-0.004763564326,0.4680738013
40,Happy,K23517,0.1751613409,0.03068149535,1.058300524,0.8,1.12,0.01740315967,0.1328105554
41,Happy,K23521,0.4985272428,0.2485294118,1.208304597,1.02,1.46,0.2328737745,0.0002290957227
42,Happy,K23526,0.1372756908,0.01884461529,1.799470822,1.571428571,3.238095238,0.006879305724,0.2130563401
43,Happy,K23529,0.2345378585,0.05500800708,1.376892637,1.145833333,1.895833333,0.03446470289,0.1085898151
44,Happy,K23531,0.2545029194,0.06477173597,1.849149761,1.677419355,3.419354839,0.03252248549,0.1670774232
45,Happy,K23532,0.2547045097,0.06487438725,0.8905635566,0.6551724138,0.7931034483,0.0302401053,0.1823981322
46,Happy,K23533,0.02813420557,0.0007915335229,1.12422813,0.8194444444,1.263888889,-0.01348287314,0.814523092
47,Happy,K23536,0.4463935077,0.1992671638,1.658312395,1.416666667,2.75,0.1854614252,0.0003502241768
48,Happy,K23537,0.5240654737,0.2746446207,1.005420094,0.7717391304,1.010869565,0.2665851165,8.27E-08
49,Happy,K23540,0.5338087828,0.2849518166,1.252448582,0.862745098,1.568627451,0.2703589965,5.48E-05
50,Happy,K23541,0.450224295,0.2027019158,1.208304597,0.98,1.46,0.186091539,0.00103563466
51,Happy,K23548,0.4786894745,0.229143613,1.2344268,0.9841269841,1.523809524,0.216506623,7.23E-05
52,Happy,K23551,0.1628774008,0.02652904768,1.852925615,1.366666667,3.433333333,0.009745065746,0.2137109403
53,Happy,K23552,0.1063295528,0.0113059738,1.197824114,0.9130434783,1.434782609,-0.01116434498,0.4818606831
54,Happy,K23555,0.1407493433,0.01981037764,2.070196678,1.904761905,4.285714286,0.00374169531,0.271210028
55,Happy,K23556,-0.0534308803,0.00285485897,0.9863939238,0.7567567568,0.972972973,-0.0256350022,0.753462768
56,Happy,K23557,0.4452162606,0.1982175187,1.194349441,0.9264705882,1.426470588,0.1860692993,0.0001422148548
57,Happy,K23559,0.5306367315,0.2815753409,0.9422075684,0.6632653061,0.887755102,0.2740917507,1.91E-08
58,Happy,K23563,0.2025362723,0.0410209416,1.105541597,0.7333333333,1.222222222,0.01871910303,0.1821059876
59,Happy,K23565,0.4368590586,0.1908458371,1.549193338,1.353846154,2.4,0.1780021202,0.0002743810308
60,Happy,KTFG534,0.6444893809,0.4153665621,0.9054390205,0.6396396396,0.8198198198,0.4100029525,2.31E-14
61,Happy,KTGF118,0.1190487719,0.01417261009,0.8219949365,0.5675675676,0.6756756757,0.0004805630076,0.3123709249
62,Happy,KTGF119,0.1791584133,0.03209773705,0.8257228238,0.5909090909,0.6818181818,0.0169742642,0.1500499472
