"","Participant","Time","NA_Ratings","Nervous","Predicted_Estimates"
"1","K23101",1,0,0,0.639537121419942
"2","K23101",2,0,0,0.841546925030331
"3","K23101",3,0,0,0.734247873123903
"4","K23101",4,0,0,0.537299658008288
"5","K23101",5,0,0,0.646144159315257
"6","K23101",6,0,0,0.766298295361347
"7","K23101",7,0,0,0.540904044856945
"8","K23101",8,1,1,0.829230530081004
"9","K23101",9,0,0,0.328591551641482
"10","K23101",10,0,0,0.831539255575151
"11","K23101",11,0,0,0.56991873423864
"12","K23101",12,0,0,0.471303279587233
"13","K23101",13,0,0,0.463108626223572
"14","K23101",14,0,0,0.678124452622502
"15","K23101",15,0,0,0.217013624644321
"16","K23101",16,0,0,0.563829080691521
"17","K23101",17,0,0,0.329832416480765
"18","K23101",18,0,0,0.384452805022986
"19","K23101",19,0,0,0.483044471134745
"20","K23101",20,0,0,0.648237630231855
"21","K23101",21,0,0,0.367492525079451
"22","K23101",22,0,0,0.666066828967022
"23","K23101",23,0,0,0.646127831411905
"24","K23101",24,0,0,0.211328360226571
"25","K23101",25,0,0,0.45325825797405
"26","K23101",26,0,0,0.659273820881235
"27","K23101",27,1,1,0.823259782462166
"28","K23101",28,1,1,0.818193142332431
"29","K23101",29,0,0,0.96483925119216
"30","K23101",30,0,0,0.571797048616053
"31","K23101",31,0,0,0.647256390859567
"32","K23101",32,0,0,0.261831289095814
"33","K23101",33,1,1,0.581152041150826
"34","K23101",34,0,0,0.811214378996406
"35","K23101",35,0,0,0.751590537858415
"36","K23101",36,1,1,0.696073199162262
"37","K23101",37,0,0,0.595122442794045
"38","K23101",38,1,1,0.650184590886168
"39","K23101",39,0,0,0.564654274439277
"40","K23101",40,0,0,0.515468726287971
"41","K23101",41,0,0,0.435533628795464
"42","K23101",42,0,0,0.338572352611446
"43","K23101",43,0,0,0.339278952461217
"44","K23101",44,0,0,0.909199655691011
"45","K23101",45,0,0,0.590640854257304
"46","K23101",46,0,0,1.05621880858326
"47","K23101",47,1,1,1.18836735050153
"48","K23101",48,0,0,0.96080627935816
"49","K23101",49,0,0,0.572733750974651
"50","K23101",50,0,0,0.664487832008157
"51","K23101",51,0,0,1.06997557088037
"52","K23101",52,0,0,0.3599389382488
"53","K23101",53,0,0,0.680501137829755
"54","K23101",54,0,0,0.821481656323419
"55","K23101",55,0,0,0.796647629122291
"56","K23101",56,0,0,1.15220852168765
"57","K23101",57,0,0,0.782796340010296
"58","K23101",58,1,1,0.872835846203512
"59","K23101",59,0,0,0.55075877266652
"60","K23101",60,0,0,0.524577968363598
"61","K23101",61,0,0,0.263299711278962
"62","K23101",62,0,0,0.642125807403093
"63","K23101",63,0,0,0.527832522116422
"64","K23101",64,0,0,0.656657028791492
"65","K23101",65,0,0,0.406165918570505
"66","K23101",66,0,0,0.308559643946336
"67","K23101",67,0,0,0.560679763848756
"68","K23101",68,0,0,0.253486016481643
"69","K23101",69,1,1,0.698086263838902
"70","K23101",70,1,1,0.651232745625835
"71","K23101",71,0,0,0.265252064719081
"72","K23101",72,0,0,0.535120579231007
"73","K23101",73,0,0,0.665317673836692
"74","K23101",74,0,0,0.636572552919455
"75","K23101",75,0,0,0.359833517484702
"76","K23101",76,0,0,0.534622438960298
"77","K23101",77,0,0,0.478462112157692
"78","K23101",78,1,1,0.430113136551396
"79","K23104",1,1,1,0.975805693889582
"80","K23104",2,0,0,0.541006401481506
"81","K23104",3,0,0,1.02269394529118
"82","K23104",4,0,0,0.606957971548876
"83","K23104",5,0,0,0.548191931996468
"84","K23104",6,0,0,0.348029780814776
"85","K23104",7,0,0,0.2200428532131
"86","K23104",8,0,0,0.260820839194984
"87","K23104",9,0,0,0.170823933265566
"88","K23104",10,0,0,0.365130400897685
"89","K23104",11,0,0,0.317764485907466
"90","K23104",12,0,0,0.345848943346398
"91","K23104",13,0,0,0.476863794804483
"92","K23104",14,0,0,0.654021011537546
"93","K23104",15,0,0,0.367271361917635
"94","K23104",16,0,0,0.404199249209397
"95","K23104",17,0,0,0.321608850986091
"96","K23104",18,1,1,0.60873149581256
"97","K23104",19,0,0,0.862166199938372
"98","K23104",20,0,0,-0.0267417336470753
"99","K23104",21,1,1,0.0354791931007593
