"","NA_Ratings","Predicted_Estimates","Participant","Time"
"K23101.1",0,0.139281022399371,"K23101",1
"K23101.2",0,0.125146468313297,"K23101",2
"K23101.3",0,0.313351072105093,"K23101",3
"K23101.4",0,0.0433706510875757,"K23101",4
"K23101.5",0,0.104101467019902,"K23101",5
"K23101.6",0,0.0402996231573345,"K23101",6
"K23101.7",0,-0.069492720399609,"K23101",7
"K23101.8",0,0.0255776829048279,"K23101",8
"K23101.9",0,0.114285714285714,"K23101",9
"K23101.10",0,0.114285714285714,"K23101",10
"K23101.11",0,0.114285714285714,"K23101",11
"K23101.12",1,0.114285714285714,"K23101",12
"K23101.13",1,0.114285714285714,"K23101",13
"K23101.14",0,0.114285714285714,"K23101",14
"K23101.15",0,0.114285714285714,"K23101",15
"K23101.16",0,0.114285714285714,"K23101",16
"K23101.17",0,0.120242852683438,"K23101",17
"K23101.18",0,0.061779377134958,"K23101",18
"K23101.19",1,0.061779377134958,"K23101",19
"K23101.20",1,0.061779377134958,"K23101",20
"K23101.21",0,0.061779377134958,"K23101",21
"K23101.22",0,0.061779377134958,"K23101",22
"K23101.23",0,0.061779377134958,"K23101",23
"K23101.24",0,0.061779377134958,"K23101",24
"K23101.25",0,0.0279219058572663,"K23101",25
"K23101.26",0,-0.0363143050910343,"K23101",26
"K23101.27",0,0.157442359992222,"K23101",27
"K23101.28",0,0.223437142058592,"K23101",28
"K23101.29",1,0.128944009251139,"K23101",29
"K23101.30",0,0.240071667397126,"K23101",30
"K23101.31",0,0.0773876552789501,"K23101",31
"K23101.32",0,0.0662326932283873,"K23101",32
"K23101.33",0,0.217810185062435,"K23101",33
"K23101.34",0,0.307300272780584,"K23101",34
"K23101.35",0,0.0929803831871094,"K23101",35
"K23101.36",0,0.129492195105504,"K23101",36
"K23101.37",0,0.0816072434839093,"K23101",37
"K23101.38",0,0.186884083987436,"K23101",38
"K23101.39",1,0.0967390008338453,"K23101",39
"K23101.40",0,0.138885095180963,"K23101",40
"K23101.41",0,0.128571428571429,"K23101",41
"K23101.42",0,0.128571428571429,"K23101",42
"K23101.43",0,0.128571428571429,"K23101",43
"K23101.44",0,0.128571428571429,"K23101",44
"K23101.45",1,0.128571428571429,"K23101",45
"K23101.46",0,0.128571428571429,"K23101",46
"K23101.47",0,0.128571428571429,"K23101",47
"K23101.48",0,0.128571428571429,"K23101",48
"K23101.49",0,0.128571428571429,"K23101",49
"K23101.50",0,0.128571428571429,"K23101",50
"K23101.51",0,0.128571428571429,"K23101",51
"K23101.52",0,0.128571428571429,"K23101",52
"K23101.53",0,0.128571428571429,"K23101",53
"K23101.54",1,0.128571428571429,"K23101",54
"K23101.55",0,0.128571428571429,"K23101",55
"K23101.56",0,0.128571428571429,"K23101",56
"K23101.57",0,0.243914725414812,"K23101",57
"K23101.58",0,0.106010198188224,"K23101",58
"K23101.59",0,-0.0518714566067185,"K23101",59
"K23101.60",0,0.253191157655797,"K23101",60
"K23101.61",0,0.00251503330860967,"K23101",61
"K23101.62",0,0.276224184345137,"K23101",62
"K23101.63",0,0.176066095155229,"K23101",63
"K23101.64",1,0.114285714285714,"K23101",64
"K23101.65",0,0.114285714285714,"K23101",65
"K23101.66",0,0.114285714285714,"K23101",66
"K23101.67",0,0.114285714285714,"K23101",67
"K23101.68",1,0.114285714285714,"K23101",68
"K23101.69",0,0.114285714285714,"K23101",69
"K23101.70",0,0.114285714285714,"K23101",70
"K23101.71",0,0.114285714285714,"K23101",71
"K23101.72",0,-0.0113105195202379,"K23101",72
"K23101.73",0,0.00471131739225864,"K23101",73
"K23101.74",0,0.0678256822822729,"K23101",74
"K23101.75",0,0.228278454504359,"K23101",75
"K23101.76",0,0.253661692736181,"K23101",76
"K23101.77",0,0.36658859849327,"K23101",77
"K23101.78",0,0.112647537627555,"K23101",78
"K23106.1",0,0.690516728556372,"K23106",1
"K23106.2",0,0.274427333475389,"K23106",2
"K23106.3",0,0.203012533089218,"K23106",3
"K23106.4",0,0.302983404524306,"K23106",4
"K23106.5",0,0.408760796181671,"K23106",5
"K23106.6",0,0.340425531914894,"K23106",6
"K23106.7",0,0.340425531914894,"K23106",7
"K23106.8",0,0.340425531914894,"K23106",8
"K23106.9",0,0.340425531914894,"K23106",9
"K23106.10",0,0.340425531914894,"K23106",10
"K23106.11",0,0.304347826086957,"K23106",11
"K23106.12",0,0.304347826086957,"K23106",12
"K23106.13",2,0.304347826086957,"K23106",13
"K23106.14",0,0.304347826086957,"K23106",14
"K23106.15",0,0.304347826086957,"K23106",15
"K23106.16",0,0.304347826086957,"K23106",16
"K23106.17",0,0.326086956521739,"K23106",17
"K23106.18",0,0.326086956521739,"K23106",18
"K23106.19",0,0.326086956521739,"K23106",19
"K23106.20",0,0.326086956521739,"K23106",20
"K23106.21",0,0.326086956521739,"K23106",21
"K23106.22",1,0.326086956521739,"K23106",22
"K23106.23",1,0.699879468726701,"K23106",23
"K23106.24",0,0.216725144283557,"K23106",24
"K23106.25",0,0.201264708131126,"K23106",25
"K23106.26",2,0.190663930538802,"K23106",26
"K23106.27",0,0.317668279153219,"K23106",27
"K23106.28",0,0.760242220362061,"K23106",28
"K23106.29",0,0.38795194947495,"K23106",29
"K23106.30",0,0.38795194947495,"K23106",30
"K23106.31",0,0.201806814031395,"K23106",31
"K23106.32",0,0.38795194947495,"K23106",32
"K23106.33",0,0.246849287441282,"K23106",33
"K23106.34",0,0.450842754439771,"K23106",34
"K23106.35",0,0.298705705408239,"K23106",35
"K23106.36",0,0.374774229924005,"K23106",36
"K23106.37",0,0.191570267941379,"K23106",37
"K23106.38",1,0.191489361702128,"K23106",38
"K23106.39",2,0.191489361702128,"K23106",39
"K23106.40",3,0.191489361702128,"K23106",40
"K23106.41",1,0.191489361702128,"K23106",41
"K23106.42",0,0.191489361702128,"K23106",42
"K23106.43",0,0.152279684136898,"K23106",43
"K23106.44",1,0.148928845034451,"K23106",44
"K23106.45",0,0.347600868221394,"K23106",45
"K23106.46",0,0.174524629437373,"K23106",46
"K23106.47",0,0.359320170221789,"K23106",47
"K23106.48",0,0.297872340425532,"K23106",48
"K23106.49",0,0.297872340425532,"K23106",49
"K23106.50",0,0.297872340425532,"K23106",50
"K23106.51",2,0.297872340425532,"K23106",51
"K23106.52",0,0.297872340425532,"K23106",52
"K23107.1",0,0.0384615384615385,"K23107",1
"K23107.2",0,0.0384615384615385,"K23107",2
"K23107.3",0,0.0384615384615385,"K23107",3
"K23107.4",0,0.0384615384615385,"K23107",4
"K23107.5",0,0.0384615384615385,"K23107",5
"K23107.6",0,0.0384615384615385,"K23107",6
"K23107.7",0,0.0384615384615385,"K23107",7
"K23107.8",0,0.0384615384615385,"K23107",8
"K23107.9",0,0.0384615384615385,"K23107",9
"K23107.10",0,0.0384615384615385,"K23107",10
"K23107.11",0,0.0384615384615385,"K23107",11
"K23107.12",0,0.0384615384615385,"K23107",12
"K23107.13",0,0.0192307692307692,"K23107",13
"K23107.14",1,0.0192307692307692,"K23107",14
"K23107.15",0,0.0192307692307692,"K23107",15
"K23107.16",0,0.0192307692307692,"K23107",16
"K23107.17",0,0.0192307692307692,"K23107",17
"K23107.18",0,0.0192307692307692,"K23107",18
"K23107.19",0,0.0192307692307692,"K23107",19
"K23107.20",0,0.0192307692307692,"K23107",20
"K23107.21",1,0.0192307692307692,"K23107",21
"K23107.22",0,0.0192307692307692,"K23107",22
"K23107.23",0,0.0192307692307692,"K23107",23
"K23107.24",0,0.0192307692307692,"K23107",24
"K23107.25",0,0.0384615384615385,"K23107",25
"K23107.26",0,0.0384615384615385,"K23107",26
"K23107.27",0,0.0384615384615385,"K23107",27
"K23107.28",0,0.0384615384615385,"K23107",28
"K23107.29",0,0.0384615384615385,"K23107",29
"K23107.30",0,0.0384615384615385,"K23107",30
"K23107.31",0,0.0384615384615385,"K23107",31
"K23107.32",0,0.0384615384615385,"K23107",32
"K23107.33",0,0.0384615384615385,"K23107",33
"K23107.34",0,0.0384615384615385,"K23107",34
"K23107.35",0,0.0384615384615385,"K23107",35
