"","NA_Ratings","Predicted_Estimates","Participant","Time"
"K23101.1",0,0.2426,"K23101",1
"K23101.2",0,0.209466666666667,"K23101",2
"K23101.3",0,0.321,"K23101",3
"K23101.4",0,0.1504,"K23101",4
"K23101.5",0,0.3334,"K23101",5
"K23101.6",0,0.180133333333333,"K23101",6
"K23101.7",0,0.2277,"K23101",7
"K23101.8",1,0.156966666666667,"K23101",8
"K23101.9",0,0.263066666666667,"K23101",9
"K23101.10",0,0.303141025641026,"K23101",10
"K23101.11",0,0.298261904761905,"K23101",11
"K23101.12",0,0.340466666666667,"K23101",12
"K23101.13",0,0.194038095238095,"K23101",13
"K23101.14",1,0.285757142857143,"K23101",14
"K23101.15",0,0.139831501831502,"K23101",15
"K23101.16",1,0.251833333333333,"K23101",16
"K23101.17",0,0.225555555555556,"K23101",17
"K23101.18",0,0.292388888888889,"K23101",18
"K23101.19",1,0.275816666666667,"K23101",19
"K23101.20",1,0.279083333333333,"K23101",20
"K23101.21",0,0.211016666666667,"K23101",21
"K23101.22",0,0.155333333333333,"K23101",22
"K23101.23",0,0.188433333333333,"K23101",23
"K23101.24",0,0.111755555555556,"K23101",24
"K23101.25",0,0.142133333333333,"K23101",25
"K23101.26",0,0.174661538461538,"K23101",26
"K23101.27",0,0.0907333333333333,"K23101",27
"K23101.28",0,0.28435,"K23101",28
"K23101.29",1,0.2787,"K23101",29
"K23101.30",0,0.246069047619048,"K23101",30
"K23101.31",0,0.258866666666667,"K23101",31
"K23101.32",0,0.1473,"K23101",32
"K23101.33",0,0.367401587301587,"K23101",33
"K23101.34",0,0.485233333333333,"K23101",34
"K23101.35",0,0.213590476190476,"K23101",35
"K23101.36",0,0.179977777777778,"K23101",36
"K23101.37",0,0.1141,"K23101",37
"K23101.38",0,0.250066666666667,"K23101",38
"K23101.39",0,0.2309,"K23101",39
"K23101.40",0,0.2892,"K23101",40
"K23101.41",0,0.307633333333333,"K23101",41
"K23101.42",0,0.3431,"K23101",42
"K23101.43",0,0.126966666666667,"K23101",43
"K23101.44",0,0.249733333333333,"K23101",44
"K23101.45",1,0.3329,"K23101",45
"K23101.46",0,0.138333333333333,"K23101",46
"K23101.47",0,0.1982,"K23101",47
"K23101.48",2,0.1479,"K23101",48
"K23101.49",0,0.143766666666667,"K23101",49
"K23101.50",0,0.154411111111111,"K23101",50
"K23101.51",0,0.0911333333333333,"K23101",51
"K23101.52",0,0.168866666666667,"K23101",52
"K23101.53",1,0.186566666666667,"K23101",53
"K23101.54",0,0.50747619047619,"K23101",54
"K23101.55",0,0.270033333333333,"K23101",55
"K23101.56",0,0.436642857142857,"K23101",56
"K23101.57",1,0.2644,"K23101",57
"K23101.58",0,0.196966666666667,"K23101",58
"K23101.59",0,0.160966666666667,"K23101",59
"K23101.60",0,0.332333333333333,"K23101",60
"K23101.61",0,0.2075,"K23101",61
"K23101.62",0,0.238333333333333,"K23101",62
"K23101.63",0,0.273052380952381,"K23101",63
"K23101.64",1,0.307733333333333,"K23101",64
"K23101.65",0,0.151133333333333,"K23101",65
"K23101.66",0,0.3294,"K23101",66
"K23101.67",2,0.188733333333333,"K23101",67
"K23101.68",1,0.147666666666667,"K23101",68
"K23101.69",0,0.2781,"K23101",69
"K23101.70",0,0.244033333333333,"K23101",70
"K23101.71",0,0.2535,"K23101",71
"K23101.72",0,0.104,"K23101",72
"K23101.73",0,0.188766666666667,"K23101",73
"K23101.74",1,0.177366666666667,"K23101",74
"K23101.75",0,0.304333333333333,"K23101",75
"K23101.76",0,0.205919047619048,"K23101",76
"K23101.77",1,0.413233333333333,"K23101",77
"K23101.78",0,0.352452380952381,"K23101",78
"K23106.1",0,0.0312,"K23106",1
"K23106.2",0,0.3908,"K23106",2
"K23106.3",0,0.119333333333333,"K23106",3
"K23106.4",0,0.002,"K23106",4
"K23106.5",0,0.1636,"K23106",5
"K23106.6",0,0.00466666666666667,"K23106",6
"K23106.7",0,0.156666666666667,"K23106",7
"K23106.8",0,0.01,"K23106",8
"K23106.9",0,0.009,"K23106",9
"K23106.10",0,0.0376,"K23106",10
"K23106.11",0,0.5,"K23106",11
"K23106.12",0,0.265533333333333,"K23106",12
"K23106.13",0,0.137466666666667,"K23106",13
"K23106.14",0,0.052,"K23106",14
"K23106.15",1,0.118,"K23106",15
"K23106.16",0,0.1728,"K23106",16
"K23106.17",0,0.1565,"K23106",17
"K23106.18",0,0.0469,"K23106",18
"K23106.19",0,0.02,"K23106",19
"K23106.20",0,0.018,"K23106",20
"K23106.21",0,0.104966666666667,"K23106",21
"K23106.22",0,0.032,"K23106",22
"K23106.23",3,0.44,"K23106",23
"K23106.24",0,0.02,"K23106",24
"K23106.25",0,0.484,"K23106",25
"K23106.26",2,0.006,"K23106",26
"K23106.27",0,0.02,"K23106",27
"K23106.28",0,0.5481,"K23106",28
"K23106.29",0,0.0234,"K23106",29
"K23106.30",0,0.0105333333333333,"K23106",30
"K23106.31",0,0.0181666666666667,"K23106",31
"K23106.32",0,0.064,"K23106",32
"K23106.33",0,0.393666666666667,"K23106",33
"K23106.34",0,0.226533333333333,"K23106",34
"K23106.35",0,0.0533333333333333,"K23106",35
"K23106.36",0,0.0177333333333333,"K23106",36
"K23106.37",0,0.0201,"K23106",37
"K23106.38",0,0.086,"K23106",38
"K23106.39",4,0.1186,"K23106",39
"K23106.40",0,0.319166666666667,"K23106",40
"K23106.41",0,0.107671428571429,"K23106",41
"K23106.42",0,0.1147,"K23106",42
"K23106.43",0,1.12687636999453e-17,"K23106",43
"K23106.44",0,0.2,"K23106",44
"K23106.45",0,0.0095,"K23106",45
"K23106.46",0,0.364,"K23106",46
"K23106.47",0,0.168,"K23106",47
"K23106.48",0,0.254,"K23106",48
"K23106.49",0,0.2136,"K23106",49
"K23106.50",0,0.084,"K23106",50
"K23106.51",0,0.524366666666667,"K23106",51
"K23106.52",0,0.545966666666667,"K23106",52
"K23107.1",0,0.3914,"K23107",1
"K23107.2",0,0.304233333333334,"K23107",2
"K23107.3",0,0.256466666666667,"K23107",3
"K23107.4",0,0.268442857142857,"K23107",4
"K23107.5",0,0.1591,"K23107",5
"K23107.6",0,0.17327619047619,"K23107",6
"K23107.7",0,0.0180333333333333,"K23107",7
"K23107.8",0,-6.18949336228525e-18,"K23107",8
"K23107.9",2,0.1984,"K23107",9
"K23107.10",2,0.2376,"K23107",10
"K23107.11",0,0.1874,"K23107",11
"K23107.12",1,0.2332,"K23107",12
"K23107.13",0,0.246,"K23107",13
"K23107.14",0,0.410433333333333,"K23107",14
"K23107.15",0,0.0171666666666667,"K23107",15
"K23107.16",0,0.194166666666667,"K23107",16
"K23107.17",0,0.2714,"K23107",17
"K23107.18",0,0.0583666666666667,"K23107",18
"K23107.19",0,0.1136,"K23107",19
"K23107.20",0,0.213966666666667,"K23107",20
"K23107.21",0,0.2173,"K23107",21
"K23107.22",0,0.0790880952380952,"K23107",22
"K23107.23",0,0.163738095238095,"K23107",23
