"","NA_Ratings","Predicted_Estimates","Participant","Time"
"K23101.1",0,0.312022222222222,"K23101",1
"K23101.2",0,0.12964188034188,"K23101",2
"K23101.3",0,0.238264102564103,"K23101",3
"K23101.4",0,0.273639682539683,"K23101",4
"K23101.5",0.333333333333333,0.295408547008547,"K23101",5
"K23101.6",0.333333333333333,0.268152991452992,"K23101",6
"K23101.7",0.666666666666667,0.273077777777778,"K23101",7
"K23101.8",0,0.151777777777778,"K23101",8
"K23101.9",0,0.196188888888889,"K23101",9
"K23101.10",0.333333333333333,0.22148253968254,"K23101",10
"K23101.11",0,0.256577777777778,"K23101",11
"K23101.12",0.666666666666667,0.174066666666667,"K23101",12
"K23101.13",0.333333333333333,0.203405555555556,"K23101",13
"K23101.14",0,0.132168253968254,"K23101",14
"K23101.15",0,0.0767222222222222,"K23101",15
"K23101.16",0,0.0755555555555555,"K23101",16
"K23101.17",0,0.0951444444444444,"K23101",17
"K23101.18",0,0.102466666666667,"K23101",18
"K23101.19",1,0.211336842105263,"K23101",19
"K23101.20",0,0.187711111111111,"K23101",20
"K23101.21",0,0.171755555555555,"K23101",21
"K23101.22",0,0.172387635756057,"K23101",22
"K23101.23",0,0.140122222222222,"K23101",23
"K23101.24",0,0.087911111111111,"K23101",24
"K23101.25",0.666666666666667,0.224788888888889,"K23101",25
"K23101.26",0,0.161722222222222,"K23101",26
"K23101.27",0,0.116811111111111,"K23101",27
"K23101.28",0,0.122211111111111,"K23101",28
"K23101.29",0.333333333333333,0.235277777777778,"K23101",29
"K23101.30",0,0.1547,"K23101",30
"K23101.31",0,0.155544444444445,"K23101",31
"K23101.32",0.333333333333333,0.104155555555556,"K23101",32
"K23101.33",0,0.0618666666666666,"K23101",33
"K23101.34",0,0.169287301587302,"K23101",34
"K23101.35",0,0.128244444444444,"K23101",35
"K23101.36",0,0.131677777777778,"K23101",36
"K23101.37",0.333333333333333,0.2667,"K23101",37
"K23101.38",0.666666666666667,0.2016,"K23101",38
"K23101.39",0.333333333333333,0.228633333333333,"K23101",39
"K23101.40",0,0.105277777777778,"K23101",40
