"","NA_Ratings","Predicted_Estimates","Participant","Time"
"K23101.1",0,0.0581333333333333,"K23101",1
"K23101.2",0,0.1459,"K23101",2
"K23101.3",0,0.122233333333333,"K23101",3
"K23101.4",0,0.0458333333333333,"K23101",4
"K23101.5",1,0.187433333333333,"K23101",5
"K23101.6",0,0.152466666666667,"K23101",6
"K23101.7",0,0.131933333333333,"K23101",7
"K23101.8",0,0.0773666666666667,"K23101",8
"K23101.9",0,0.1447,"K23101",9
"K23101.10",0,0.135566666666667,"K23101",10
"K23101.11",0,0.241342857142857,"K23101",11
"K23101.12",1,0.301066666666667,"K23101",12
"K23101.13",0,0.150976190476191,"K23101",13
"K23101.14",0,0.102733333333333,"K23101",14
"K23101.15",0,0.0387666666666667,"K23101",15
"K23101.16",1,0.10737619047619,"K23101",16
"K23101.17",0,0.0618666666666667,"K23101",17
"K23101.18",0,0.0944666666666667,"K23101",18
"K23101.19",0,0.199266666666667,"K23101",19
"K23101.20",0,0.108766666666667,"K23101",20
"K23101.21",0,0.171766666666667,"K23101",21
"K23101.22",0,0.1675,"K23101",22
"K23101.23",0,0.159966666666667,"K23101",23
"K23101.24",0,0.136766666666667,"K23101",24
"K23101.25",0,0.0706666666666667,"K23101",25
"K23101.26",0,0.154678787878788,"K23101",26
"K23101.27",0,0.0559,"K23101",27
"K23101.28",0,0.1887,"K23101",28
"K23101.29",0,0.190933333333333,"K23101",29
"K23101.30",0,0.1433,"K23101",30
"K23101.31",0,0.297166666666667,"K23101",31
"K23101.32",1,0.116533333333333,"K23101",32
"K23101.33",0,0.197633333333333,"K23101",33
"K23101.34",0,0.14712380952381,"K23101",34
"K23101.35",0,0.185366666666667,"K23101",35
"K23101.36",0,0.401396536796537,"K23101",36
"K23101.37",0,0.1188,"K23101",37
"K23101.38",0,0.0990333333333333,"K23101",38
"K23101.39",0,0.141633333333333,"K23101",39
"K23101.40",0,0.204333333333333,"K23101",40
"K23101.41",0,0.328266666666667,"K23101",41
"K23101.42",1,0.323152380952381,"K23101",42
"K23101.43",0,0.143519047619048,"K23101",43
"K23101.44",0,0.132466666666667,"K23101",44
"K23101.45",0,0.359633333333333,"K23101",45
"K23101.46",0,0.109833333333333,"K23101",46
"K23101.47",0,0.0979666666666667,"K23101",47
"K23101.48",1,0.152433333333333,"K23101",48
"K23101.49",0,0.116666666666667,"K23101",49
"K23101.50",0,0.0592666666666667,"K23101",50
"K23101.51",0,0.145466666666667,"K23101",51
"K23101.52",0,0.0739666666666667,"K23101",52
"K23101.53",0,0.227366666666667,"K23101",53
"K23101.54",0,0.245366666666667,"K23101",54
"K23101.55",0,0.1004,"K23101",55
"K23101.56",0,0.147947619047619,"K23101",56
"K23101.57",0,0.187666666666667,"K23101",57
"K23101.58",0,0.0773666666666667,"K23101",58
"K23101.59",0,0.1501,"K23101",59
"K23101.60",0,0.217266666666667,"K23101",60
"K23101.61",0,0.09,"K23101",61
"K23101.62",1,0.168433333333333,"K23101",62
"K23101.63",0,0.1483,"K23101",63
"K23101.64",0,0.145666666666667,"K23101",64
"K23101.65",1,0.1036,"K23101",65
"K23101.66",0,0.0249666666666667,"K23101",66
"K23101.67",1,0.0374666666666667,"K23101",67
"K23101.68",0,0.474966666666667,"K23101",68
"K23101.69",1,0.0264666666666667,"K23101",69
"K23101.70",0,0.043,"K23101",70
"K23101.71",0,0.106633333333333,"K23101",71
"K23101.72",0,0.0640333333333333,"K23101",72
"K23101.73",0,0.132433333333333,"K23101",73
"K23101.74",0,0.106466666666667,"K23101",74
"K23101.75",1,0.224633333333333,"K23101",75
"K23101.76",0,0.159466666666667,"K23101",76
"K23101.77",0,0.295,"K23101",77
"K23101.78",0,0.0678333333333333,"K23101",78
"K23104.1",0,0.0644,"K23104",1
"K23104.2",0,0.006,"K23104",2
"K23104.3",0,-2.3037127760972e-18,"K23104",3
"K23104.4",0,-2.35922392732846e-18,"K23104",4
"K23104.5",0,0.002,"K23104",5
"K23104.6",0,0.000399999999999998,"K23104",6
"K23104.7",0,0.0144,"K23104",7
"K23104.8",0,0.0024,"K23104",8
"K23104.9",0,0.0244,"K23104",9
"K23104.10",0,0.002,"K23104",10
"K23104.11",0,0.0079,"K23104",11
"K23104.12",0,-2.95596880306448e-18,"K23104",12
"K23104.13",0,-3.63598040564739e-18,"K23104",13
"K23104.14",0,0.002,"K23104",14
"K23104.15",0,0.002,"K23104",15
"K23104.16",0,0.000399999999999997,"K23104",16
"K23104.17",0,0.0024,"K23104",17
"K23104.18",0,0.0044,"K23104",18
