"","Participant","Time","NA_Ratings","Nervous","Predicted_Estimates"
"1","K23101",1,0,0,0.479866666666667
"2","K23101",2,0,0,0.943033333333333
"3","K23101",3,0,0,0.6754
"4","K23101",4,0,0,0.2354
"5","K23101",5,0,0,0.533633333333333
"6","K23101",6,0,0,0.425966666666667
"7","K23101",7,0,0,0.264666666666667
"8","K23101",8,1,1,0.621333333333333
"9","K23101",9,0,0,0.1938
"10","K23101",10,0,0,0.495666666666667
"11","K23101",11,0,0,0.1719
"12","K23101",12,0,0,0.244466666666667
"13","K23101",13,0,0,0.0681333333333333
"14","K23101",14,0,0,0.970266666666666
"15","K23101",15,0,0,0.342266666666667
"16","K23101",16,0,0,0.376466666666667
"17","K23101",17,0,0,0.1249
"18","K23101",18,0,0,0.143133333333333
"19","K23101",19,0,0,0.460333333333333
"20","K23101",20,0,0,0.891666666666667
"21","K23101",21,0,0,0.0414
"22","K23101",22,0,0,0.7683
"23","K23101",23,0,0,0.523533333333333
"24","K23101",24,0,0,0.2048
"25","K23101",25,0,0,0.2879
"26","K23101",26,0,0,0.479733333333333
"27","K23101",27,1,1,0.893133333333333
"28","K23101",28,1,1,0.7783
"29","K23101",29,0,0,0.6284
"30","K23101",30,0,0,0.588333333333333
"31","K23101",31,0,0,0.265233333333333
"32","K23101",32,0,0,0.0498
"33","K23101",33,1,1,0.198
"34","K23101",34,0,0,0.806666666666667
"35","K23101",35,0,0,0.624
"36","K23101",36,1,1,0.1503
"37","K23101",37,0,0,0.635966666666667
"38","K23101",38,1,1,0.655833333333333
"39","K23101",39,0,0,0.5918
"40","K23101",40,0,0,0.271233333333333
"41","K23101",41,0,0,0.295166666666667
"42","K23101",42,0,0,0.1221
"43","K23101",43,0,0,0.252166666666667
"44","K23101",44,0,0,0.7419
"45","K23101",45,0,0,0.2628
"46","K23101",46,0,0,1.0214
"47","K23101",47,1,1,1.07213333333333
"48","K23101",48,0,0,0.873833333333333
"49","K23101",49,0,0,0.1901
"50","K23101",50,0,0,0.890566666666667
"51","K23101",51,0,0,0.7515
"52","K23101",52,0,0,0.0961
"53","K23101",53,0,0,0.493266666666667
"54","K23101",54,0,0,0.334033333333333
"55","K23101",55,0,0,0.353166666666667
"56","K23101",56,0,0,0.919533333333333
"57","K23101",57,0,0,0.242366666666667
"58","K23101",58,1,1,0.179833333333333
"59","K23101",59,0,0,0.0321666666666666
"60","K23101",60,0,0,0.3485
"61","K23101",61,0,0,0.339666666666667
"62","K23101",62,0,0,0.225633333333333
"63","K23101",63,0,0,0.137166666666667
"64","K23101",64,0,0,0.1354
"65","K23101",65,0,0,0.104166666666667
"66","K23101",66,0,0,0.0164999999999999
"67","K23101",67,0,0,0.131433333333333
"68","K23101",68,0,0,0.276666666666667
"69","K23101",69,1,1,0.329666666666667
"70","K23101",70,1,1,0.356633333333333
"71","K23101",71,0,0,0.1772
"72","K23101",72,0,0,0.296533333333333
"73","K23101",73,0,0,0.219166666666667
"74","K23101",74,0,0,0.234433333333333
"75","K23101",75,0,0,0.0617333333333333
"76","K23101",76,0,0,0.3085
"77","K23101",77,0,0,0.422333333333333
"78","K23101",78,1,1,0.221566666666667
"79","K23104",1,1,1,0.974266666666667
"80","K23104",2,0,0,0.155433333333333
"81","K23104",3,0,0,0.566266666666667
"82","K23104",4,0,0,0.155433333333333
"83","K23104",5,0,0,0.0202666666666666
"84","K23104",6,0,0,0.0274999999999997
"85","K23104",7,0,0,0.441333333333333
"86","K23104",8,0,0,0.103933333333333
"87","K23104",9,0,0,0.00933333333333332
"88","K23104",10,0,0,0.0626
"89","K23104",11,0,0,0.00649999999999999
"90","K23104",12,0,0,0.207466666666667
"91","K23104",13,0,0,0.589233333333333
"92","K23104",14,0,0,0.0873666666666666
"93","K23104",15,0,0,0.0283333333333333
"94","K23104",16,0,0,0.00799999999999993
"95","K23104",17,0,0,0.0302333333333333
"96","K23104",18,1,1,0.122966666666667
"97","K23104",19,0,0,0.698433333333333
"98","K23104",20,0,0,0.118
"99","K23104",21,1,1,0.103066666666667
"100","K23104",22,0,0,0.3168
"101","K23104",23,1,1,0.0638999999999999
"102","K23104",24,0,0,0.0887666666666666
"103","K23104",25,0,0,0.5628
"104","K23104",26,0,0,0.177333333333333
"105","K23104",27,0,0,0.0762
"106","K23104",28,0,0,0.00839999999999994
"107","K23104",29,0,0,0.165033333333333
"108","K23104",30,0,0,0.0492333333333332
"109","K23104",31,0,0,0.0723
"110","K23104",32,0,0,0.0689666666666666
"111","K23104",33,0,0,0.0922999999999999
"112","K23104",34,0,0,0.0168999999999999
"113","K23104",35,0,0,0.640766666666666
"114","K23104",36,0,0,0.0336999999999999
"115","K23104",37,0,0,0.0446999999999999
"116","K23104",38,0,0,0.0152
"117","K23104",39,0,0,0.159433333333333
"118","K23104",40,0,0,0.0109666666666666
"119","K23104",41,0,0,0.0629333333333333
"120","K23104",42,0,0,0.0506666666666666
"121","K23104",43,0,0,0.1843
"122","K23104",44,0,0,0.6198
"123","K23104",45,0,0,0.0274999999999999
"124","K23104",46,0,0,0.0417333333333333
"125","K23104",47,0,0,0.121266666666667
"126","K23104",48,0,0,0.0188333333333333
"127","K23104",49,0,0,0.0290666666666666
"128","K23104",50,0,0,0.0334333333333333
"129","K23104",51,0,0,0.113
"130","K23104",52,0,0,0.546633333333333
"131","K23104",53,0,0,0.0326666666666667
"132","K23104",54,0,0,0.105366666666667
"133","K23104",55,0,0,0.0478333333333333
"134","K23104",56,0,0,0.164266666666667
"135","K23104",57,0,0,0.00383333333333322
"136","K23104",58,0,0,0.132866666666667
"137","K23104",59,0,0,0.113166666666667
"138","K23104",60,0,0,0.00899999999999996
"139","K23104",61,0,0,0.0196666666666666
"140","K23104",62,0,0,0.146666666666667
"141","K23104",63,0,0,0.00519999999999974
