"","NA_Ratings","Predicted_Estimates","Participant","Time"
"K23101.1",0,0.1193,"K23101",1
"K23101.2",0,0.0824333333333333,"K23101",2
"K23101.3",0,0.171966666666667,"K23101",3
"K23101.4",0,0.051,"K23101",4
"K23101.5",0,0.114066666666667,"K23101",5
"K23101.6",0,0.0942000000000001,"K23101",6
"K23101.7",0,0.0916666666666667,"K23101",7
"K23101.8",0,0.0732333333333333,"K23101",8
"K23101.9",0,0.228433333333333,"K23101",9
"K23101.10",0,0.0662,"K23101",10
"K23101.11",0,0.168033333333333,"K23101",11
"K23101.12",1,0.195133333333333,"K23101",12
"K23101.13",1,0.116166666666667,"K23101",13
"K23101.14",0,0.215666666666667,"K23101",14
"K23101.15",0,0.128866666666667,"K23101",15
"K23101.16",0,0.1269,"K23101",16
"K23101.17",0,0.0856333333333333,"K23101",17
"K23101.18",0,0.199704761904762,"K23101",18
"K23101.19",1,0.194933333333333,"K23101",19
"K23101.20",1,0.109833333333333,"K23101",20
"K23101.21",0,0.118933333333333,"K23101",21
"K23101.22",0,0.0943333333333333,"K23101",22
"K23101.23",0,0.0827,"K23101",23
"K23101.24",0,0.0384666666666667,"K23101",24
"K23101.25",0,0.0678666666666667,"K23101",25
"K23101.26",0,0.0521,"K23101",26
"K23101.27",0,0.112966666666667,"K23101",27
"K23101.28",0,0.254566666666667,"K23101",28
"K23101.29",1,0.0744,"K23101",29
"K23101.30",0,0.1712,"K23101",30
"K23101.31",0,0.106666666666667,"K23101",31
"K23101.32",0,0.1178,"K23101",32
"K23101.33",0,0.1967,"K23101",33
"K23101.34",0,0.240707142857143,"K23101",34
"K23101.35",0,0.0622666666666667,"K23101",35
"K23101.36",0,0.126633333333333,"K23101",36
"K23101.37",0,0.0327,"K23101",37
"K23101.38",0,0.136633333333333,"K23101",38
"K23101.39",1,0.145833333333333,"K23101",39
"K23101.40",0,0.191366666666667,"K23101",40
"K23101.41",0,0.174019047619048,"K23101",41
"K23101.42",0,0.209533333333333,"K23101",42
"K23101.43",0,0.121085714285714,"K23101",43
