"X","Variable","Importance","Participant","NLP"
"K23101.1","Time",0.027639046,"K23101","Time"
"K23101.2","Word Count",-0.002154007,"K23101","Text leangth"
"K23101.3","Analytic",0.035864457,"K23101","LIWC"
"K23101.4","Clout",0.013415856,"K23101","LIWC"
"K23101.5","Authentic",0.030696394,"K23101","LIWC"
"K23101.6","WordPerSentence",-0.000669101,"K23101","Text leangth"
"K23101.7","BigWords",0.011327385,"K23101","LIWC"
"K23101.8","Dictionary",0.003669579,"K23101","LIWC"
"K23101.9","Linguistic",-0.005201155,"K23101","LIWC"
"K23101.10","Function",-0.011561741,"K23101","LIWC"
"K23101.11","Pronoun",0.004123811,"K23101","LIWC"
"K23101.12","Personal pronouns",0.008983118,"K23101","LIWC"
"K23101.13","i",0.008138418,"K23101","LIWC"
"K23101.14","Determiners",-0.00454964,"K23101","LIWC"
"K23101.15","Article",-0.003958392,"K23101","LIWC"
"K23101.16","Preposition  ",0.054305965,"K23101","LIWC"
"K23101.17","Auxiliary verbs",0.002603233,"K23101","LIWC"
"K23101.18","Adverbs",0.000288279,"K23101","LIWC"
"K23101.19","Negations",-0.002083759,"K23101","LIWC"
"K23101.20","Verb",0.014507738,"K23101","LIWC"
"K23101.21","Adjectives",-0.002475716,"K23101","LIWC"
"K23101.22","Quantity",0.005613116,"K23101","LIWC"
"K23101.23","Drives",-0.005677728,"K23101","LIWC"
"K23101.24","Affiliation",-0.056164046,"K23101","LIWC"
"K23101.25","Achieve",-0.001066657,"K23101","LIWC"
"K23101.26","Cognition",-0.023254417,"K23101","LIWC"
"K23101.27","Cognitive processes",0.034767036,"K23101","LIWC"
"K23101.28","Insight",-0.004325365,"K23101","LIWC"
"K23101.29","Differentiation",-0.00214624,"K23101","LIWC"
"K23101.30","Affect",0.001705814,"K23101","LIWC"
"K23101.31","Positive tone",-0.002550113,"K23101","LIWC"
"K23101.32","Negative tone",0,"K23101","LIWC"
"K23101.33","Emotion",-0.004919488,"K23101","LIWC"
"K23101.34","Social",-4.03e-07,"K23101","LIWC"
"K23101.35","Socbehav",0.002003654,"K23101","LIWC"
"K23101.36","Social referents",-0.004713804,"K23101","LIWC"
"K23101.37","Friend",0.002924463,"K23101","LIWC"
"K23101.38","Lifestyle",0.00931067,"K23101","LIWC"
"K23101.39","Leisure",-0.001724196,"K23101","LIWC"
"K23101.40","Work",-0.000168288,"K23101","LIWC"
"K23101.41","Physical",-0.001043031,"K23101","LIWC"
"K23101.42","Food",0.002051545,"K23101","LIWC"
"K23101.43","Acquire",-0.000271676,"K23101","LIWC"
"K23101.44","Allure",-0.001809219,"K23101","LIWC"
"K23101.45","Perception",-0.012657432,"K23101","LIWC"
"K23101.46","Motion",0.003006006,"K23101","LIWC"
"K23101.47","Space",-0.005040847,"K23101","LIWC"
"K23101.48","Time LIWC",0.005196514,"K23101","LIWC"
"K23101.49","FocusPast",-0.00039828,"K23101","LIWC"
"K23101.50","FocusPresent",-0.000507951,"K23101","LIWC"
"K23101.51","FocusFuture",-0.003115328,"K23101","LIWC"
"K23101.52","AllPunc",0.000486909,"K23101","LIWC"
"K23101.53","Apostrophes",-0.012176074,"K23101","LIWC"
"K23101.54","Compound",-4.28e-05,"K23101","LIWC"
"K23101.55","PA VADER",2.384196104692e-05,"K23101","Vader"
"K23101.56","Neutral VADER",3.04860305757165e-05,"K23101","LIWC"
"K23101.57","NA VADER",3.55102400023396e-05,"K23101","Vader"
"K23101.58","ThoughtLength",0.000787063,"K23101","LIWC"
"K23101.59","StressLength",0.011268785,"K23101","Text leangth"
"K23101.60","EnjoyLength",0.006935822,"K23101","Text leangth"
"K23101.61","Topic_t1",4.91241510478666e-07,"K23101","LDA"
"K23101.62","Topic_t2",1.33156173834918e-05,"K23101","LDA"
"K23101.63","Topic_t3",1.10260629969874e-06,"K23101","LDA"
"K23101.64","Topic_t4",9.62959493419375e-06,"K23101","LDA"
"K23101.65","Topic_t5",1.0907462068373e-05,"K23101","LDA"
"K23101.66","Topic_t6",-3.04e-07,"K23101","LDA"
"K23101.67","Happy GPT",0.002396924,"K23101","GPT"
"K23101.68","Sad GPT",-0.00035873,"K23101","GPT"
"K23101.69","Nervous GPT",-0.000700641,"K23101","GPT"
"K23101.70","Interested GPT",-0.000449317,"K23101","GPT"
"K23101.71","Angry GPT",0.000821243,"K23101","GPT"
"K23101.72","Excited GPT",0.002106005,"K23101","GPT"
"K23101.73","Bored GPT",5.67029886151829e-05,"K23101","GPT"
"K23101.74","NA GPT",-6.03e-07,"K23101","GPT"
"K23101.75","PA GPT",0.000575028,"K23101","GPT"
"K23106.1","Time",0.007839098,"K23106","Time"
"K23106.2","Word Count",0,"K23106","Text leangth"
"K23106.3","Analytic",8.8917315303678e-06,"K23106","LIWC"
"K23106.4","Clout",0.002516375,"K23106","LIWC"
"K23106.5","Authentic",0.015392291,"K23106","LIWC"
"K23106.6","WordPerSentence",0,"K23106","Text leangth"
"K23106.7","BigWords",-0.003259648,"K23106","LIWC"
"K23106.8","Dictionary",0,"K23106","LIWC"
"K23106.9","Linguistic",7.28948851665453e-06,"K23106","LIWC"
"K23106.10","Function",-0.002513692,"K23106","LIWC"
"K23106.11","Pronoun",0.002015516,"K23106","LIWC"
"K23106.12","Personal pronouns",0,"K23106","LIWC"
"K23106.13","i",0,"K23106","LIWC"
"K23106.14","Impersonal pronouns",0,"K23106","LIWC"
"K23106.15","Determiners",-0.000177241,"K23106","LIWC"
"K23106.16","Article",0,"K23106","LIWC"
"K23106.17","Preposition  ",-0.000682269,"K23106","LIWC"
"K23106.18","Auxiliary verbs",0,"K23106","LIWC"
"K23106.19","Adverbs",0.002160786,"K23106","LIWC"
"K23106.20","Negations",0.033095895,"K23106","LIWC"
"K23106.21","Verb",-4.41e-05,"K23106","LIWC"
"K23106.22","Adjectives",0,"K23106","LIWC"
"K23106.23","Quantity",0.000122736,"K23106","LIWC"
"K23106.24","Drives",0,"K23106","LIWC"
"K23106.25","Affiliation",0.001883009,"K23106","LIWC"
"K23106.26","Achieve",0.000211641,"K23106","LIWC"
"K23106.27","Cognition",0.005355999,"K23106","LIWC"
"K23106.28","Allnone",0,"K23106","LIWC"
"K23106.29","Cognitive processes",-0.001417894,"K23106","LIWC"
"K23106.30","Insight",0,"K23106","LIWC"
"K23106.31","Cause",-0.000100264,"K23106","LIWC"
"K23106.32","Tentative",-0.000190563,"K23106","LIWC"
"K23106.33","Differentiation",-3.9e-06,"K23106","LIWC"
"K23106.34","Affect",1.3311353997209e-05,"K23106","LIWC"
"K23106.35","Positive tone",0.000112916,"K23106","LIWC"
"K23106.36","Negative tone",0,"K23106","LIWC"
"K23106.37","Social",0,"K23106","LIWC"
"K23106.38","Socbehav",0.004322741,"K23106","LIWC"
"K23106.39","Communication",0,"K23106","LIWC"
"K23106.40","Social referents",0.017052164,"K23106","LIWC"
"K23106.41","Friend",-9.82e-06,"K23106","LIWC"
"K23106.42","Culture",-0.016581744,"K23106","LIWC"
"K23106.43","Lifestyle",0,"K23106","LIWC"
"K23106.44","Leisure",-0.002922468,"K23106","LIWC"
"K23106.45","Work",-0.001485336,"K23106","LIWC"
"K23106.46","Physical",0,"K23106","LIWC"
"K23106.47","Food",0.000122645,"K23106","LIWC"
"K23106.48","Acquire",-0.000412555,"K23106","LIWC"
"K23106.49","Allure",0,"K23106","LIWC"
"K23106.50","Perception",-0.009231835,"K23106","LIWC"
"K23106.51","Motion",-0.000994617,"K23106","LIWC"
"K23106.52","Space",2.19871926160324e-06,"K23106","LIWC"
"K23106.53","Visual",0,"K23106","LIWC"
"K23106.54","Time LIWC",0,"K23106","LIWC"
"K23106.55","FocusPast",0.001686102,"K23106","LIWC"
"K23106.56","FocusPresent",-0.005247554,"K23106","LIWC"
"K23106.57","Compound",5.13293511203124e-07,"K23106","LIWC"
"K23106.58","PA VADER",0,"K23106","Vader"
"K23106.59","Neutral VADER",0,"K23106","LIWC"
"K23106.60","NA VADER",0,"K23106","Vader"
"K23106.61","ThoughtLength",0.000916212,"K23106","LIWC"
"K23106.62","StressLength",0,"K23106","Text leangth"
"K23106.63","EnjoyLength",-8.88e-05,"K23106","Text leangth"
"K23106.64","Topic_t1",5.02725897394788e-06,"K23106","LDA"
"K23106.65","Topic_t2",0,"K23106","LDA"
"K23106.66","Topic_t3",3.18853507216913e-07,"K23106","LDA"
"K23106.67","Topic_t4",0,"K23106","LDA"
"K23106.68","Topic_t5",-1.63e-05,"K23106","LDA"
"K23106.69","Topic_t6",-6.35e-07,"K23106","LDA"
"K23106.70","Happy GPT",0.000677076,"K23106","GPT"
"K23106.71","Sad GPT",-0.000119522,"K23106","GPT"
"K23106.72","Nervous GPT",0,"K23106","GPT"
"K23106.73","Interested GPT",3.22881414746446e-05,"K23106","GPT"
"K23106.74","Angry GPT",-0.000514475,"K23106","GPT"
"K23106.75","Excited GPT",0,"K23106","GPT"
"K23106.76","Bored GPT",3.34002328462746e-05,"K23106","GPT"
"K23106.77","NA GPT",0,"K23106","GPT"
