"X","Variable","Importance","Participant","NLP"
"K23101.25","Achieve",-0.00373003,"K23101","LIWC"
"K23104.22","Achieve",-0.000306936,"K23104","LIWC"
"K23106.26","Achieve",-0.000328801,"K23106","LIWC"
"K23107.20","Achieve",-0.000938708,"K23107","LIWC"
"K23115.25","Achieve",-0.001939374,"K23115","LIWC"
"K23122.24","Achieve",0,"K23122","LIWC"
"K23125.27","Achieve",0.00038485,"K23125","LIWC"
"K23126.25","Achieve",-0.013608984,"K23126","LIWC"
"K23128.28","Achieve",0.002329348,"K23128","LIWC"
"K23130.25","Achieve",0,"K23130","LIWC"
"K23131.20","Achieve",-0.003270458,"K23131","LIWC"
"K23133.29","Achieve",-0.00421279,"K23133","LIWC"
"K23134.29","Achieve",-0.000221742,"K23134","LIWC"
"K23136.28","Achieve",-0.001610663,"K23136","LIWC"
"K23139.22","Achieve",-0.006743007,"K23139","LIWC"
"K23142.20","Achieve",0.009389356,"K23142","LIWC"
"K23143.22","Achieve",0.002900922,"K23143","LIWC"
"K23145.27","Achieve",-4.97e-05,"K23145","LIWC"
"K23147.30","Achieve",0,"K23147","LIWC"
"K23148.26","Achieve",-2.39e-05,"K23148","LIWC"
"K23153.26","Achieve",0.000682678,"K23153","LIWC"
"K23156.19","Achieve",0.002985446,"K23156","LIWC"
"K23502.22","Achieve",0.000650776,"K23502","LIWC"
"K23503.26","Achieve",-0.000322958,"K23503","LIWC"
"K23508.22","Achieve",0,"K23508","LIWC"
"K23509.26","Achieve",0.000357652,"K23509","LIWC"
"K23517.27","Achieve",0.001448841,"K23517","LIWC"
"K23529.27","Achieve",2.14701390733096e-07,"K23529","LIWC"
"K23531.24","Achieve",-0.00807605,"K23531","LIWC"
"K23532.29","Achieve",0,"K23532","LIWC"
"K23536.24","Achieve",-0.000356567,"K23536","LIWC"
"K23548.27","Achieve",0.000189349,"K23548","LIWC"
"K23555.27","Achieve",-0.000722435,"K23555","LIWC"
"K23557.27","Achieve",-0.000153859,"K23557","LIWC"
"K23559.22","Achieve",0.00120081,"K23559","LIWC"
"K23565.27","Achieve",-6.76e-06,"K23565","LIWC"
"KTFG534.26","Achieve",0.001982549,"KTFG534","LIWC"
"KTGF120.27","Achieve",0,"KTGF120","LIWC"
"KTGF124.27","Achieve",0,"KTGF124","LIWC"
"KTGF125.27","Achieve",0.000801292,"KTGF125","LIWC"
"KTGF129.21","Achieve",-0.009997913,"KTGF129","LIWC"
"KTGF130.23","Achieve",0.00139313,"KTGF130","LIWC"
"KTGF136.20","Achieve",0,"KTGF136","LIWC"
"KTGF138.24","Achieve",0.00353204,"KTGF138","LIWC"
"KTGF142.28","Achieve",0,"KTGF142","LIWC"
"KTGF143.27","Achieve",-6.55e-05,"KTGF143","LIWC"
"KTGF148.27","Achieve",0.000869126,"KTGF148","LIWC"
"KTGF153.25","Achieve",0.002700336,"KTGF153","LIWC"
"KTGF154.25","Achieve",0.000880548,"KTGF154","LIWC"
"KTGF156.27","Achieve",0.000503237,"KTGF156","LIWC"
"KTGF158.28","Achieve",-3.55e-06,"KTGF158","LIWC"
"KTGF527.30","Achieve",0.000148949,"KTGF527","LIWC"
"KTGF528.27","Achieve",0,"KTGF528","LIWC"
"KTGF533.26","Achieve",0.00613357,"KTGF533","LIWC"
"KTGF540.27","Achieve",0.007278608,"KTGF540","LIWC"
"KTGF544.28","Achieve",0.000470655,"KTGF544","LIWC"
"KTGF545.26","Achieve",-0.003662354,"KTGF545","LIWC"
