"X","Variable","Importance","Participant","NLP"
"K23101.1","Time",0.043970932,"K23101","Time"
"K23101.2","Word Count",0.012789468,"K23101","Text leangth"
"K23101.3","Analytic",0.024973204,"K23101","LIWC"
"K23101.4","Clout",-0.000793764,"K23101","LIWC"
"K23101.5","Authentic",0.013638535,"K23101","LIWC"
"K23101.6","WordPerSentence",0.000801739,"K23101","Text leangth"
"K23101.7","BigWords",0.00091191,"K23101","LIWC"
"K23101.8","Dictionary",-0.001038689,"K23101","LIWC"
"K23101.9","Linguistic",-0.00324138,"K23101","LIWC"
"K23101.10","Function",0.000666611,"K23101","LIWC"
"K23101.11","Pronoun",-0.001375187,"K23101","LIWC"
"K23101.12","Personal pronouns",0.057001721,"K23101","LIWC"
"K23101.13","i",0.014695287,"K23101","LIWC"
"K23101.14","Determiners",-0.000819296,"K23101","LIWC"
"K23101.15","Article",0.002138413,"K23101","LIWC"
"K23101.16","Preposition  ",-0.016660046,"K23101","LIWC"
"K23101.17","Auxiliary verbs",0.005040171,"K23101","LIWC"
"K23101.18","Adverbs",0.000888351,"K23101","LIWC"
"K23101.19","Negations",-0.00143066,"K23101","LIWC"
"K23101.20","Verb",0.007908493,"K23101","LIWC"
"K23101.21","Adjectives",0.001692806,"K23101","LIWC"
"K23101.22","Quantity",-0.002304782,"K23101","LIWC"
"K23101.23","Drives",-0.004257296,"K23101","LIWC"
"K23101.24","Affiliation",-0.011734377,"K23101","LIWC"
"K23101.25","Achieve",-0.013435473,"K23101","LIWC"
"K23101.26","Cognition",0.000614669,"K23101","LIWC"
"K23101.27","Cognitive processes",-0.027308256,"K23101","LIWC"
"K23101.28","Insight",-0.00120457,"K23101","LIWC"
"K23101.29","Differentiation",0.000555742,"K23101","LIWC"
"K23101.30","Affect",-0.000662093,"K23101","LIWC"
"K23101.31","Positive tone",-0.001171491,"K23101","LIWC"
"K23101.32","Negative tone",0.000635186,"K23101","LIWC"
"K23101.33","Emotion",0.003785686,"K23101","LIWC"
"K23101.34","Social",-0.001111316,"K23101","LIWC"
"K23101.35","Socbehav",-0.012063134,"K23101","LIWC"
"K23101.36","Social referents",0.007810596,"K23101","LIWC"
"K23101.37","Friend",-0.00022857,"K23101","LIWC"
"K23101.38","Lifestyle",0.006774251,"K23101","LIWC"
"K23101.39","Leisure",-0.014406003,"K23101","LIWC"
"K23101.40","Work",-0.002968645,"K23101","LIWC"
"K23101.41","Physical",-0.001939945,"K23101","LIWC"
"K23101.42","Food",0.002035242,"K23101","LIWC"
"K23101.43","Acquire",0.000302373,"K23101","LIWC"
"K23101.44","Allure",-0.000215073,"K23101","LIWC"
"K23101.45","Perception",-0.012626303,"K23101","LIWC"
"K23101.46","Motion",-0.00223276,"K23101","LIWC"
"K23101.47","Space",0.005392457,"K23101","LIWC"
"K23101.48","Time LIWC",0.001323318,"K23101","LIWC"
"K23101.49","FocusPast",0.000705979,"K23101","LIWC"
"K23101.50","FocusPresent",-0.000606712,"K23101","LIWC"
"K23101.51","FocusFuture",0.00361454,"K23101","LIWC"
"K23101.52","AllPunc",-0.001148433,"K23101","LIWC"
"K23101.53","Apostrophes",-0.010772912,"K23101","LIWC"
