"X","Variable","Importance","Participant","NLP"
"K23101.25","Achieve",-0.000397149,"K23101","LIWC"
"K23106.26","Achieve",1.54800212036757e-08,"K23106","LIWC"
"K23107.20","Achieve",9.62113002904503e-05,"K23107","LIWC"
"K23115.25","Achieve",0.000296903,"K23115","LIWC"
"K23122.24","Achieve",1.36542108416825e-05,"K23122","LIWC"
"K23125.27","Achieve",-0.001397331,"K23125","LIWC"
"K23126.25","Achieve",0.000637986,"K23126","LIWC"
"K23128.28","Achieve",0,"K23128","LIWC"
"K23130.25","Achieve",1.11244664110824e-05,"K23130","LIWC"
"K23131.20","Achieve",0.000124848,"K23131","LIWC"
"K23133.29","Achieve",1.65086586250613e-05,"K23133","LIWC"
"K23134.29","Achieve",-0.000624249,"K23134","LIWC"
"K23136.28","Achieve",0,"K23136","LIWC"
"K23139.22","Achieve",-0.008209263,"K23139","LIWC"
"K23142.20","Achieve",0.002352451,"K23142","LIWC"
"K23143.22","Achieve",0.001591037,"K23143","LIWC"
"K23145.27","Achieve",0,"K23145","LIWC"
"K23148.26","Achieve",0,"K23148","LIWC"
"K23153.26","Achieve",0,"K23153","LIWC"
"K23156.19","Achieve",-0.005906119,"K23156","LIWC"
"K23502.22","Achieve",-2.78e-05,"K23502","LIWC"
"K23503.26","Achieve",-0.000123677,"K23503","LIWC"
"K23508.22","Achieve",0,"K23508","LIWC"
"K23509.26","Achieve",-0.000780016,"K23509","LIWC"
"K23517.27","Achieve",-0.031447285,"K23517","LIWC"
"K23529.27","Achieve",-0.000344606,"K23529","LIWC"
"K23531.24","Achieve",-0.001725925,"K23531","LIWC"
"K23532.29","Achieve",0,"K23532","LIWC"
"K23536.24","Achieve",-0.000161371,"K23536","LIWC"
"K23548.27","Achieve",-0.000253982,"K23548","LIWC"
"K23555.27","Achieve",0.002316167,"K23555","LIWC"
"K23557.27","Achieve",0.000226914,"K23557","LIWC"
"K23559.22","Achieve",-0.00220744,"K23559","LIWC"
"K23565.27","Achieve",0.002742361,"K23565","LIWC"
"KTFG534.26","Achieve",-0.000503889,"KTFG534","LIWC"
"KTGF120.27","Achieve",-2.54e-05,"KTGF120","LIWC"
"KTGF124.27","Achieve",0.002326188,"KTGF124","LIWC"
"KTGF125.27","Achieve",0.005102063,"KTGF125","LIWC"
"KTGF129.21","Achieve",-0.021553117,"KTGF129","LIWC"
"KTGF130.23","Achieve",-0.012904071,"KTGF130","LIWC"
"KTGF136.20","Achieve",0.007757279,"KTGF136","LIWC"
"KTGF138.24","Achieve",0.007166032,"KTGF138","LIWC"
"KTGF142.28","Achieve",0,"KTGF142","LIWC"
"KTGF143.27","Achieve",-0.000103341,"KTGF143","LIWC"
"KTGF148.27","Achieve",0.000532322,"KTGF148","LIWC"
"KTGF153.25","Achieve",0.00197726,"KTGF153","LIWC"
"KTGF154.25","Achieve",0.00258611,"KTGF154","LIWC"
"KTGF156.27","Achieve",0.001522867,"KTGF156","LIWC"
"KTGF158.28","Achieve",0,"KTGF158","LIWC"
"KTGF527.30","Achieve",-0.001068817,"KTGF527","LIWC"
"KTGF528.27","Achieve",0,"KTGF528","LIWC"
"KTGF533.26","Achieve",0.00032136,"KTGF533","LIWC"
"KTGF540.27","Achieve",0.002210177,"KTGF540","LIWC"
"KTGF544.28","Achieve",0.005861112,"KTGF544","LIWC"
"KTGF545.26","Achieve",0.023755083,"KTGF545","LIWC"
"KTGF549.30","Achieve",0.001511041,"KTGF549","LIWC"
"KTGF550.23","Achieve",-0.002217363,"KTGF550","LIWC"
"KTGF556.27","Achieve",0.001203503,"KTGF556","LIWC"
"KTGF557.26","Achieve",-1.39e-06,"KTGF557","LIWC"
"KTGF561.26","Achieve",-0.000831715,"KTGF561","LIWC"
"KTGF565.27","Achieve",-0.002626415,"KTGF565","LIWC"
"KTGF570.21","Achieve",0.01751761,"KTGF570","LIWC"
"K23101.43","Acquire",-9.88e-05,"K23101","LIWC"
"K23106.48","Acquire",-0.002187624,"K23106","LIWC"
"K23107.35","Acquire",-0.000552852,"K23107","LIWC"
"K23109.35","Acquire",1.09353621152394e-05,"K23109","LIWC"
"K23115.43","Acquire",0.003057216,"K23115","LIWC"
"K23117.39","Acquire",-0.006115349,"K23117","LIWC"
"K23120.29","Acquire",-0.001489627,"K23120","LIWC"
"K23122.35","Acquire",0.000242256,"K23122","LIWC"
"K23125.55","Acquire",-0.000357955,"K23125","LIWC"
"K23126.39","Acquire",0.003803228,"K23126","LIWC"
"K23128.52","Acquire",-0.00128139,"K23128","LIWC"
"K23130.49","Acquire",0.002202379,"K23130","LIWC"
"K23131.37","Acquire",-0.000123166,"K23131","LIWC"
"K23133.58","Acquire",-1.13e-06,"K23133","LIWC"
"K23134.63","Acquire",1.65394874912207e-05,"K23134","LIWC"
"K23136.58","Acquire",-0.000763357,"K23136","LIWC"
"K23143.33","Acquire",-0.001548329,"K23143","LIWC"
"K23145.47","Acquire",-0.000135399,"K23145","LIWC"
"K23148.49","Acquire",-0.003267601,"K23148","LIWC"
"K23150.42","Acquire",-0.004344496,"K23150","LIWC"
"K23153.50","Acquire",0,"K23153","LIWC"
"K23156.29","Acquire",-0.0005907,"K23156","LIWC"
"K23503.53","Acquire",-0.006694155,"K23503","LIWC"
"K23507.36","Acquire",-0.001705149,"K23507","LIWC"
"K23508.41","Acquire",1.7896563226861e-05,"K23508","LIWC"
"K23526.45","Acquire",0.003640007,"K23526","LIWC"
"K23529.54","Acquire",-0.003076525,"K23529","LIWC"
"K23531.48","Acquire",0,"K23531","LIWC"
"K23532.56","Acquire",0,"K23532","LIWC"
"K23533.39","Acquire",-0.007021922,"K23533","LIWC"
"K23536.48","Acquire",0.00327385,"K23536","LIWC"
"K23537.53","Acquire",-8.04e-05,"K23537","LIWC"
"K23548.54","Acquire",0.001860657,"K23548","LIWC"
"K23552.51","Acquire",0.002310661,"K23552","LIWC"
"K23555.47","Acquire",-0.000501933,"K23555","LIWC"
"K23556.45","Acquire",-0.005801975,"K23556","LIWC"
"K23565.49","Acquire",0.000135015,"K23565","LIWC"
"KTGF118.54","Acquire",-2.99e-05,"KTGF118","LIWC"
"KTGF120.52","Acquire",-1.96e-05,"KTGF120","LIWC"
"KTGF122.44","Acquire",-0.002637353,"KTGF122","LIWC"
"KTGF124.46","Acquire",-4.09e-05,"KTGF124","LIWC"
"KTGF125.51","Acquire",-0.004226265,"KTGF125","LIWC"
"KTGF129.30","Acquire",-0.000654698,"KTGF129","LIWC"
"KTGF130.38","Acquire",0.013605185,"KTGF130","LIWC"
