"X","Variable","Importance","Participant","NLP"
"K23101.1","Time",0.000204769,"K23101","Time"
"K23101.2","Word Count",-8.78e-05,"K23101","Text leangth"
"K23101.3","Analytic",0.00011653,"K23101","LIWC"
"K23101.4","Clout",0.000122094,"K23101","LIWC"
"K23101.5","Authentic",-4.49e-06,"K23101","LIWC"
"K23101.6","WordPerSentence",-0.000174504,"K23101","Text leangth"
"K23101.7","BigWords",-0.00024694,"K23101","LIWC"
"K23101.8","Dictionary",-0.000409453,"K23101","LIWC"
"K23101.9","Linguistic",-6.45e-06,"K23101","LIWC"
"K23101.10","Function",2.08717948717956e-05,"K23101","LIWC"
"K23101.11","Pronoun",9.61538461538479e-06,"K23101","LIWC"
"K23101.12","Personal pronouns",0.000201709,"K23101","LIWC"
"K23101.13","i",-0.000182803,"K23101","LIWC"
"K23101.14","Determiners",0.000319205,"K23101","LIWC"
"K23101.15","Article",0.000112188,"K23101","LIWC"
"K23101.16","Preposition  ",9.7290598290597e-05,"K23101","LIWC"
"K23101.17","Auxiliary verbs",-7.25e-05,"K23101","LIWC"
"K23101.18","Adverbs",0.000273128,"K23101","LIWC"
"K23101.19","Negations",-5.93e-05,"K23101","LIWC"
"K23101.20","Verb",-2.7e-05,"K23101","LIWC"
"K23101.21","Adjectives",-0.000150821,"K23101","LIWC"
"K23101.22","Quantity",-1.45e-05,"K23101","LIWC"
"K23101.23","Drives",0.000131872,"K23101","LIWC"
"K23101.24","Affiliation",-5.72e-05,"K23101","LIWC"
"K23101.25","Achieve",1.07606837606831e-05,"K23101","LIWC"
"K23101.26","Cognition",0.00010206,"K23101","LIWC"
"K23101.27","Cognitive processes",-0.000266675,"K23101","LIWC"
"K23101.28","Insight",2.05641025641024e-05,"K23101","LIWC"
"K23101.29","Differentiation",6.28119658119664e-05,"K23101","LIWC"
"K23101.30","Affect",9.33333333333282e-06,"K23101","LIWC"
"K23101.31","Positive tone",8.43076923076931e-05,"K23101","LIWC"
"K23101.32","Negative tone",-8.71e-05,"K23101","LIWC"
"K23101.33","Emotion",-5.94e-05,"K23101","LIWC"
"K23101.34","Social",-0.000130094,"K23101","LIWC"
"K23101.35","Socbehav",-8.73e-05,"K23101","LIWC"
"K23101.36","Social referents",9.06752136752135e-05,"K23101","LIWC"
"K23101.37","Friend",0.00010459,"K23101","LIWC"
"K23101.38","Lifestyle",-2.97e-05,"K23101","LIWC"
"K23101.39","Leisure",-2.24e-05,"K23101","LIWC"
"K23101.40","Work",0.000134342,"K23101","LIWC"
"K23101.41","Physical",5.81538461538466e-05,"K23101","LIWC"
"K23101.42","Food",-2.4e-05,"K23101","LIWC"
"K23101.43","Acquire",-1.74e-05,"K23101","LIWC"
"K23101.44","Allure",0.000140838,"K23101","LIWC"
"K23101.45","Perception",0.00035,"K23101","LIWC"
"K23101.46","Motion",-5.86e-05,"K23101","LIWC"
"K23101.47","Space",-0.000121205,"K23101","LIWC"
"K23101.48","Time LIWC",8.57435897435898e-05,"K23101","LIWC"
"K23101.49","FocusPast",-0.000112744,"K23101","LIWC"
"K23101.50","FocusPresent",3.07606837606843e-05,"K23101","LIWC"
"K23101.51","FocusFuture",-8.15e-06,"K23101","LIWC"
"K23101.52","AllPunc",-5.36e-05,"K23101","LIWC"
"K23101.53","Apostrophes",3.09658119658125e-05,"K23101","LIWC"
"K23101.54","Compound",-2.39e-05,"K23101","LIWC"
"K23101.55","PA VADER",1.57264957264963e-06,"K23101","Vader"
"K23101.56","Neutral VADER",6.41282051282053e-05,"K23101","LIWC"
"K23101.57","NA VADER",0.000163564,"K23101","Vader"
"K23101.58","ThoughtLength",2.69487179487171e-05,"K23101","LIWC"
"K23101.59","StressLength",-6.61e-05,"K23101","Text leangth"
"K23101.60","EnjoyLength",4.55897435897445e-05,"K23101","Text leangth"
"K23101.61","Topic_t1",-0.00010535,"K23101","LDA"
"K23101.62","Topic_t2",0.000120154,"K23101","LDA"
"K23101.63","Topic_t3",-0.000169795,"K23101","LDA"
"K23101.64","Topic_t4",-0.000154329,"K23101","LDA"
"K23101.65","Topic_t5",8.04273504273512e-05,"K23101","LDA"
"K23101.66","Topic_t6",2.20000000000003e-05,"K23101","LDA"
"K23101.67","Happy GPT",7.5136752136752e-05,"K23101","GPT"
"K23101.68","Sad GPT",4.33418803418809e-05,"K23101","GPT"
"K23101.69","Nervous GPT",5.46153846153851e-05,"K23101","GPT"
"K23101.70","Interested GPT",6.55384615384614e-05,"K23101","GPT"
"K23101.71","Angry GPT",8.26752136752127e-05,"K23101","GPT"
"K23101.72","Excited GPT",0.00011409,"K23101","GPT"
"K23101.73","Bored GPT",-9.42e-06,"K23101","GPT"
"K23101.74","NA GPT",0.000133538,"K23101","GPT"
"K23101.75","PA GPT",-6.77e-05,"K23101","GPT"
"K23106.1","Time",-0.000479308,"K23106","Time"
"K23106.2","Word Count",-1.23e-05,"K23106","Text leangth"
"K23106.3","Analytic",0,"K23106","LIWC"
"K23106.4","Clout",-4.08e-05,"K23106","LIWC"
"K23106.5","Authentic",0,"K23106","LIWC"
"K23106.6","WordPerSentence",-1.66e-05,"K23106","Text leangth"
"K23106.7","BigWords",1.61538461538456e-05,"K23106","LIWC"
"K23106.8","Dictionary",2.30769230769222e-06,"K23106","LIWC"
"K23106.9","Linguistic",-1.38e-05,"K23106","LIWC"
"K23106.10","Function",0.000356795,"K23106","LIWC"
"K23106.11","Pronoun",6.22915848176479e-21,"K23106","LIWC"
"K23106.12","Personal pronouns",6.75207752957126e-22,"K23106","LIWC"
"K23106.13","i",1.23076923076923e-05,"K23106","LIWC"
"K23106.14","Impersonal pronouns",-3.2e-21,"K23106","LIWC"
"K23106.15","Determiners",1.32105864709003e-21,"K23106","LIWC"
"K23106.16","Article",-7.95e-22,"K23106","LIWC"
"K23106.17","Preposition  ",2.61276043535584e-21,"K23106","LIWC"
"K23106.18","Auxiliary verbs",5.17748237445389e-22,"K23106","LIWC"
"K23106.19","Adverbs",-2.85e-05,"K23106","LIWC"
"K23106.20","Negations",-1.23e-05,"K23106","LIWC"
"K23106.21","Verb",-0.000160769,"K23106","LIWC"
"K23106.22","Adjectives",-3.08e-06,"K23106","LIWC"
"K23106.23","Quantity",-1.23e-21,"K23106","LIWC"
"K23106.24","Drives",1.53846153846154e-06,"K23106","LIWC"
"K23106.25","Affiliation",1.36509393532636e-21,"K23106","LIWC"
"K23106.26","Achieve",8.64692932640747e-22,"K23106","LIWC"
"K23106.27","Cognition",0.000327692,"K23106","LIWC"
"K23106.28","Allnone",-1.54e-06,"K23106","LIWC"
"K23106.29","Cognitive processes",-5.31e-05,"K23106","LIWC"
"K23106.30","Insight",2.21538461538462e-05,"K23106","LIWC"
"K23106.31","Cause",0.000787333,"K23106","LIWC"
"K23106.32","Tentative",-1.08e-05,"K23106","LIWC"
"K23106.33","Differentiation",-8.69e-05,"K23106","LIWC"
"K23106.34","Affect",2.91566984231486e-21,"K23106","LIWC"
"K23106.35","Positive tone",3.53846153846149e-05,"K23106","LIWC"
"K23106.36","Negative tone",-1.05e-21,"K23106","LIWC"
"K23106.37","Social",-2.03e-05,"K23106","LIWC"
"K23106.38","Socbehav",3.97651996800837e-22,"K23106","LIWC"
"K23106.39","Communication",-1.08e-21,"K23106","LIWC"
