"X","Variable","Importance","Participant"
"K23101.1","Time",3.39774669774649e-05,"K23101"
"K23101.2","Word Count",-0.00010977207977208,"K23101"
"K23101.3","Analytic",2.33903133903133e-05,"K23101"
"K23101.4","Clout",-0.000134789173789173,"K23101"
"K23101.5","Authentic",-2.58347578347569e-05,"K23101"
"K23101.6","WordPerSentence",-0.000106778184778183,"K23101"
"K23101.7","BigWords",-4.61196581196581e-05,"K23101"
"K23101.8","Dictionary",-0.000175680911680912,"K23101"
"K23101.9","Linguistic",-3.99886039886042e-05,"K23101"
"K23101.10","Function",-1.62792022792032e-05,"K23101"
"K23101.11","Pronoun",5.77094017094015e-05,"K23101"
"K23101.12","Personal pronouns",4.33276353276348e-05,"K23101"
"K23101.13","i",0.000138153846153847,"K23101"
"K23101.14","Determiners",0.000143817663817664,"K23101"
"K23101.15","Article",4.12535612535636e-06,"K23101"
"K23101.16","Prepositionsositions",-1.33504273504264e-05,"K23101"
"K23101.17","Auxiliary verbs",1.31196581196586e-05,"K23101"
"K23101.18","Adverbs",5.79116809116804e-05,"K23101"
"K23101.19","Negations",-3.63846153846148e-05,"K23101"
"K23101.20","Verb",1.27863247863251e-05,"K23101"
"K23101.21","Adjectives",-1.92991452991441e-05,"K23101"
"K23101.22","Quantity",7.98917378917375e-05,"K23101"
"K23101.23","Drives",-6.78347578347745e-06,"K23101"
"K23101.24","Affiliation",-9.66609686609687e-05,"K23101"
"K23101.25","Achieve",-3.64131054131056e-05,"K23101"
"K23101.26","Cognition",6.23577533577526e-05,"K23101"
"K23101.27","Cognitive processes",-9.54074074074069e-05,"K23101"
"K23101.28","Insight",2.20797720797785e-06,"K23101"
"K23101.29","Differentiation",1.38034188034185e-05,"K23101"
"K23101.30","Affect",-1.2507122507122e-05,"K23101"
"K23101.31","Positive tone",-1.51823361823356e-05,"K23101"
"K23101.32","Negative tone",-1.13532763532761e-05,"K23101"
"K23101.33","Emotion",-3.91737891737893e-05,"K23101"
"K23101.34","Social",1.61794871794886e-05,"K23101"
"K23101.35","Socbehav",2.28632478632487e-05,"K23101"
"K23101.36","Social referents",3.67378917378935e-05,"K23101"
"K23101.37","Friend",3.50769230769228e-05,"K23101"
"K23101.38","Lifestyle",-6.74814814814805e-05,"K23101"
"K23101.39","Leisure",2.79401709401702e-05,"K23101"
"K23101.40","Work",3.79943019943025e-05,"K23101"
"K23101.41","Physical",-1.57920227920238e-05,"K23101"
"K23101.42","Food",-3.19373219373225e-05,"K23101"
"K23101.43","Acquire",3.9179487179488e-05,"K23101"
"K23101.44","Allure",-3.96096866096865e-05,"K23101"
"K23101.45","Perception",0.000186667480667482,"K23101"
"K23101.46","Motion",-4.69173789173791e-05,"K23101"
"K23101.47","Space",0.000167558922558922,"K23101"
"K23101.48","Time LIWC",-1.80427350427352e-05,"K23101"
"K23101.49","FocusPast",-2.08319088319088e-05,"K23101"
"K23101.50","FocusPresent",2.12108262108257e-05,"K23101"
"K23101.51","FocusFuture",3.18917378917362e-05,"K23101"
"K23101.52","AllPunc",2.41709401709402e-05,"K23101"
"K23101.53","Apostrophes",2.00284900284878e-06,"K23101"
"K23101.54","Compound",-5.37236467236463e-05,"K23101"
"K23101.55","PA VADER",7.49999999999994e-05,"K23101"
"K23101.56","Neutral VADER",-1.01367521367523e-05,"K23101"
"K23101.57","NA VADER",-6.10227920227914e-05,"K23101"
"K23101.58","ThoughtLength",-3.49002849002936e-06,"K23101"
"K23101.59","StressLength",-7.6447293447292e-05,"K23101"
"K23101.60","EnjoyLength",-3.99601139601143e-05,"K23101"
"K23101.61","Topic_t1",2.12459639126304e-05,"K23101"
"K23101.62","Topic_t2",0.000151843304843306,"K23101"
"K23101.63","Topic_t3",-1.32136752136752e-05,"K23101"
"K23101.64","Topic_t4",3.51168091168088e-05,"K23101"
"K23101.65","Topic_t5",-4.29800569800577e-05,"K23101"
"K23101.66","Topic_t6",-8.07673314339984e-05,"K23101"
"K23101.67","Happy GPT",4.1452473452472e-05,"K23101"
"K23101.68","Sad GPT",1.6980056980068e-06,"K23101"
"K23101.69","Nervous GPT",3.08945868945869e-05,"K23101"
"K23101.70","Interested GPT",-1.24586894586897e-05,"K23101"
"K23101.71","Angry GPT",5.09686609686609e-06,"K23101"
"K23101.72","Excited GPT",7.2269434269436e-05,"K23101"
