"X","Variable","Importance","Participant","NLP"
"K23101.1","Time",3.77e-05,"K23101","Time"
"K23101.2","Word Count",-4.4e-05,"K23101","Text leangth"
"K23101.3","Analytic",-5.54e-05,"K23101","LIWC"
"K23101.4","Clout",4.54e-05,"K23101","LIWC"
"K23101.5","Authentic",4.26e-05,"K23101","LIWC"
"K23101.6","WordPerSentence",5.94e-05,"K23101","Text leangth"
"K23101.7","BigWords",-3.68e-05,"K23101","LIWC"
"K23101.8","Dictionary",-5.24e-05,"K23101","LIWC"
"K23101.9","Linguistic",-0.00033894,"K23101","LIWC"
"K23101.10","Function",9.09e-05,"K23101","LIWC"
"K23101.11","Pronoun",-5.24e-05,"K23101","LIWC"
"K23101.12","Personal pronouns",-4.1e-05,"K23101","LIWC"
"K23101.13","i",0.000140949,"K23101","LIWC"
"K23101.14","Determiners",-1.57e-05,"K23101","LIWC"
"K23101.15","Article",0.00017435,"K23101","LIWC"
"K23101.16","Preposition  ",-0.00029588,"K23101","LIWC"
"K23101.17","Auxiliary verbs",6.38e-05,"K23101","LIWC"
"K23101.18","Adverbs",4.69e-05,"K23101","LIWC"
"K23101.19","Negations",-3e-05,"K23101","LIWC"
"K23101.20","Verb",-6.23e-05,"K23101","LIWC"
"K23101.21","Adjectives",2.34e-05,"K23101","LIWC"
"K23101.22","Quantity",4.47e-05,"K23101","LIWC"
"K23101.23","Drives",0.00011212,"K23101","LIWC"
"K23101.24","Affiliation",6.66e-06,"K23101","LIWC"
"K23101.25","Achieve",2.09e-05,"K23101","LIWC"
"K23101.26","Cognition",1.6e-05,"K23101","LIWC"
"K23101.27","Cognitive processes",-0.000248632,"K23101","LIWC"
"K23101.28","Insight",2.03e-06,"K23101","LIWC"
"K23101.29","Differentiation",2.57e-05,"K23101","LIWC"
"K23101.30","Affect",-7.29e-05,"K23101","LIWC"
"K23101.31","Positive tone",-0.000114667,"K23101","LIWC"
"K23101.32","Negative tone",5.84e-05,"K23101","LIWC"
"K23101.33","Emotion",5.68e-05,"K23101","LIWC"
"K23101.34","Social",-0.00013635,"K23101","LIWC"
"K23101.35","Socbehav",8.83e-06,"K23101","LIWC"
"K23101.36","Social referents",2.63e-05,"K23101","LIWC"
"K23101.37","Friend",2.37e-05,"K23101","LIWC"
"K23101.38","Lifestyle",3.87e-05,"K23101","LIWC"
"K23101.39","Leisure",9.55e-05,"K23101","LIWC"
"K23101.40","Work",-0.000123521,"K23101","LIWC"
"K23101.41","Physical",-0.000104726,"K23101","LIWC"
"K23101.42","Food",-0.000127419,"K23101","LIWC"
"K23101.43","Acquire",9.82e-05,"K23101","LIWC"
"K23101.44","Allure",1.59e-05,"K23101","LIWC"
"K23101.45","Perception",-0.000235923,"K23101","LIWC"
"K23101.46","Motion",4.63e-05,"K23101","LIWC"
"K23101.47","Space",1.06e-05,"K23101","LIWC"
"K23101.48","Time LIWC",-2.64e-05,"K23101","LIWC"
"K23101.49","FocusPast",9.11e-05,"K23101","LIWC"
"K23101.50","FocusPresent",-4.91e-05,"K23101","LIWC"
"K23101.51","FocusFuture",-9.47e-05,"K23101","LIWC"
"K23101.52","AllPunc",6.69e-05,"K23101","LIWC"
"K23101.53","Apostrophes",-0.000257821,"K23101","LIWC"
"K23101.54","Compound",6.54e-05,"K23101","LIWC"
"K23101.55","PA VADER",-5.1e-05,"K23101","Vader"
"K23101.56","Neutral VADER",7.44e-05,"K23101","LIWC"
"K23101.57","NA VADER",-1.74e-05,"K23101","Vader"
"K23101.58","ThoughtLength",-5.05e-05,"K23101","LIWC"
"K23101.59","StressLength",-0.000247308,"K23101","Text leangth"
"K23101.60","EnjoyLength",8e-05,"K23101","Text leangth"
"K23101.61","Topic_t1",1.64e-05,"K23101","LDA"
"K23101.62","Topic_t2",6.16e-05,"K23101","LDA"
"K23101.63","Topic_t3",-9.69e-05,"K23101","LDA"
"K23101.64","Topic_t4",3.44e-05,"K23101","LDA"
"K23101.65","Topic_t5",-0.000122863,"K23101","LDA"
"K23101.66","Topic_t6",-6.62e-05,"K23101","LDA"
"K23101.67","Happy GPT",-7.75e-06,"K23101","GPT"
"K23101.68","Sad GPT",4.02e-05,"K23101","GPT"
"K23101.69","Nervous GPT",1.37e-05,"K23101","GPT"
"K23101.70","Interested GPT",9.37e-05,"K23101","GPT"
"K23101.71","Angry GPT",-1.17e-05,"K23101","GPT"
"K23101.72","Excited GPT",7.73e-05,"K23101","GPT"
"K23101.73","Bored GPT",-3.27e-05,"K23101","GPT"
"K23101.74","NA GPT",0.000119735,"K23101","GPT"
"K23101.75","PA GPT",-5.43e-06,"K23101","GPT"
"K23104.1","Time",-3.7e-06,"K23104","Time"
"K23104.2","Word Count",2.18e-05,"K23104","Text leangth"
"K23104.3","Analytic",4e-06,"K23104","LIWC"
"K23104.4","Clout",-3.56e-06,"K23104","LIWC"
"K23104.5","Authentic",3.11e-06,"K23104","LIWC"
"K23104.6","WordPerSentence",-5.51e-05,"K23104","Text leangth"
"K23104.7","BigWords",5.78e-06,"K23104","LIWC"
"K23104.8","Dictionary",4.89e-06,"K23104","LIWC"
"K23104.9","Linguistic",-0.001027081,"K23104","LIWC"
"K23104.10","Function",4.18e-05,"K23104","LIWC"
"K23104.11","Pronoun",4.44e-07,"K23104","LIWC"
"K23104.12","Personal pronouns",-1.33e-06,"K23104","LIWC"
"K23104.13","i",-4.89e-06,"K23104","LIWC"
"K23104.14","Impersonal pronouns",1.14e-05,"K23104","LIWC"
"K23104.15","Determiners",3.73e-05,"K23104","LIWC"
"K23104.16","Article",2.22e-06,"K23104","LIWC"
"K23104.17","Preposition  ",6.22e-06,"K23104","LIWC"
"K23104.18","Negations",-1.02e-05,"K23104","LIWC"
"K23104.19","Verb",-1.33e-05,"K23104","LIWC"
"K23104.20","Quantity",-1.47e-05,"K23104","LIWC"
"K23104.21","Drives",-3.43e-05,"K23104","LIWC"
"K23104.22","Achieve",2.44e-05,"K23104","LIWC"
"K23104.23","Cognition",-1.02e-05,"K23104","LIWC"
"K23104.24","Allnone",4.13e-05,"K23104","LIWC"
"K23104.25","Culture",-3.11e-06,"K23104","LIWC"
"K23104.26","Tech",-1.33e-06,"K23104","LIWC"
"K23104.27","Lifestyle",-1.33e-06,"K23104","LIWC"
"K23104.28","Leisure",3.56e-06,"K23104","LIWC"
"K23104.29","Work",2.67e-06,"K23104","LIWC"
"K23104.30","Physical",-1.29e-05,"K23104","LIWC"
"K23104.31","Food",-9.33e-06,"K23104","LIWC"
"K23104.32","Allure",-2.67e-06,"K23104","LIWC"
"K23104.33","Perception",-7.11e-06,"K23104","LIWC"
"K23104.34","Motion",1.78e-06,"K23104","LIWC"
"K23104.35","Space",3.56e-06,"K23104","LIWC"
"K23104.36","FocusFuture",1.78e-06,"K23104","LIWC"
"K23104.37","ThoughtLength",1.33e-06,"K23104","LIWC"
"K23104.38","StressLength",4.93e-05,"K23104","Text leangth"
"K23104.39","EnjoyLength",0.000114704,"K23104","Text leangth"
"K23104.40","Topic_t1",-2e-05,"K23104","LDA"
"K23104.41","Topic_t2",-6.62e-05,"K23104","LDA"
"K23104.42","Topic_t3",-6.71e-05,"K23104","LDA"
"K23104.43","Topic_t4",-4.89e-06,"K23104","LDA"
"K23104.44","Topic_t5",-0.002310844,"K23104","LDA"
"K23104.45","Topic_t6",0.000268904,"K23104","LDA"
"K23104.46","Happy GPT",3.56e-06,"K23104","GPT"
"K23104.47","Sad GPT",2.22e-06,"K23104","GPT"
"K23104.48","Nervous GPT",6.31e-06,"K23104","GPT"
"K23104.49","Interested GPT",-1.33e-06,"K23104","GPT"
"K23104.50","Angry GPT",4e-06,"K23104","GPT"
"K23104.51","Excited GPT",3.56e-06,"K23104","GPT"
"K23104.52","Bored GPT",2.62e-22,"K23104","GPT"
"K23104.53","NA GPT",-1.33e-06,"K23104","GPT"
"K23104.54","PA GPT",3.88e-23,"K23104","GPT"
"K23106.1","Time",0.000103705,"K23106","Time"
"K23106.2","Word Count",-0.000133936,"K23106","Text leangth"
"K23106.3","Analytic",-4.46e-05,"K23106","LIWC"
"K23106.4","Clout",1.83e-05,"K23106","LIWC"
"K23106.5","Authentic",-4.04e-05,"K23106","LIWC"
"K23106.6","WordPerSentence",-0.000208833,"K23106","Text leangth"
"K23106.7","BigWords",7.62e-05,"K23106","LIWC"
"K23106.8","Dictionary",2.87e-05,"K23106","LIWC"
"K23106.9","Linguistic",1.78e-05,"K23106","LIWC"
"K23106.10","Function",-7.61e-05,"K23106","LIWC"
"K23106.11","Pronoun",4.08e-05,"K23106","LIWC"
"K23106.12","Personal pronouns",-7.71e-05,"K23106","LIWC"
"K23106.13","i",4.27e-06,"K23106","LIWC"
"K23106.14","Impersonal pronouns",-4.97e-05,"K23106","LIWC"
"K23106.15","Determiners",-2.88e-06,"K23106","LIWC"
"K23106.16","Article",-2.06e-05,"K23106","LIWC"
"K23106.17","Preposition  ",4.41e-05,"K23106","LIWC"
"K23106.18","Auxiliary verbs",4.25e-05,"K23106","LIWC"
"K23106.19","Adverbs",2.74e-05,"K23106","LIWC"
"K23106.20","Negations",-5.58e-06,"K23106","LIWC"
"K23106.21","Verb",-0.000143256,"K23106","LIWC"
"K23106.22","Adjectives",-3.35e-05,"K23106","LIWC"
"K23106.23","Quantity",-2.04e-05,"K23106","LIWC"
"K23106.24","Drives",4.21e-05,"K23106","LIWC"
"K23106.25","Affiliation",4.71e-05,"K23106","LIWC"
"K23106.26","Achieve",3.85e-08,"K23106","LIWC"
"K23106.27","Cognition",8.81e-05,"K23106","LIWC"
"K23106.28","Allnone",-2.86e-05,"K23106","LIWC"
"K23106.29","Cognitive processes",-1.85e-05,"K23106","LIWC"
"K23106.30","Insight",-5.12e-05,"K23106","LIWC"
"K23106.31","Cause",3.06e-05,"K23106","LIWC"
"K23106.32","Tentative",-5.17e-05,"K23106","LIWC"
"K23106.33","Differentiation",-2.43e-05,"K23106","LIWC"
"K23106.34","Affect",4.78e-06,"K23106","LIWC"
"K23106.35","Positive tone",2.09e-05,"K23106","LIWC"
"K23106.36","Negative tone",-1.57e-05,"K23106","LIWC"
"K23106.37","Social",-3.33e-06,"K23106","LIWC"
"K23106.38","Socbehav",4.96e-06,"K23106","LIWC"
"K23106.39","Communication",-7.85e-05,"K23106","LIWC"
"K23106.40","Social referents",1.39e-05,"K23106","LIWC"
"K23106.41","Friend",-3.22e-05,"K23106","LIWC"
"K23106.42","Culture",5.04e-05,"K23106","LIWC"
"K23106.43","Lifestyle",-9.36e-05,"K23106","LIWC"
"K23106.44","Leisure",2.96e-05,"K23106","LIWC"
"K23106.45","Work",1.59e-06,"K23106","LIWC"
"K23106.46","Physical",4.09e-05,"K23106","LIWC"
"K23106.47","Food",-1.96e-05,"K23106","LIWC"
"K23106.48","Acquire",-0.000135397,"K23106","LIWC"
"K23106.49","Allure",-5.17e-06,"K23106","LIWC"
"K23106.50","Perception",-1.18e-05,"K23106","LIWC"
"K23106.51","Motion",0.00010291,"K23106","LIWC"
"K23106.52","Space",8.79e-05,"K23106","LIWC"
"K23106.53","Visual",0.000133218,"K23106","LIWC"
"K23106.54","Time LIWC",7.43e-05,"K23106","LIWC"
"K23106.55","FocusPast",-1.53e-05,"K23106","LIWC"
"K23106.56","FocusPresent",-3.52e-05,"K23106","LIWC"
"K23106.57","Compound",0.000226808,"K23106","LIWC"
"K23106.58","PA VADER",3.92e-05,"K23106","Vader"
"K23106.59","Neutral VADER",-5.26e-05,"K23106","LIWC"
"K23106.60","NA VADER",2.33e-05,"K23106","Vader"
"K23106.61","ThoughtLength",-0.000223141,"K23106","LIWC"
"K23106.62","StressLength",9.81e-05,"K23106","Text leangth"
"K23106.63","EnjoyLength",-5.31e-05,"K23106","Text leangth"
