"X","Variable","Importance","Participant"
"K23101.25","Achieve",0.002783863,"K23101"
"K23106.26","Achieve",0.001089859,"K23106"
"K23107.20","Achieve",4.47e-05,"K23107"
"K23115.25","Achieve",0.006902597,"K23115"
"K23122.24","Achieve",0.001362805,"K23122"
"K23125.27","Achieve",0.003469973,"K23125"
"K23126.25","Achieve",0.047443525,"K23126"
"K23128.28","Achieve",0.00219335,"K23128"
"K23130.25","Achieve",0.00070007,"K23130"
"K23131.20","Achieve",0.006018567,"K23131"
"K23133.29","Achieve",0.000345889,"K23133"
"K23134.29","Achieve",0.015027268,"K23134"
"K23136.28","Achieve",0.001289147,"K23136"
"K23139.22","Achieve",0.001164892,"K23139"
"K23142.20","Achieve",0.000803525,"K23142"
"K23143.22","Achieve",0.000223077,"K23143"
"K23145.27","Achieve",0.000355667,"K23145"
"K23148.26","Achieve",0.002562861,"K23148"
"K23151.26","Achieve",0.008532171,"K23151"
"K23153.26","Achieve",0.002081556,"K23153"
"K23156.19","Achieve",0.004297455,"K23156"
"K23502.22","Achieve",0.001000053,"K23502"
"K23503.26","Achieve",0.001632932,"K23503"
"K23508.22","Achieve",0.001130929,"K23508"
"K23509.26","Achieve",0.000911629,"K23509"
"K23517.27","Achieve",0.001828996,"K23517"
"K23529.27","Achieve",0.00939425,"K23529"
"K23531.24","Achieve",0.056530796,"K23531"
"K23532.29","Achieve",0.001601678,"K23532"
"K23536.24","Achieve",0.004082456,"K23536"
"K23548.27","Achieve",0.003765612,"K23548"
"K23555.27","Achieve",0.000682963,"K23555"
"K23557.27","Achieve",0.005456108,"K23557"
"K23559.22","Achieve",0.003009796,"K23559"
"K23565.27","Achieve",0.000730677,"K23565"
"KTFG534.26","Achieve",0.004542832,"KTFG534"
"KTGF120.27","Achieve",0.00219168,"KTGF120"
"KTGF124.27","Achieve",0.003370923,"KTGF124"
"KTGF125.27","Achieve",0.001379333,"KTGF125"
"KTGF129.21","Achieve",0.005954544,"KTGF129"
"KTGF130.23","Achieve",0.009040093,"KTGF130"
"KTGF136.20","Achieve",0.005953824,"KTGF136"
"KTGF138.24","Achieve",1.12e-20,"KTGF138"
"KTGF142.28","Achieve",0.006525495,"KTGF142"
"KTGF143.27","Achieve",0.000808806,"KTGF143"
"KTGF148.27","Achieve",0.001251366,"KTGF148"
"KTGF150.20","Achieve",0.003395893,"KTGF150"
"KTGF153.25","Achieve",0.001176333,"KTGF153"
"KTGF154.25","Achieve",0.004401612,"KTGF154"
"KTGF156.27","Achieve",0.001184972,"KTGF156"
"KTGF158.28","Achieve",0.003809502,"KTGF158"
"KTGF527.30","Achieve",0.001725754,"KTGF527"
"KTGF528.27","Achieve",0.000529231,"KTGF528"
"KTGF533.26","Achieve",0.002376225,"KTGF533"
"KTGF540.27","Achieve",0.000460741,"KTGF540"
"KTGF544.28","Achieve",0.002781021,"KTGF544"
"KTGF545.26","Achieve",0.001204733,"KTGF545"
"KTGF549.30","Achieve",0.003396444,"KTGF549"
"KTGF550.23","Achieve",0.002742302,"KTGF550"
"KTGF556.27","Achieve",0.005763927,"KTGF556"
"KTGF557.26","Achieve",0.028793447,"KTGF557"
"KTGF561.26","Achieve",0.002851962,"KTGF561"
"KTGF565.27","Achieve",0.004975246,"KTGF565"
"KTGF570.21","Achieve",0.015076083,"KTGF570"
"K23101.43","Acquire",0.001042034,"K23101"
"K23106.48","Acquire",0.002490077,"K23106"
"K23107.35","Acquire",0.000325805,"K23107"
"K23109.35","Acquire",0.011435237,"K23109"
"K23115.43","Acquire",0.003738398,"K23115"
"K23117.39","Acquire",0.009602756,"K23117"
"K23120.29","Acquire",0.001639467,"K23120"
"K23122.35","Acquire",0.008479011,"K23122"
"K23125.55","Acquire",0.007118207,"K23125"
"K23126.39","Acquire",0.002253224,"K23126"
"K23128.52","Acquire",0.001958846,"K23128"
"K23130.49","Acquire",0.013699711,"K23130"
"K23131.37","Acquire",0.001495287,"K23131"
"K23133.58","Acquire",0.000430593,"K23133"
"K23134.63","Acquire",0.003852683,"K23134"
"K23136.58","Acquire",0.006853395,"K23136"
"K23143.33","Acquire",8.98e-05,"K23143"
"K23145.47","Acquire",0.000783,"K23145"
"K23148.49","Acquire",0.001094545,"K23148"
"K23150.42","Acquire",0.002737621,"K23150"
"K23151.46","Acquire",0.005869333,"K23151"
