,Variable,Importance,Participant,nlp
K23122,WordPerSentence,0,K23122,Text leangth
K23134,WordPerSentence,0,K23134,Text leangth
K23532,WordPerSentence,0,K23532,Text leangth
K23540,WordPerSentence,0,K23540,Text leangth
K23548,WordPerSentence,0,K23548,Text leangth
K23552,WordPerSentence,0,K23552,Text leangth
KTGF118,WordPerSentence,0,KTGF118,Text leangth
KTGF127,WordPerSentence,0,KTGF127,Text leangth
KTGF158,WordPerSentence,0,KTGF158,Text leangth
KTGF549,WordPerSentence,0,KTGF549,Text leangth
K23106,WordPerSentence,3.41E-08,K23106,Text leangth
KTGF143,WordPerSentence,1.03E-06,KTGF143,Text leangth
K23150,WordPerSentence,1.45E-06,K23150,Text leangth
K23142,WordPerSentence,1.95E-06,K23142,Text leangth
KTGF138,WordPerSentence,9.34E-06,KTGF138,Text leangth
K23508,WordPerSentence,1.01E-05,K23508,Text leangth
KTGF562,WordPerSentence,1.13E-05,KTGF562,Text leangth
KTGF142,WordPerSentence,1.21E-05,KTGF142,Text leangth
KTGF540,WordPerSentence,1.95E-05,KTGF540,Text leangth
K23551,WordPerSentence,1.97E-05,K23551,Text leangth
K23107,WordPerSentence,2.16E-05,K23107,Text leangth
K23104,WordPerSentence,2.64E-05,K23104,Text leangth
KTGF572,WordPerSentence,4.94E-05,KTGF572,Text leangth
K23143,WordPerSentence,5.04E-05,K23143,Text leangth
K23144,WordPerSentence,6.29E-05,K23144,Text leangth
KTGF157,WordPerSentence,6.80E-05,KTGF157,Text leangth
K23101,WordPerSentence,7.33E-05,K23101,Text leangth
K23503,WordPerSentence,0.000118515,K23503,Text leangth
KTGF126,WordPerSentence,0.000120808,KTGF126,Text leangth
K23120,WordPerSentence,0.00013624,K23120,Text leangth
KTGF120,WordPerSentence,0.000146474,KTGF120,Text leangth
K23555,WordPerSentence,0.000163161,K23555,Text leangth
K23536,WordPerSentence,0.000168059,K23536,Text leangth
KTGF533,WordPerSentence,0.000185242,KTGF533,Text leangth
K23148,WordPerSentence,0.000205757,K23148,Text leangth
KTGF130,WordPerSentence,0.000217057,KTGF130,Text leangth
KTGF124,WordPerSentence,0.000224101,KTGF124,Text leangth
K23139,WordPerSentence,0.000250376,K23139,Text leangth
K23121,WordPerSentence,0.000257604,K23121,Text leangth
KTGF129,WordPerSentence,0.000303129,KTGF129,Text leangth
KTGF125,WordPerSentence,0.000313126,KTGF125,Text leangth
K23130,WordPerSentence,0.000327385,K23130,Text leangth
K23565,WordPerSentence,0.000387534,K23565,Text leangth
KTGF528,WordPerSentence,0.00040151,KTGF528,Text leangth
K23125,WordPerSentence,0.000452892,K23125,Text leangth
K23145,WordPerSentence,0.000642568,K23145,Text leangth
