,Variable,Importance,Participant,NLP
K23101,Achieve,0.005529137,K23101,LIWC
K23106,Achieve,9.21E-21,K23106,LIWC
K23107,Achieve,0.001503,K23107,LIWC
K23115,Achieve,0.005433331,K23115,LIWC
K23125,Achieve,0.00108074,K23125,LIWC
K23126,Achieve,0.026673717,K23126,LIWC
K23128,Achieve,0.007475821,K23128,LIWC
K23131,Achieve,0.00015908,K23131,LIWC
K23133,Achieve,0.008555722,K23133,LIWC
K23134,Achieve,0.004879024,K23134,LIWC
K23139,Achieve,1.72E-05,K23139,LIWC
K23145,Achieve,0.0027941,K23145,LIWC
K23148,Achieve,0.00354183,K23148,LIWC
K23151,Achieve,0.004748051,K23151,LIWC
K23153,Achieve,0.005153184,K23153,LIWC
K23156,Achieve,0.007423273,K23156,LIWC
K23502,Achieve,0.0001056,K23502,LIWC
K23503,Achieve,0.0107238,K23503,LIWC
K23508,Achieve,0.003138857,K23508,LIWC
K23509,Achieve,0.000993182,K23509,LIWC
K23517,Achieve,0.008479653,K23517,LIWC
K23529,Achieve,0.001926833,K23529,LIWC
K23531,Achieve,3.87E-06,K23531,LIWC
K23532,Achieve,0.000998966,K23532,LIWC
K23548,Achieve,0.001370159,K23548,LIWC
K23555,Achieve,0.002732201,K23555,LIWC
K23557,Achieve,0.003145882,K23557,LIWC
K23559,Achieve,0.000505986,K23559,LIWC
K23565,Achieve,0.003269247,K23565,LIWC
KTFG534,Achieve,0.001423219,KTFG534,LIWC
KTGF120,Achieve,0.001435978,KTGF120,LIWC
KTGF124,Achieve,0.00306474,KTGF124,LIWC
KTGF129,Achieve,0.008905573,KTGF129,LIWC
KTGF130,Achieve,0.002174565,KTGF130,LIWC
KTGF136,Achieve,0.007563298,KTGF136,LIWC
KTGF138,Achieve,1.28E-21,KTGF138,LIWC
KTGF142,Achieve,0.000647232,KTGF142,LIWC
KTGF143,Achieve,0,KTGF143,LIWC
KTGF150,Achieve,0.002777595,KTGF150,LIWC
KTGF154,Achieve,0.002870949,KTGF154,LIWC
KTGF156,Achieve,2.29E-05,KTGF156,LIWC
KTGF158,Achieve,2.72E-21,KTGF158,LIWC
KTGF527,Achieve,0.004540103,KTGF527,LIWC
KTGF528,Achieve,0.000669949,KTGF528,LIWC
KTGF533,Achieve,0.006754026,KTGF533,LIWC
KTGF540,Achieve,7.71E-21,KTGF540,LIWC
KTGF544,Achieve,0.000774854,KTGF544,LIWC
KTGF545,Achieve,0.001831275,KTGF545,LIWC
KTGF549,Achieve,0.005307685,KTGF549,LIWC
KTGF550,Achieve,0.018820698,KTGF550,LIWC
KTGF556,Achieve,0.002355469,KTGF556,LIWC
KTGF557,Achieve,0.010642276,KTGF557,LIWC
KTGF561,Achieve,0.000782841,KTGF561,LIWC
KTGF565,Achieve,0.000943094,KTGF565,LIWC
KTGF570,Achieve,0.006507542,KTGF570,LIWC
K23101,Acquire,0.002585641,K23101,LIWC
K23106,Acquire,2.10E-20,K23106,LIWC
K23107,Acquire,0.002168632,K23107,LIWC
K23109,Acquire,0.003993832,K23109,LIWC
K23115,Acquire,0.005923104,K23115,LIWC
K23117,Acquire,0.006929327,K23117,LIWC
K23120,Acquire,0.000746624,K23120,LIWC
K23125,Acquire,0.002440055,K23125,LIWC
K23126,Acquire,0.01111874,K23126,LIWC
K23128,Acquire,0.001739138,K23128,LIWC
K23129,Acquire,0.002688062,K23129,LIWC
K23131,Acquire,0.000302222,K23131,LIWC
K23133,Acquire,0.002139046,K23133,LIWC
K23134,Acquire,0.004321951,K23134,LIWC
K23145,Acquire,0.007833056,K23145,LIWC
K23148,Acquire,0.001423527,K23148,LIWC
K23150,Acquire,0.002236574,K23150,LIWC
K23151,Acquire,0.002325573,K23151,LIWC
K23153,Acquire,0.007825,K23153,LIWC
K23155,Acquire,0.000957845,K23155,LIWC
K23156,Acquire,0.003867439,K23156,LIWC
K23503,Acquire,0.005743149,K23503,LIWC
K23507,Acquire,0.000679132,K23507,LIWC
K23508,Acquire,0.003131829,K23508,LIWC
K23526,Acquire,0.026377992,K23526,LIWC
K23529,Acquire,0.002180181,K23529,LIWC
K23531,Acquire,0.003101505,K23531,LIWC
K23532,Acquire,0.001411402,K23532,LIWC
K23533,Acquire,0.007160599,K23533,LIWC
K23537,Acquire,0.001659058,K23537,LIWC
K23548,Acquire,0.001534116,K23548,LIWC
K23552,Acquire,0.001355507,K23552,LIWC
K23555,Acquire,0.007960561,K23555,LIWC
K23556,Acquire,0.003756883,K23556,LIWC
K23565,Acquire,0.011592472,K23565,LIWC
KTGF118,Acquire,0.002097784,KTGF118,LIWC
KTGF120,Acquire,0.002229507,KTGF120,LIWC
KTGF122,Acquire,0.002862962,KTGF122,LIWC
KTGF124,Acquire,0.013354908,KTGF124,LIWC
KTGF129,Acquire,0.007783483,KTGF129,LIWC
KTGF130,Acquire,0.003131435,KTGF130,LIWC
KTGF142,Acquire,0.000284121,KTGF142,LIWC
KTGF143,Acquire,1.61E-05,KTGF143,LIWC
KTGF147,Acquire,0.000187895,KTGF147,LIWC
KTGF156,Acquire,0.003980618,KTGF156,LIWC
KTGF158,Acquire,4.28E-05,KTGF158,LIWC
KTGF527,Acquire,0.005490071,KTGF527,LIWC
KTGF528,Acquire,0.056117043,KTGF528,LIWC
KTGF533,Acquire,0.005299169,KTGF533,LIWC
KTGF540,Acquire,0.000437778,KTGF540,LIWC
KTGF544,Acquire,0.006961754,KTGF544,LIWC
KTGF545,Acquire,0.004507067,KTGF545,LIWC
KTGF549,Acquire,0.002951463,KTGF549,LIWC
KTGF550,Acquire,0.008351123,KTGF550,LIWC
KTGF556,Acquire,0.00231001,KTGF556,LIWC
KTGF557,Acquire,0.009951886,KTGF557,LIWC
KTGF561,Acquire,0.00485875,KTGF561,LIWC
KTGF562,Acquire,0.003190604,KTGF562,LIWC
KTGF565,Acquire,0.003120072,KTGF565,LIWC
KTGF570,Acquire,0.008424766,KTGF570,LIWC
K23101,Adjectives,0.007459333,K23101,LIWC
K23106,Adjectives,0.00112,K23106,LIWC
K23107,Adjectives,0.001686805,K23107,LIWC
K23109,Adjectives,0.000816941,K23109,LIWC
K23114,Adjectives,0.001979459,K23114,LIWC
K23115,Adjectives,0.015497225,K23115,LIWC
K23117,Adjectives,0.005981858,K23117,LIWC
K23121,Adjectives,0.000720494,K23121,LIWC
K23125,Adjectives,0.002389635,K23125,LIWC
K23126,Adjectives,0.003875571,K23126,LIWC
K23128,Adjectives,0.004313837,K23128,LIWC
K23129,Adjectives,0.004073754,K23129,LIWC
K23131,Adjectives,4.83E-05,K23131,LIWC
K23133,Adjectives,0.002870028,K23133,LIWC
K23134,Adjectives,2.02E-21,K23134,LIWC
K23139,Adjectives,0.000113388,K23139,LIWC
K23144,Adjectives,0.004142425,K23144,LIWC
K23145,Adjectives,0.001637278,K23145,LIWC
K23148,Adjectives,0.00202617,K23148,LIWC
K23150,Adjectives,0.002875754,K23150,LIWC
K23151,Adjectives,0.004908007,K23151,LIWC
K23153,Adjectives,0.019252188,K23153,LIWC
K23156,Adjectives,0.001931818,K23156,LIWC
K23502,Adjectives,0.002830329,K23502,LIWC
K23503,Adjectives,0.00444453,K23503,LIWC
K23507,Adjectives,0.001051781,K23507,LIWC
K23508,Adjectives,0.003337929,K23508,LIWC
K23509,Adjectives,0.001869879,K23509,LIWC
K23510,Adjectives,0.003714453,K23510,LIWC
K23517,Adjectives,0.005307787,K23517,LIWC
K23521,Adjectives,0.003849143,K23521,LIWC
K23526,Adjectives,0.013214937,K23526,LIWC
K23529,Adjectives,0.004294056,K23529,LIWC
K23531,Adjectives,0,K23531,LIWC
K23532,Adjectives,0.003160207,K23532,LIWC
K23533,Adjectives,0.003541472,K23533,LIWC
K23537,Adjectives,0.005440159,K23537,LIWC
K23540,Adjectives,0.003567569,K23540,LIWC
K23541,Adjectives,0.00175656,K23541,LIWC
K23548,Adjectives,0.009308656,K23548,LIWC
K23552,Adjectives,0.008129522,K23552,LIWC
K23555,Adjectives,0.001539153,K23555,LIWC
K23556,Adjectives,0.004529045,K23556,LIWC
K23557,Adjectives,0.002829569,K23557,LIWC
K23559,Adjectives,0.008042571,K23559,LIWC
K23563,Adjectives,0.012876608,K23563,LIWC
K23565,Adjectives,0.009983654,K23565,LIWC
KTFG534,Adjectives,0.004164727,KTFG534,LIWC
KTGF118,Adjectives,0.001140649,KTGF118,LIWC
KTGF120,Adjectives,0.003751854,KTGF120,LIWC
KTGF122,Adjectives,0.001613894,KTGF122,LIWC
KTGF124,Adjectives,0.007822943,KTGF124,LIWC
KTGF126,Adjectives,0.000914564,KTGF126,LIWC
KTGF130,Adjectives,0.007640231,KTGF130,LIWC
KTGF138,Adjectives,0.002640235,KTGF138,LIWC
KTGF142,Adjectives,0.000889737,KTGF142,LIWC
KTGF143,Adjectives,0,KTGF143,LIWC
KTGF146,Adjectives,0.001477698,KTGF146,LIWC
KTGF147,Adjectives,0.000676491,KTGF147,LIWC
KTGF154,Adjectives,0.001236878,KTGF154,LIWC
KTGF156,Adjectives,9.58E-06,KTGF156,LIWC
KTGF157,Adjectives,0.001171007,KTGF157,LIWC
KTGF158,Adjectives,7.73E-21,KTGF158,LIWC
KTGF527,Adjectives,0.012198265,KTGF527,LIWC
KTGF528,Adjectives,0.022577641,KTGF528,LIWC
KTGF533,Adjectives,0.003868173,KTGF533,LIWC
KTGF540,Adjectives,0.000448889,KTGF540,LIWC
KTGF544,Adjectives,0.003469431,KTGF544,LIWC
KTGF545,Adjectives,0.005695842,KTGF545,LIWC
KTGF549,Adjectives,0.003537741,KTGF549,LIWC
KTGF550,Adjectives,0.007625014,KTGF550,LIWC
KTGF553,Adjectives,0.002692746,KTGF553,LIWC
KTGF556,Adjectives,0.017602646,KTGF556,LIWC
KTGF557,Adjectives,0.003406939,KTGF557,LIWC
KTGF561,Adjectives,0.001979371,KTGF561,LIWC
KTGF562,Adjectives,0.008259881,KTGF562,LIWC
KTGF565,Adjectives,0.015186768,KTGF565,LIWC
KTGF570,Adjectives,0.007334542,KTGF570,LIWC
KTGF572,Adjectives,0.003603923,KTGF572,LIWC
K23101,Adverbs,0.004607333,K23101,LIWC
K23106,Adverbs,0.003035385,K23106,LIWC
K23109,Adverbs,0.004066178,K23109,LIWC
K23115,Adverbs,0.003620209,K23115,LIWC
K23117,Adverbs,0.005155782,K23117,LIWC
K23120,Adverbs,0.00099335,K23120,LIWC
K23121,Adverbs,0.001564086,K23121,LIWC
K23125,Adverbs,0.003479087,K23125,LIWC
K23126,Adverbs,0.003792365,K23126,LIWC
K23128,Adverbs,0.008028091,K23128,LIWC
K23129,Adverbs,0.003551026,K23129,LIWC
K23133,Adverbs,0.001713065,K23133,LIWC
K23134,Adverbs,0.000825366,K23134,LIWC
K23144,Adverbs,0.004587699,K23144,LIWC
K23145,Adverbs,0.001985098,K23145,LIWC
K23148,Adverbs,0.000943139,K23148,LIWC
K23150,Adverbs,0.004322287,K23150,LIWC
K23151,Adverbs,0.002773761,K23151,LIWC
K23153,Adverbs,0.012351981,K23153,LIWC
K23503,Adverbs,0.009400454,K23503,LIWC
K23509,Adverbs,0.046734053,K23509,LIWC
K23510,Adverbs,0.01313174,K23510,LIWC
K23517,Adverbs,0.004980587,K23517,LIWC
K23521,Adverbs,0.01811964,K23521,LIWC
K23526,Adverbs,0.002978532,K23526,LIWC
K23529,Adverbs,0.004163986,K23529,LIWC
K23531,Adverbs,0,K23531,LIWC
K23532,Adverbs,0.004927494,K23532,LIWC
K23533,Adverbs,0.004669065,K23533,LIWC
K23537,Adverbs,0.002716627,K23537,LIWC
K23540,Adverbs,0.010311111,K23540,LIWC
K23541,Adverbs,0.01045948,K23541,LIWC
K23548,Adverbs,0.00239764,K23548,LIWC
K23551,Adverbs,0.002878841,K23551,LIWC
K23552,Adverbs,0.00888771,K23552,LIWC
K23555,Adverbs,0.00236036,K23555,LIWC
K23556,Adverbs,0.002879685,K23556,LIWC
K23557,Adverbs,0.002727324,K23557,LIWC
K23559,Adverbs,0.000374,K23559,LIWC
K23563,Adverbs,0.007320454,K23563,LIWC
K23565,Adverbs,0.023575754,K23565,LIWC
KTFG534,Adverbs,0.007460811,KTFG534,LIWC
KTGF118,Adverbs,0.000828982,KTGF118,LIWC
KTGF120,Adverbs,0.001464219,KTGF120,LIWC
KTGF122,Adverbs,0.010031992,KTGF122,LIWC
KTGF124,Adverbs,0.007837299,KTGF124,LIWC
KTGF130,Adverbs,0.000988259,KTGF130,LIWC
KTGF142,Adverbs,0.002478444,KTGF142,LIWC
KTGF143,Adverbs,2.78E-05,KTGF143,LIWC
KTGF146,Adverbs,0.00100817,KTGF146,LIWC
KTGF147,Adverbs,0.020614623,KTGF147,LIWC
KTGF154,Adverbs,0.001863898,KTGF154,LIWC
KTGF156,Adverbs,4.17E-05,KTGF156,LIWC
KTGF157,Adverbs,0.01072443,KTGF157,LIWC
KTGF158,Adverbs,3.95E-21,KTGF158,LIWC
KTGF527,Adverbs,0.015410937,KTGF527,LIWC
KTGF528,Adverbs,0.003284718,KTGF528,LIWC
KTGF533,Adverbs,0.00959045,KTGF533,LIWC
KTGF540,Adverbs,0.001464444,KTGF540,LIWC
KTGF544,Adverbs,0.003604625,KTGF544,LIWC
KTGF545,Adverbs,0.006455567,KTGF545,LIWC
KTGF549,Adverbs,0.00544763,KTGF549,LIWC
KTGF550,Adverbs,0.003688969,KTGF550,LIWC
KTGF553,Adverbs,0.010064423,KTGF553,LIWC
KTGF556,Adverbs,0.042268521,KTGF556,LIWC
KTGF557,Adverbs,0.001873702,KTGF557,LIWC
KTGF561,Adverbs,0.002574273,KTGF561,LIWC
KTGF562,Adverbs,0.006593566,KTGF562,LIWC
KTGF565,Adverbs,0.004960145,KTGF565,LIWC
K23101,Affect,0.001914838,K23101,LIWC
K23106,Affect,2.17E-20,K23106,LIWC
K23107,Affect,0.008374089,K23107,LIWC
K23109,Affect,0.002336578,K23109,LIWC
K23114,Affect,0.001987838,K23114,LIWC
K23115,Affect,0.010997562,K23115,LIWC
K23117,Affect,0.011994134,K23117,LIWC
K23121,Affect,0.002492222,K23121,LIWC
K23125,Affect,0.003094301,K23125,LIWC
K23126,Affect,0.012141425,K23126,LIWC
K23128,Affect,0.007352835,K23128,LIWC
K23129,Affect,0.002148072,K23129,LIWC
K23131,Affect,0.000161379,K23131,LIWC
K23133,Affect,0.005325426,K23133,LIWC
K23134,Affect,9.01E-05,K23134,LIWC
K23144,Affect,0.002102872,K23144,LIWC
K23145,Affect,0.003323733,K23145,LIWC
K23148,Affect,0.003506158,K23148,LIWC
K23150,Affect,0.011358933,K23150,LIWC
K23151,Affect,0.003559111,K23151,LIWC
K23153,Affect,0.005218556,K23153,LIWC
K23156,Affect,0.000822727,K23156,LIWC
K23502,Affect,0.010823876,K23502,LIWC
K23503,Affect,0.007057128,K23503,LIWC
K23507,Affect,0.000591416,K23507,LIWC
K23508,Affect,0.008759643,K23508,LIWC
K23509,Affect,0.000776288,K23509,LIWC
K23510,Affect,0.012653833,K23510,LIWC
K23517,Affect,0.006093577,K23517,LIWC
K23521,Affect,0.020051374,K23521,LIWC
K23526,Affect,0.029014333,K23526,LIWC
K23529,Affect,0.001585778,K23529,LIWC
K23531,Affect,1.55E-05,K23531,LIWC
K23532,Affect,0.001113471,K23532,LIWC
K23533,Affect,0.002326463,K23533,LIWC
K23537,Affect,0.001511623,K23537,LIWC
K23540,Affect,0.003258183,K23540,LIWC
K23541,Affect,0.00124084,K23541,LIWC
K23548,Affect,0.005194984,K23548,LIWC
K23551,Affect,0.006703295,K23551,LIWC
K23552,Affect,0.009093203,K23552,LIWC
K23555,Affect,0.005771534,K23555,LIWC
K23556,Affect,0.006121081,K23556,LIWC
K23557,Affect,0.002262696,K23557,LIWC
K23559,Affect,0.000726163,K23559,LIWC
K23563,Affect,0.005961606,K23563,LIWC
K23565,Affect,0.005192082,K23565,LIWC
KTFG534,Affect,0.002466036,KTFG534,LIWC
KTGF118,Affect,0.00128136,KTGF118,LIWC
KTGF120,Affect,0.003837142,KTGF120,LIWC
KTGF122,Affect,0.002543848,KTGF122,LIWC
KTGF124,Affect,0.009868737,KTGF124,LIWC
KTGF130,Affect,0.001589481,KTGF130,LIWC
KTGF136,Affect,0.015090583,KTGF136,LIWC
KTGF138,Affect,0.00130098,KTGF138,LIWC
KTGF142,Affect,0.000707879,KTGF142,LIWC
KTGF143,Affect,0,KTGF143,LIWC
KTGF146,Affect,0.003859962,KTGF146,LIWC
KTGF147,Affect,0.000207368,KTGF147,LIWC
KTGF154,Affect,0.004644353,KTGF154,LIWC
KTGF156,Affect,0.000227917,KTGF156,LIWC
KTGF157,Affect,0.002685408,KTGF157,LIWC
KTGF158,Affect,2.86E-21,KTGF158,LIWC
KTGF527,Affect,0.005583421,KTGF527,LIWC
KTGF528,Affect,0.006882615,KTGF528,LIWC
KTGF533,Affect,0.004425593,KTGF533,LIWC
KTGF540,Affect,0.00031,KTGF540,LIWC
KTGF544,Affect,0.003825674,KTGF544,LIWC
KTGF545,Affect,0.005591373,KTGF545,LIWC
KTGF549,Affect,0.002485778,KTGF549,LIWC
KTGF550,Affect,0.005485484,KTGF550,LIWC
KTGF553,Affect,0.004515262,KTGF553,LIWC
KTGF556,Affect,0.002094771,KTGF556,LIWC
KTGF557,Affect,0.012595548,KTGF557,LIWC
KTGF561,Affect,0.001276197,KTGF561,LIWC
KTGF562,Affect,0.011184126,KTGF562,LIWC
KTGF565,Affect,0.003815942,KTGF565,LIWC
KTGF570,Affect,0.002321542,KTGF570,LIWC
KTGF572,Affect,0.012054506,KTGF572,LIWC
K23101,Affiliation,0.006248752,K23101,LIWC
K23106,Affiliation,1.84E-20,K23106,LIWC
K23109,Affiliation,0.001623807,K23109,LIWC
K23114,Affiliation,0.001962162,K23114,LIWC
K23115,Affiliation,0.00334853,K23115,LIWC
K23117,Affiliation,0.007192459,K23117,LIWC
K23120,Affiliation,0.001119175,K23120,LIWC
K23121,Affiliation,0.001053481,K23121,LIWC
K23125,Affiliation,0.002349635,K23125,LIWC
K23126,Affiliation,0.003713571,K23126,LIWC
K23128,Affiliation,0.004045057,K23128,LIWC
K23129,Affiliation,0.001589333,K23129,LIWC
K23133,Affiliation,0.003166861,K23133,LIWC
K23134,Affiliation,1.76E-05,K23134,LIWC
K23144,Affiliation,0.005745233,K23144,LIWC
K23145,Affiliation,0.001498027,K23145,LIWC
K23148,Affiliation,0.003452412,K23148,LIWC
K23150,Affiliation,0.006216441,K23150,LIWC
K23151,Affiliation,0.003167453,K23151,LIWC
K23153,Affiliation,0.004890556,K23153,LIWC
K23155,Affiliation,0.002361783,K23155,LIWC
K23503,Affiliation,0.010962245,K23503,LIWC
K23508,Affiliation,0.006036679,K23508,LIWC
K23509,Affiliation,0.004008985,K23509,LIWC
K23510,Affiliation,0.000756867,K23510,LIWC
K23517,Affiliation,0.003799727,K23517,LIWC
K23521,Affiliation,0.004197252,K23521,LIWC
K23526,Affiliation,0.002079556,K23526,LIWC
K23529,Affiliation,0.010051222,K23529,LIWC
K23531,Affiliation,2.12E-22,K23531,LIWC
K23532,Affiliation,0.001483172,K23532,LIWC
K23533,Affiliation,0.002874352,K23533,LIWC
K23537,Affiliation,0.006740065,K23537,LIWC
K23540,Affiliation,0.012800131,K23540,LIWC
