,Variable,Importance,Participant,NLP
K23101,Achieve,0.002945564,K23101,LIWC
K23104,Achieve,2.21E-05,K23104,LIWC
K23106,Achieve,0.00010203,K23106,LIWC
K23107,Achieve,0.000360858,K23107,LIWC
K23115,Achieve,0.01318285,K23115,LIWC
K23122,Achieve,0.001278238,K23122,LIWC
K23125,Achieve,0.001085035,K23125,LIWC
K23126,Achieve,0.01652937,K23126,LIWC
K23128,Achieve,0.002783462,K23128,LIWC
K23130,Achieve,0.000876317,K23130,LIWC
K23131,Achieve,0.006720835,K23131,LIWC
K23133,Achieve,0.003097105,K23133,LIWC
K23134,Achieve,0.003812228,K23134,LIWC
K23136,Achieve,0.008184088,K23136,LIWC
K23139,Achieve,0.0001876,K23139,LIWC
K23142,Achieve,0.002772132,K23142,LIWC
K23143,Achieve,0.000279179,K23143,LIWC
K23145,Achieve,0.006050522,K23145,LIWC
K23147,Achieve,0.001180875,K23147,LIWC
K23148,Achieve,0.004640943,K23148,LIWC
K23151,Achieve,0.011918701,K23151,LIWC
K23153,Achieve,0.0045855,K23153,LIWC
K23156,Achieve,0.00181697,K23156,LIWC
K23502,Achieve,0.00050741,K23502,LIWC
K23503,Achieve,0.001389324,K23503,LIWC
K23508,Achieve,0.000594897,K23508,LIWC
K23509,Achieve,0.001161003,K23509,LIWC
K23517,Achieve,0.002569801,K23517,LIWC
K23529,Achieve,0.00597288,K23529,LIWC
K23531,Achieve,0.005247474,K23531,LIWC
K23532,Achieve,0.002143448,K23532,LIWC
K23536,Achieve,0.001301019,K23536,LIWC
K23548,Achieve,0.001926423,K23548,LIWC
K23555,Achieve,0.001188653,K23555,LIWC
K23557,Achieve,0.001466556,K23557,LIWC
K23559,Achieve,0.000642578,K23559,LIWC
K23565,Achieve,0.001738294,K23565,LIWC
KTFG534,Achieve,0.000753445,KTFG534,LIWC
KTGF120,Achieve,0.001260986,KTGF120,LIWC
KTGF124,Achieve,0.004395862,KTGF124,LIWC
KTGF125,Achieve,0.001073433,KTGF125,LIWC
KTGF129,Achieve,0.003481312,KTGF129,LIWC
KTGF130,Achieve,0.004415321,KTGF130,LIWC
KTGF136,Achieve,0.002811333,KTGF136,LIWC
KTGF138,Achieve,5.61E-05,KTGF138,LIWC
KTGF142,Achieve,0.002373778,KTGF142,LIWC
KTGF143,Achieve,0.00017,KTGF143,LIWC
KTGF148,Achieve,0.001895039,KTGF148,LIWC
KTGF150,Achieve,0.024452956,KTGF150,LIWC
KTGF153,Achieve,0.001673,KTGF153,LIWC
KTGF154,Achieve,0.001910233,KTGF154,LIWC
KTGF156,Achieve,0.000315072,KTGF156,LIWC
KTGF158,Achieve,0.00172492,KTGF158,LIWC
KTGF527,Achieve,0.001786082,KTGF527,LIWC
KTGF528,Achieve,0.000308593,KTGF528,LIWC
KTGF533,Achieve,0.003075264,KTGF533,LIWC
KTGF540,Achieve,0.001570282,KTGF540,LIWC
KTGF544,Achieve,0.001251315,KTGF544,LIWC
