"X","Variable","Importance","Participant","NLP"
"K23101.1","Time",0.00325098290598291,"K23101","Time"
"K23101.2","Word Count",0.00896884615384615,"K23101","Text leangth"
"K23101.3","Analytic",0.00630476923076923,"K23101","LIWC"
"K23101.4","Clout",0.00204564102564103,"K23101","LIWC"
"K23101.5","Authentic",0.00253577777777778,"K23101","LIWC"
"K23101.6","WordPerSentence",0.0080565982905983,"K23101","Text leangth"
"K23101.7","BigWords",0.00176538461538462,"K23101","LIWC"
"K23101.8","Dictionary",0.00234061538461538,"K23101","LIWC"
"K23101.9","Linguistic",0.00538724786324786,"K23101","LIWC"
"K23101.10","Function",0.00887928205128205,"K23101","LIWC"
"K23101.11","Pronoun",0.00599402564102564,"K23101","LIWC"
"K23101.12","Personal pronouns",0.00319634188034188,"K23101","LIWC"
"K23101.13","i",0.00128182051282051,"K23101","LIWC"
"K23101.14","Determiners",0.0047508717948718,"K23101","LIWC"
"K23101.15","Article",0.00300689743589744,"K23101","LIWC"
"K23101.16","Preposition",0.00938699145299146,"K23101","LIWC"
"K23101.17","Auxiliary verbs",0.00261200854700855,"K23101","LIWC"
"K23101.18","Adverbs",0.00187598290598291,"K23101","LIWC"
"K23101.19","Negations",0.000573290598290598,"K23101","LIWC"
"K23101.20","Verb",0.00177118803418803,"K23101","LIWC"
"K23101.21","Adjectives",0.00187570085470086,"K23101","LIWC"
"K23101.22","Quantity",0.00145745299145299,"K23101","LIWC"
"K23101.23","Drives",0.00175878632478633,"K23101","LIWC"
"K23101.24","Affiliation",0.00166532478632479,"K23101","LIWC"
"K23101.25","Achieve",0.00115316239316239,"K23101","LIWC"
"K23101.26","Cognition",0.00238696581196581,"K23101","LIWC"
"K23101.27","Cognitive processes",0.00317933333333333,"K23101","LIWC"
"K23101.28","Insight",0.00138582905982906,"K23101","LIWC"
"K23101.29","Differentiation",0.00140651282051282,"K23101","LIWC"
"K23101.30","Affect",0.00455247008547009,"K23101","LIWC"
"K23101.31","Positive tone",0.00199442735042735,"K23101","LIWC"
"K23101.32","Negative tone",0.00280502564102564,"K23101","LIWC"
"K23101.33","Emotion",0.00271303418803419,"K23101","LIWC"
"K23101.34","Social",0.00720650427350427,"K23101","LIWC"
"K23101.35","Socbehav",0.00352694871794872,"K23101","LIWC"
"K23101.36","Social referents",0.00435906837606838,"K23101","LIWC"
"K23101.37","Friend",0.00102357264957265,"K23101","LIWC"
"K23101.38","Lifestyle",0.00833409401709402,"K23101","LIWC"
"K23101.39","Leisure",0.00495981196581197,"K23101","LIWC"
"K23101.40","Work",0.00110423931623932,"K23101","LIWC"
"K23101.41","Physical",0.00332631623931624,"K23101","LIWC"
"K23101.42","Food",0.00213576068376068,"K23101","LIWC"
