"X","Variable","Importance","Participant","NLP"
"K23101.1","Time",0.00602446153846154,"K23101","Time"
"K23101.2","Word Count",0.00311369230769231,"K23101","Text leangth"
"K23101.3","Analytic",0.00302939316239316,"K23101","LIWC"
"K23101.4","Clout",0.0059191452991453,"K23101","LIWC"
"K23101.5","Authentic",0.00258242735042735,"K23101","LIWC"
"K23101.6","WordPerSentence",0.0035474188034188,"K23101","Text leangth"
"K23101.7","BigWords",0.00242124786324786,"K23101","LIWC"
"K23101.8","Dictionary",0.00240705128205128,"K23101","LIWC"
"K23101.9","Linguistic",0.00407505982905983,"K23101","LIWC"
"K23101.10","Function",0.00543587179487179,"K23101","LIWC"
"K23101.11","Pronoun",0.00201476923076923,"K23101","LIWC"
"K23101.12","Personal pronouns",0.00241876068376069,"K23101","LIWC"
"K23101.13","i",0.00405249572649573,"K23101","LIWC"
"K23101.14","Determiners",0.00331574358974359,"K23101","LIWC"
"K23101.15","Article",0.00504031623931624,"K23101","LIWC"
"K23101.16","Preposition",0.00478798290598291,"K23101","LIWC"
"K23101.17","Auxiliary verbs",0.00252138461538462,"K23101","LIWC"
"K23101.18","Adverbs",0.00265511111111111,"K23101","LIWC"
"K23101.19","Negations",0.00224935042735043,"K23101","LIWC"
"K23101.20","Verb",0.00183835897435898,"K23101","LIWC"
"K23101.21","Adjectives",0.000985239316239316,"K23101","LIWC"
"K23101.22","Quantity",0.00093708547008547,"K23101","LIWC"
"K23101.23","Drives",0.00219825641025641,"K23101","LIWC"
"K23101.24","Affiliation",0.00502494017094017,"K23101","LIWC"
"K23101.25","Achieve",0.00278386324786325,"K23101","LIWC"
"K23101.26","Cognition",0.00123086324786325,"K23101","LIWC"
"K23101.27","Cognitive processes",0.00139294017094017,"K23101","LIWC"
"K23101.28","Insight",0.000725025641025641,"K23101","LIWC"
"K23101.29","Differentiation",0.000659649572649573,"K23101","LIWC"
"K23101.30","Affect",0.00138939316239316,"K23101","LIWC"
"K23101.31","Positive tone",0.00140830769230769,"K23101","LIWC"
"K23101.32","Negative tone",0.000805700854700855,"K23101","LIWC"
"K23101.33","Emotion",0.00110238461538462,"K23101","LIWC"
"K23101.34","Social",0.00499299145299145,"K23101","LIWC"
"K23101.35","Socbehav",0.000637247863247864,"K23101","LIWC"
"K23101.36","Social referents",0.00447858974358974,"K23101","LIWC"
"K23101.37","Friend",0.00821605982905983,"K23101","LIWC"
"K23101.38","Lifestyle",0.00164415384615385,"K23101","LIWC"
"K23101.39","Leisure",0.000906273504273505,"K23101","LIWC"
"K23101.40","Work",0.00249867521367521,"K23101","LIWC"
"K23101.41","Physical",0.0052460170940171,"K23101","LIWC"
